date,price
2023-03-01,3.3
2023-03-02,3.73
2023-03-03,3.47
2023-03-06,3.32
2023-03-07,3.29
2023-03-08,3.32
2023-03-09,3.26
2023-03-10,3.12
2023-03-13,3.19
2023-03-14,3.16
2023-03-15,3.09
2023-03-16,2.96
2023-03-17,3.0099
2023-03-20,3.04
2023-03-21,2.94
2023-03-22,2.87
2023-03-23,2.97
2023-03-24,2.89
2023-03-27,2.23
2023-03-28,1.97
2023-03-29,1.88
2023-03-30,1.93
2023-03-31,1.99
2023-04-03,1.76
2023-04-04,2.0501
2023-04-05,1.81
2023-04-06,1.72
2023-04-10,1.67
2023-04-11,1.7
2023-04-12,1.66
2023-04-13,1.48
2023-04-14,1.42
2023-04-17,1.74
2023-04-18,1.73
2023-04-19,1.59
2023-04-20,1.64
2023-04-21,1.68
2023-04-24,1.61
2023-04-25,1.44
2023-04-26,1.47
2023-04-27,1.48
2023-04-28,1.49
2023-05-01,1.69
2023-05-02,1.49
2023-05-03,1.69
2023-05-04,1.58
2023-05-05,1.54
2023-05-08,1.515
2023-05-09,1.52
2023-05-10,1.59
2023-05-11,1.45
2023-05-12,1.55
2023-05-15,1.548
2023-05-16,1.6
2023-05-17,1.86
2023-05-18,2.16
2023-05-19,2.01
2023-05-22,2.08
2023-05-23,2.3
2023-05-24,2.29
2023-05-25,4.96
2023-05-26,4.04
2023-05-30,2.92
2023-05-31,3.07
2023-06-01,2.8
2023-06-02,2.68
2023-06-05,2.16
2023-06-06,3.22
2023-06-07,3.17
2023-06-08,2.8
2023-06-09,2.87
2023-06-12,2.83
2023-06-13,2.7
2023-06-14,2.99
2023-06-15,2.86
2023-06-16,2.91
2023-06-20,2.93
2023-06-21,2.78
2023-06-22,2.865
2023-06-23,2.82
2023-06-26,3.06
2023-06-27,2.89
2023-06-28,2.7
2023-06-29,2.87
2023-06-30,2.82
2023-07-03,2.86
2023-07-05,2.82
2023-07-06,2.7
2023-07-07,2.76
2023-07-10,2.9
2023-07-11,2.73
2023-07-12,2.59
2023-07-13,2.58
2023-07-14,2.5
2023-07-17,2.54
2023-07-18,2.51
2023-07-19,2.72
2023-07-20,2.62
2023-07-21,2.8101
2023-07-24,2.74
2023-07-25,2.75
2023-07-26,3.05
2023-07-27,2.9
2023-07-28,2.87
2023-07-31,2.98
2023-08-01,2.74
2023-08-02,2.64
2023-08-03,2.58
2023-08-04,2.61
2023-08-07,2.51
2023-08-08,2.2
2023-08-09,2.24
2023-08-10,2.13
2023-08-11,2.16
2023-08-14,2.15
2023-08-15,2.1
2023-08-16,2.01
2023-08-17,1.85
2023-08-18,1.87
2023-08-21,1.85
2023-08-22,1.84
2023-08-23,1.84
2023-08-24,2.06
2023-08-25,1.86
2023-08-28,1.69
2023-08-29,1.83
2023-08-30,1.81
2023-08-31,1.84
2023-09-01,1.84
2023-09-05,1.95
2023-09-06,1.7
2023-09-07,1.45
2023-09-08,1.53
2023-09-11,1.48
2023-09-12,1.49
2023-09-13,1.47
2023-09-14,1.52
2023-09-15,1.47
2023-09-18,1.45
2023-09-19,1.46
2023-09-20,1.38
2023-09-21,1.38
2023-09-22,1.27
2023-09-25,1.24
2023-09-26,1.33
2023-09-27,1.49
2023-09-28,1.65
2023-09-29,1.75
2023-10-02,1.77
2023-10-03,1.8
2023-10-04,1.73
2023-10-05,1.82
2023-10-06,1.8
2023-10-09,1.48
2023-10-10,1.52
2023-10-11,1.5
2023-10-12,1.38
2023-10-13,1.535
2023-10-16,1.55
2023-10-17,1.51
2023-10-18,1.48
2023-10-19,1.47
2023-10-20,1.44
2023-10-23,1.42
2023-10-24,1.35
2023-10-25,1.27
2023-10-26,1.22
2023-10-27,1.26
2023-10-30,1.24
2023-10-31,1.21
2023-11-01,1.08
2023-11-02,1.085
2023-11-03,1.18
2023-11-06,1.22
2023-11-07,1.27
2023-11-08,1.25
2023-11-09,1.25
2023-11-10,1.2
2023-11-13,1.09
2023-11-14,1.16
2023-11-15,1.19
2023-11-16,1.13
2023-11-17,1.2
2023-11-20,1.21
2023-11-21,1.27
2023-11-22,1.3
2023-11-24,1.37
2023-11-27,1.38
2023-11-28,1.3
2023-11-29,1.25
2023-11-30,1.26
2023-12-01,1.3
2023-12-04,1.3
2023-12-05,1.27
2023-12-06,1.23
2023-12-07,1.2282
2023-12-08,1.22
2023-12-11,1.3
2023-12-12,1.25
2023-12-13,1.24
2023-12-14,1.33
2023-12-15,1.17
2023-12-18,1.1701
2023-12-19,1.28
2023-12-20,1.17
2023-12-21,1.17
2023-12-22,1.16
2023-12-26,1.19
2023-12-27,1.1999
2023-12-28,1.44
2023-12-29,1.45
2024-01-02,1.8
2024-01-03,1.62
2024-01-04,1.69
2024-01-05,1.91
2024-01-08,1.87
2024-01-09,1.8
2024-01-10,1.61
2024-01-11,1.62
2024-01-12,1.6
2024-01-16,1.45
2024-01-17,1.39
2024-01-18,1.5
2024-01-19,1.45
2024-01-22,1.41
2024-01-23,1.4984
2024-01-24,1.52
2024-01-25,1.42
2024-01-26,1.55
2024-01-29,1.67
2024-01-30,1.72
2024-01-31,1.88
2024-02-01,1.7
2024-02-02,1.55
2024-02-05,1.58
2024-02-06,1.8
2024-02-07,2.2
2024-02-08,1.86
2024-02-09,2.11
2024-02-12,9.95
2024-02-13,14.06
2024-02-14,16.09
2024-02-15,10
2024-02-16,13.57
2024-02-20,12.4
2024-02-21,10.14
2024-02-22,11.06
2024-02-23,9.14
2024-02-26,8.5
2024-02-27,8.52
2024-02-28,7.82
2024-02-29,8.03
2024-03-01,7.01
2024-03-04,5.91
2024-03-05,6.04
2024-03-06,5.49
2024-03-07,5.97
2024-03-08,5.76
2024-03-11,5.65
2024-03-12,5.57
2024-03-13,7.13
2024-03-14,8.14
2024-03-15,8
2024-03-18,6.87
2024-03-19,6.93
2024-03-20,6.77
2024-03-21,6.39
2024-03-22,6.3
2024-03-25,6.77
2024-03-26,6.37
2024-03-27,6.76
2024-03-28,6.45
2024-04-01,6.16
2024-04-02,6.11
2024-04-03,5.99
2024-04-04,5.9
2024-04-05,5.67
2024-04-08,6.2
2024-04-09,7.5
2024-04-10,6.9
2024-04-11,6.74
2024-04-12,6.14
2024-04-15,6.26
2024-04-16,6.45
2024-04-17,6.2
2024-04-18,5.8
2024-04-19,5.52
2024-04-22,5.12
2024-04-23,5.61
2024-04-24,5.66
2024-04-25,5.5
2024-04-26,6.04
2024-04-29,5.98
2024-04-30,5.52
2024-05-01,5.54
2024-05-02,5.84
2024-05-03,5.75
2024-05-06,6.05
2024-05-07,5.68
2024-05-08,5.89
2024-05-09,6.04
2024-05-10,5.8
2024-05-13,5.95
2024-05-14,5.85
2024-05-15,5.71
2024-05-16,5.6
2024-05-17,5.6
2024-05-20,5.51
2024-05-21,5.4
2024-05-22,5.33
2024-05-23,5.12
2024-05-24,5.09
2024-05-28,5.11
2024-05-29,5.05
2024-05-30,4.75
2024-05-31,4.27
2024-06-03,4.65
2024-06-04,4.48
2024-06-05,4.2
2024-06-06,4.15
2024-06-07,4.32
2024-06-10,4.38
2024-06-11,4.4
2024-06-12,5.23
2024-06-13,4.71
2024-06-14,4.61
2024-06-17,5.19
2024-06-18,5.42
2024-06-20,5.37
2024-06-21,5.19
2024-06-24,4.95
2024-06-25,5.04
2024-06-26,4.96
2024-06-27,5.36
2024-06-28,5.22
2024-07-01,5.62
2024-07-02,5.53
2024-07-03,5.7
2024-07-05,5.45
2024-07-08,5.44
2024-07-09,5.29
2024-07-10,5.24
2024-07-11,5.44
2024-07-12,5.56
2024-07-15,5.31
2024-07-16,5.74
2024-07-17,5.41
2024-07-18,5.09
2024-07-19,5.21
2024-07-22,4.96
2024-07-23,5.24
2024-07-24,4.94
2024-07-25,4.86
2024-07-26,4.85
2024-07-29,4.61
2024-07-30,4.25
2024-07-31,4.55
2024-08-01,4.2
2024-08-02,4.1
2024-08-05,3.77
2024-08-06,3.73
2024-08-07,3.43
2024-08-08,3.52
2024-08-09,3.46
2024-08-12,3.35
2024-08-13,3.54
2024-08-14,3.51
2024-08-15,3.71
2024-08-16,3.64
2024-08-19,3.82
2024-08-20,3.82
2024-08-21,3.81
2024-08-22,3.71
2024-08-23,3.72
2024-08-26,3.61
2024-08-27,3.62
2024-08-28,3.27
2024-08-29,3.36
2024-08-30,3.48
2024-09-03,3.35
2024-09-04,3.28
2024-09-05,3.25
2024-09-06,3.13
2024-09-09,3.21
2024-09-10,3.61
2024-09-11,3.59
2024-09-12,3.52
2024-09-13,3.76
2024-09-16,3.63
2024-09-17,3.78
2024-09-18,3.68
2024-09-19,3.75
2024-09-20,3.79
2024-09-23,3.67
2024-09-24,4.18
2024-09-25,3.97
2024-09-26,3.91
2024-09-27,3.95
2024-09-30,3.87
2024-10-01,3.73
2024-10-02,3.64
2024-10-03,3.54
2024-10-04,3.69
2024-10-07,3.47
2024-10-08,3.5
2024-10-09,3.48
2024-10-10,3.46
2024-10-11,3.51
2024-10-14,3.46
2024-10-15,3.33
2024-10-16,3.3
2024-10-17,3.29
2024-10-18,3.3
2024-10-21,3.24
2024-10-22,3.19
2024-10-23,3.15
2024-10-24,3.14
2024-10-25,3.29
2024-10-28,3.4
2024-10-29,3.3
2024-10-30,3.245
2024-10-31,3.08
2024-11-01,3.1
2024-11-04,2.78
2024-11-05,3.02
2024-11-06,2.93
2024-11-07,3.06
2024-11-08,2.97
2024-11-11,2.97
2024-11-12,2.86
2024-11-13,2.73
2024-11-14,2.7
2024-11-15,2.61
2024-11-18,2.56
2024-11-19,2.72
2024-11-20,2.66
2024-11-21,2.75
2024-11-22,3.02
2024-11-25,2.98
2024-11-26,2.89
2024-11-27,3.05
2024-11-29,3.27
2024-12-02,3.16
2024-12-03,3.06
2024-12-04,3.22
2024-12-05,3.33
2024-12-06,3.73
2024-12-09,4.05
2024-12-10,3.82
2024-12-11,4
2024-12-12,3.77
2024-12-13,3.7
2024-12-16,4.29
2024-12-17,4.05
2024-12-18,3.68
2024-12-19,4.12
2024-12-20,4
2024-12-23,3.62
2024-12-24,3.49
2024-12-26,3.68
2024-12-27,4.07
2024-12-30,5.79
2024-12-31,4.92
2025-01-02,4.75
2025-01-03,5.14
2025-01-06,4.65
2025-01-07,4.56
2025-01-08,4.07
2025-01-10,3.88
2025-01-13,3.64
2025-01-14,3.54
2025-01-15,4
2025-01-16,3.91
2025-01-17,3.87
2025-01-21,3.84
2025-01-22,4.02
2025-01-23,4.04
2025-01-24,4.2
2025-01-27,3.56
2025-01-28,3.7
2025-01-29,3.69
2025-01-30,3.59
2025-01-31,3.58
2025-02-03,3.55
2025-02-04,3.56
2025-02-05,3.63
2025-02-06,3.69
2025-02-07,3.61
2025-02-10,3.4
2025-02-11,3.23
2025-02-12,3.3
2025-02-13,3.43
2025-02-14,3.29
2025-02-18,3.15
2025-02-19,3.05
2025-02-20,3.01
2025-02-21,2.9
2025-02-24,2.8
2025-02-25,2.61
2025-02-26,2.66
2025-02-27,2.52
2025-02-28,2.56
2025-03-03,2.33
2025-03-04,2.49
2025-03-05,2.46
2025-03-06,2.41
2025-03-07,2.45
2025-03-10,2.29
2025-03-11,2.32
2025-03-12,2.47
2025-03-13,2.32
2025-03-14,2.49
2025-03-17,2.62
2025-03-18,2.38
2025-03-19,2.44
2025-03-20,2.51
2025-03-21,2.53
2025-03-24,2.66
2025-03-25,2.52
2025-03-26,2.4
2025-03-27,2.43
2025-03-28,2.31
2025-03-31,2.2
2025-04-01,2.3
2025-04-02,2.31
2025-04-03,2.3
2025-04-04,2.1
2025-04-07,2.07
2025-04-08,1.93
2025-04-09,2.1
2025-04-10,2.02
2025-04-11,2.2
2025-04-14,2.25
2025-04-15,2.22
2025-04-16,2.12
2025-04-17,2.13
2025-04-21,2.24
2025-04-22,2.2
2025-04-23,2.4
2025-04-24,2.525
2025-04-25,2.5
2025-04-28,2.52
2025-04-29,2.43
2025-04-30,2.53
2025-05-01,2.46
2025-05-02,2.786
2025-05-05,2.62
2025-05-06,2.62
2025-05-07,2.88
2025-05-08,2.67
2025-05-09,2.64
2025-05-12,2.97
2025-05-13,2.8
2025-05-14,2.74
2025-05-15,2.7
2025-05-16,2.85
2025-05-19,2.73
2025-05-20,2.73
2025-05-21,2.61
2025-05-22,2.71
2025-05-23,2.64
2025-05-27,2.74
2025-05-28,2.74
2025-05-29,2.9
2025-05-30,2.89
2025-06-02,2.96
2025-06-03,3.15
2025-06-04,3.2
2025-06-05,3.02
2025-06-06,3.1
2025-06-09,3.45
2025-06-10,3.37
2025-06-11,4.09
2025-06-12,3.6
2025-06-13,3.23
2025-06-16,3.03
2025-06-17,3.11
2025-06-18,3.11
2025-06-20,3.17
2025-06-23,3.15
2025-06-24,3.18
2025-06-25,3.05
2025-06-26,3.14
2025-06-27,3.1
2025-06-30,3.155
2025-07-01,3.16
2025-07-02,3.3
2025-07-03,3.41
2025-07-07,3.375
2025-07-08,3.33
2025-07-09,3.08
2025-07-10,3.09
2025-07-11,3
2025-07-14,3.07
2025-07-15,3.06
2025-07-16,3.14
2025-07-17,3.43
2025-07-18,3.57
2025-07-21,3.42
2025-07-22,3.45
2025-07-23,3.53
2025-07-24,3.49
2025-07-25,3.43
2025-07-28,3.33
2025-07-29,3.15
2025-07-30,3.14
2025-07-31,3.04
2025-08-01,3.02
2025-08-04,3.07
2025-08-05,2.98
2025-08-06,2.92
2025-08-07,2.83
2025-08-08,2.86
2025-08-11,2.8
2025-08-12,2.74
2025-08-13,2.99
2025-08-14,3.18
2025-08-15,3.05
2025-08-18,3.3
2025-08-19,3.17
2025-08-20,3.01
2025-08-21,3.01
2025-08-22,3.12
2025-08-25,3
2025-08-26,2.99
2025-08-27,3.03
2025-08-28,2.91
2025-08-29,2.81
2025-09-02,2.75
2025-09-03,2.78
2025-09-04,2.7
2025-09-05,2.69
2025-09-08,2.7
2025-09-09,2.78
2025-09-10,2.87
2025-09-11,2.89
2025-09-12,2.91
2025-09-15,2.84
2025-09-16,2.86
2025-09-17,2.87
2025-09-18,3.01
2025-09-19,3.02
2025-09-22,3.07
2025-09-23,3.05
2025-09-24,3.02
2025-09-25,2.95
2025-09-26,2.95
2025-09-29,3.15
2025-09-30,3.06
2025-10-01,3.05
2025-10-02,3.14
2025-10-03,3.12
2025-10-06,3.16
2025-10-07,3.05
2025-10-08,2.97
2025-10-09,2.91
2025-10-10,2.78
2025-10-13,2.98
2025-10-14,2.98
2025-10-15,2.83
2025-10-16,2.71
2025-10-17,2.65
2025-10-20,2.87
2025-10-21,2.75
2025-10-22,2.7
2025-10-23,2.82
2025-10-24,2.86
2025-10-27,2.81
2025-10-28,2.74
2025-10-29,2.7
2025-10-30,2.59
2025-10-31,2.62
2025-11-03,2.53
2025-11-04,2.28
2025-11-05,2.38
2025-11-06,2.155
2025-11-07,2.19
2025-11-10,2.15
2025-11-11,2.11
2025-11-12,2.1
2025-11-13,2.06
2025-11-14,2.04
