date,price
2025-06-02,108340
2025-06-03,110185
2025-06-04,108780
2025-06-05,105485
2025-06-06,108085
2025-06-09,112540
2025-06-10,113465
2025-06-11,112625
2025-06-12,110520
2025-06-13,108790
2025-06-16,112370
2025-06-17,108315
2025-06-18,107345
2025-06-20,106745
2025-06-23,106465
2025-06-24,108965
2025-06-25,111075
2025-06-26,110850
2025-06-27,110130
2025-06-30,110975
2025-07-01,108495
2025-07-02,113070
2025-07-03,113200
2025-07-07,111250
2025-07-08,112020
2025-07-09,115085
2025-07-10,116780
2025-07-11,121530
2025-07-14,123285
2025-07-15,119725
2025-07-16,122665
2025-07-17,122330
2025-07-18,120585
2025-07-21,119870
2025-07-22,122670
2025-07-23,121715
2025-07-24,122420
2025-07-25,120170
2025-07-28,121360
2025-07-29,120655
2025-07-30,119950
2025-07-31,119795
2025-08-01,115750
2025-08-04,117480
2025-08-05,116305
2025-08-06,118025
2025-08-07,120375
2025-08-08,119185
2025-08-11,121720
2025-08-12,122430
2025-08-13,125790
2025-08-14,120720
2025-08-15,119545
2025-08-18,118850
2025-08-19,115435
2025-08-20,116670
2025-08-21,114485
2025-08-22,119170
2025-08-25,113205
2025-08-26,113465
2025-08-27,114425
2025-08-28,114265
2025-08-29,110290
2025-09-02,112915
2025-09-03,114375
2025-09-04,111780
2025-09-05,113510
2025-09-08,114030
2025-09-09,113235
2025-09-10,115535
2025-09-11,116490
2025-09-12,118845
2025-09-15,117150
2025-09-16,118665
2025-09-17,117370
2025-09-18,119310
2025-09-19,116785
2025-09-22,113725
2025-09-23,113160
2025-09-24,114900
2025-09-25,110625
2025-09-26,110425
2025-09-29,115910
2025-09-30,115860
2025-10-01,118970
2025-10-02,122610
2025-10-03,124330
2025-10-06,127030
2025-10-07,123065
2025-10-08,124785
2025-10-09,122315
2025-10-10,117630
2025-10-13,117050
2025-10-14,113740
2025-10-15,112195
2025-10-16,109055
2025-10-17,107275
2025-10-20,111700
2025-10-21,112735
2025-10-22,108525
2025-10-23,110980
2025-10-24,111300
2025-10-27,115670
2025-10-28,114320
2025-10-29,111140
2025-10-30,106955
2025-10-31,110320
2025-11-03,107070
2025-11-04,101030
2025-11-05,104240
2025-11-06,101210
2025-11-07,104030
2025-11-10,106365
2025-11-11,102955
2025-11-12,101735
2025-11-13,98125
2025-11-14,94365
