date,price
1990-01-03,92
1990-01-04,92.02
1990-01-05,92.04
1990-01-08,92.04
1990-01-09,92.04
1990-01-10,92.04
1990-01-11,92.04
1990-01-12,92.08
1990-01-15,92.03
1990-01-16,91.96
1990-01-17,91.93
1990-01-18,91.79
1990-01-19,91.86
1990-01-22,91.88
1990-01-23,91.87
1990-01-24,91.87
1990-01-25,91.87
1990-01-26,91.85
1990-01-29,91.83
1990-01-30,91.81
1990-01-31,91.83
1990-02-01,91.86
1990-02-02,91.82
1990-02-05,91.8
1990-02-06,91.78
1990-02-07,91.77
1990-02-08,91.79
1990-02-09,91.85
1990-02-12,91.83
1990-02-13,91.84
1990-02-14,91.85
1990-02-15,91.82
1990-02-16,91.82
1990-02-20,91.76
1990-02-21,91.77
1990-02-22,91.78
1990-02-23,91.77
1990-02-26,91.79
1990-02-27,91.8
1990-02-28,91.78
1990-03-01,91.75
1990-03-02,91.75
1990-03-05,91.7
1990-03-06,91.7
1990-03-07,91.72
1990-03-08,91.71
1990-03-09,91.56
1990-03-12,91.59
1990-03-13,91.53
1990-03-14,91.56
1990-03-15,91.56
1990-03-16,91.61
1990-03-19,91.57
1990-03-20,91.59
1990-03-21,91.56
1990-03-22,91.63
1990-03-23,91.63
1990-03-26,91.64
1990-03-27,91.62
1990-03-28,91.64
1990-03-29,91.61
1990-03-30,91.59
1990-04-02,91.54
1990-04-03,91.54
1990-04-04,91.63
1990-04-05,91.6
1990-04-06,91.65
1990-04-09,91.66
1990-04-10,91.66
1990-04-11,91.66
1990-04-12,91.66
1990-04-16,91.67
1990-04-17,91.59
1990-04-18,91.54
1990-04-19,91.5
1990-04-20,91.53
1990-04-23,91.48
1990-04-24,91.44
1990-04-25,91.4
1990-04-26,91.36
1990-04-27,91.41
1990-04-30,91.42
1990-05-01,91.27
1990-05-02,91.26
1990-05-03,91.3
1990-05-04,91.51
1990-05-07,91.5
1990-05-08,91.54
1990-05-09,91.54
1990-05-10,91.6
1990-05-11,91.71
1990-05-14,91.72
1990-05-15,91.72
1990-05-16,91.72
1990-05-17,91.71
1990-05-18,91.71
1990-05-21,91.71
1990-05-22,91.72
1990-05-23,91.75
1990-05-24,91.76
1990-05-25,91.73
1990-05-29,91.75
1990-05-30,91.78
1990-05-31,91.76
1990-06-01,91.91
1990-06-04,91.89
1990-06-05,91.91
1990-06-06,91.89
1990-06-07,91.88
1990-06-08,91.89
1990-06-11,91.89
1990-06-12,91.88
1990-06-13,91.94
1990-06-14,91.94
1990-06-15,91.89
1990-06-18,91.87
1990-06-19,91.87
1990-06-20,91.87
1990-06-21,91.88
1990-06-22,91.9
1990-06-25,91.87
1990-06-26,91.87
1990-06-27,91.87
1990-06-28,91.91
1990-06-29,91.92
1990-07-02,91.95
1990-07-03,91.95
1990-07-05,91.97
1990-07-06,91.9
1990-07-09,91.86
1990-07-10,91.86
1990-07-11,91.88
1990-07-12,92
1990-07-13,92.08
1990-07-16,92.08
1990-07-17,92.1
1990-07-18,92.11
1990-07-19,92.11
1990-07-20,92.13
1990-07-23,92.18
1990-07-24,92.15
1990-07-25,92.15
1990-07-26,92.14
1990-07-27,92.17
1990-07-30,92.21
1990-07-31,92.24
1990-08-01,92.29
1990-08-02,92.27
1990-08-03,92.36
1990-08-06,92.33
1990-08-07,92.3
1990-08-08,92.29
1990-08-09,92.3
1990-08-10,92.3
1990-08-13,92.29
1990-08-14,92.29
1990-08-15,92.26
1990-08-16,92.21
1990-08-17,92.18
1990-08-20,92.14
1990-08-21,92.1
1990-08-22,92.07
1990-08-23,92.08
1990-08-24,92.07
1990-08-27,92.12
1990-08-28,92.12
1990-08-29,92.17
1990-08-30,92.16
1990-08-31,92.19
1990-09-04,92.17
1990-09-05,92.2
1990-09-06,92.18
1990-09-07,92.16
1990-09-10,92.16
1990-09-11,92.16
1990-09-12,92.18
1990-09-13,92.18
1990-09-14,92.21
