date,price
1990-11-26,1444.5
1990-11-27,1424.5
1990-11-28,1417
1990-11-29,1418
1990-11-30,1440
1990-12-03,1462
1990-12-05,1470
1990-12-06,1514
1990-12-07,1523
1990-12-10,1502.5
1990-12-11,1488.5
1990-12-12,1516.5
1990-12-13,1515
1990-12-14,1529
1990-12-17,1476
1990-12-18,1472
1990-12-19,1452
1990-12-20,1418.5
1990-12-21,1424.5
1990-12-27,1412
1990-12-28,1411
1991-01-02,1366
1991-01-03,1377
1991-01-04,1418.5
1991-01-07,1365
1991-01-08,1369.5
1991-01-09,1387
1991-01-10,1393
1991-01-11,1380
1991-01-14,1328
1991-01-15,1333.5
1991-01-16,1327
1991-01-18,1420
1991-01-21,1405
1991-01-22,1386
1991-01-23,1371
1991-01-24,1382.5
1991-01-25,1391
1991-01-28,1392
1991-01-29,1389
1991-01-30,1413
1991-01-31,1415
1991-02-01,1430.5
1991-02-04,1444.5
1991-02-05,1445.5
1991-02-06,1434.5
1991-02-07,1444
1991-02-08,1480
1991-02-11,1505
1991-02-12,1482
1991-02-13,1492
1991-02-14,1494
1991-02-15,1539
1991-02-18,1591
1991-02-19,1595.5
1991-02-20,1567.5
1991-02-21,1582
1991-02-22,1591
1991-02-25,1613
1991-02-26,1558
1991-02-27,1575.5
1991-02-28,1551.5
1991-03-01,1518
1991-03-04,1530.5
1991-03-05,1552
1991-03-06,1600.5
1991-03-07,1584
1991-03-08,1610
1991-03-11,1568.5
1991-03-12,1579
1991-03-13,1550
1991-03-14,1585
1991-03-15,1588
1991-03-18,1572
1991-03-19,1550
1991-03-20,1538
1991-03-21,1548
1991-03-22,1539
1991-03-25,1532.5
1991-03-26,1518
1991-03-27,1537
1991-03-28,1548
1991-04-02,1555
1991-04-03,1607.5
1991-04-04,1588.5
1991-04-05,1610.5
1991-04-08,1603
1991-04-09,1594
1991-04-10,1585
1991-04-11,1587.5
1991-04-12,1611
1991-04-15,1621
1991-04-16,1611.5
1991-04-17,1645
1991-04-18,1624.5
1991-04-19,1609.5
1991-04-22,1583
1991-04-23,1614
1991-04-24,1625
1991-04-25,1627
1991-04-26,1632.5
1991-04-29,1637.5
1991-04-30,1618
1991-05-02,1646.5
1991-05-03,1645
1991-05-06,1635
1991-05-07,1640
1991-05-08,1618
1991-05-10,1633.5
1991-05-13,1620.5
1991-05-14,1601
1991-05-15,1600
1991-05-16,1607.5
1991-05-17,1598
1991-05-21,1622
1991-05-22,1641
1991-05-23,1655.5
1991-05-24,1670
1991-05-27,1682
1991-05-28,1691
1991-05-29,1686
1991-05-31,1716
1991-06-03,1695
1991-06-04,1684
1991-06-05,1721
1991-06-06,1712
1991-06-07,1711
1991-06-10,1713
1991-06-11,1725.5
1991-06-12,1697.5
1991-06-13,1701
1991-06-14,1709.5
1991-06-17,1697.5
1991-06-18,1731.5
1991-06-19,1710
1991-06-20,1718.5
1991-06-21,1747.5
1991-06-24,1720.5
1991-06-25,1715
1991-06-26,1693.5
1991-06-27,1678
1991-06-28,1641
1991-07-01,1648.5
1991-07-02,1630
1991-07-03,1618
1991-07-04,1640
1991-07-05,1639
1991-07-08,1626.5
1991-07-09,1647.5
1991-07-10,1660.5
1991-07-11,1660.5
1991-07-12,1664
1991-07-15,1668
1991-07-16,1655
1991-07-17,1650
1991-07-18,1643.5
1991-07-19,1647.5
1991-07-22,1650
1991-07-23,1645.5
1991-07-24,1633
1991-07-25,1629
1991-07-26,1620.5
1991-07-29,1623.5
1991-07-30,1635.5
1991-07-31,1637
1991-08-01,1634.5
1991-08-02,1639.5
1991-08-05,1635.5
1991-08-06,1630
1991-08-07,1648
1991-08-08,1644.5
1991-08-09,1647
1991-08-12,1638.5
1991-08-13,1658.5
1991-08-14,1665
1991-08-15,1664
1991-08-16,1667
1991-08-19,1466
1991-08-20,1525
1991-08-21,1621
1991-08-22,1631
1991-08-23,1648
1991-08-26,1658
1991-08-27,1650.5
1991-08-28,1656
1991-08-29,1660
1991-08-30,1649.5
1991-09-06,1646.5
1991-09-09,1641
1991-09-10,1631
1991-09-11,1631
1991-09-12,1637
1991-09-13,1637
1991-09-16,1630.5
1991-09-17,1636.5
1991-09-18,1625
1991-09-19,1624
1991-09-20,1644.5
1991-09-23,1646
1991-09-24,1652.5
1991-09-25,1654.5
1991-09-26,1643
1991-09-27,1644
1991-09-30,1633
1991-10-01,1638.5
1991-10-02,1637
1991-10-04,1634
1991-10-07,1613
1991-10-08,1604
1991-10-09,1590
1991-10-10,1589.5
1991-10-11,1588
1991-10-14,1594
1991-10-15,1605
1991-10-16,1590.5
1991-10-17,1586.5
1991-10-18,1587.5
1991-10-21,1588.5
1991-10-22,1597
1991-10-23,1603
1991-10-24,1589
1991-10-25,1586
1991-10-28,1593.5
1991-10-29,1608.5
1991-10-30,1604.5
1991-10-31,1597.5
1991-11-01,1586
1991-11-04,1582.5
1991-11-05,1591
1991-11-06,1584.5
1991-11-07,1593.5
1991-11-08,1625
1991-11-11,1616.5
1991-11-12,1633.5
1991-11-13,1627.5
1991-11-14,1635
1991-11-15,1640
1991-11-18,1618
1991-11-19,1601
1991-11-21,1603
1991-11-22,1599.5
1991-11-25,1598
1991-11-26,1610.5
1991-11-27,1595
1991-11-28,1596
1991-11-29,1577.5
1991-12-02,1549
1991-12-03,1553.5
1991-12-04,1565
1991-12-05,1560.5
1991-12-06,1557
1991-12-09,1562.5
1991-12-10,1553.5
1991-12-11,1545
1991-12-12,1553
1991-12-13,1558.5
1991-12-16,1556.5
1991-12-17,1561.5
1991-12-18,1571
1991-12-19,1550
1991-12-20,1580.5
1991-12-23,1571.5
1991-12-27,1602
1991-12-30,1615
1992-01-02,1632.5
1992-01-03,1627
1992-01-06,1631.5
1992-01-07,1617
1992-01-08,1601
1992-01-09,1622
1992-01-10,1637
1992-01-13,1644
1992-01-14,1647
1992-01-15,1694
1992-01-16,1683
1992-01-17,1690
1992-01-20,1699.5
1992-01-21,1697.5
1992-01-22,1698
1992-01-23,1689.5
1992-01-24,1693.5
1992-01-27,1704.5
1992-01-28,1699.5
1992-01-29,1683.5
1992-01-30,1690
1992-01-31,1700
1992-02-03,1689.5
1992-02-04,1691
1992-02-05,1698
1992-02-06,1691.5
1992-02-07,1696.5
1992-02-10,1693
1992-02-11,1693
