date,price
1992-04-02,4944
1992-04-03,4928
1992-04-06,4920
1992-04-07,4960
1992-04-08,4862
1992-04-09,4746
1992-04-10,4955
1992-04-13,4902
1992-04-14,4927
1992-04-15,5021
1992-04-16,5117
1992-04-21,5109
1992-04-22,5255
1992-04-23,5327
1992-04-24,5335
1992-04-27,5428
1992-04-28,5395
1992-04-29,5388
1992-04-30,5366
1992-05-01,5530
1992-05-04,5648
1992-05-05,5638
1992-05-06,5618
1992-05-07,5690
1992-05-08,5635
1992-05-11,5635
1992-05-12,5751
1992-05-13,5807
1992-05-14,5820
1992-05-15,5760
1992-05-18,5715
1992-05-19,5710
1992-05-20,5852
1992-05-21,5943
1992-05-22,5907
1992-05-25,6030
1992-05-26,6032
1992-05-27,6072
1992-05-28,6035
1992-05-29,6190
1992-06-01,6146
1992-06-02,6150
1992-06-03,6107
1992-06-04,6130
1992-06-08,6050
1992-06-09,5974
1992-06-10,5903
1992-06-11,5923
1992-06-12,5835
1992-06-16,5905
1992-06-17,5860
1992-06-18,5818
1992-06-19,5843
1992-06-22,5785
1992-06-23,5938
1992-06-24,5970
1992-06-25,6120
1992-06-26,6104
1992-06-29,6069
1992-06-30,6126
1992-07-01,6126
1992-07-02,6040
1992-07-03,6015
1992-07-06,5970
1992-07-07,5888
1992-07-08,5934
1992-07-09,5870
1992-07-10,5929
1992-07-13,6130
1992-07-14,6080
1992-07-15,6131
1992-07-16,6075
1992-07-17,6077
1992-07-20,5978
1992-07-21,5998
1992-07-23,5930
1992-07-24,5805
1992-07-27,5670
1992-07-28,5755
1992-07-29,5838
1992-07-30,5849
1992-07-31,5839
1992-08-03,5874
1992-08-04,5805
1992-08-05,5815
1992-08-06,5822
1992-08-07,5838
1992-08-10,5840
1992-08-11,5944
1992-08-12,5852
1992-08-13,5887
1992-08-14,5830
1992-08-17,5724
1992-08-18,5714
1992-08-19,5627
1992-08-20,5550
1992-08-21,5522
1992-08-24,5375
1992-08-25,5280
1992-08-26,5481
1992-08-27,5510
1992-08-28,5553
1992-09-01,5635
1992-09-02,5660
1992-09-03,5646
1992-09-04,5672
1992-09-07,5657
1992-09-08,5678
1992-09-09,5703
1992-09-10,5562
1992-09-11,5512
1992-09-14,5633
1992-09-15,5619
1992-09-16,5587
1992-09-17,5668
1992-09-18,5650
1992-09-21,5701
1992-09-22,5688
1992-09-23,5655
1992-09-24,5613
1992-09-25,5657
1992-09-28,5592
1992-09-29,5617
1992-09-30,5444
1992-10-01,5468
1992-10-02,5527
1992-10-06,5454
1992-10-07,5514
1992-10-08,5476
1992-10-09,5590
1992-10-12,5686
1992-10-13,5710
1992-10-14,5759
1992-10-15,5849
1992-10-16,5963
1992-10-19,6080
1992-10-20,6059
1992-10-21,6260
1992-10-22,6390
1992-10-23,6288
