date,price
1990-01-03,1641
1990-01-04,1645
1990-01-05,1637
1990-01-08,1608
1990-01-09,1611
1990-01-10,1588
1990-01-11,1586
1990-01-12,1565
1990-01-15,1550
1990-01-16,1514
1990-01-17,1551
1990-01-18,1551
1990-01-19,1519
1990-01-22,1498
1990-01-23,1478
1990-01-24,1472
1990-01-25,1479
1990-01-26,1480
1990-01-29,1469
1990-01-30,1452
1990-01-31,1407
1990-02-01,1420
1990-02-02,1438
1990-02-05,1451
1990-02-06,1429
1990-02-07,1431
1990-02-08,1434
1990-02-09,1449
1990-02-12,1443
1990-02-13,1434
1990-02-14,1449
1990-02-15,1465
1990-02-16,1516
1990-02-19,1527
1990-02-20,1505
1990-02-21,1477
1990-02-22,1490
1990-02-23,1486
1990-02-26,1501
1990-02-27,1489
1990-02-28,1488
1990-03-01,1540
1990-03-02,1532
1990-03-05,1547
1990-03-06,1545
1990-03-07,1509
1990-03-08,1514
1990-03-09,1520
1990-03-12,1530
1990-03-13,1540
1990-03-14,1564
1990-03-15,1603
1990-03-16,1633
1990-03-19,1630
1990-03-20,1595
1990-03-21,1595
1990-03-22,1615
1990-03-23,1596
1990-03-26,1576
1990-03-27,1584
1990-03-28,1578
1990-03-29,1579
1990-03-30,1583
1990-04-02,1596
1990-04-03,1586
1990-04-04,1571
1990-04-05,1550
1990-04-06,1543
1990-04-09,1518
1990-04-10,1502
1990-04-11,1504
1990-04-12,1498
1990-04-17,1480
1990-04-18,1516
1990-04-19,1534
1990-04-20,1545
1990-04-23,1552
1990-04-24,1552
1990-04-25,1548
1990-04-26,1536
1990-04-27,1526
1990-04-30,1520
1990-05-01,1523
1990-05-02,1518
1990-05-03,1507
1990-05-04,1511
1990-05-08,1515
1990-05-09,1527
1990-05-10,1548
1990-05-11,1560
1990-05-14,1556
1990-05-15,1559
1990-05-16,1541
1990-05-17,1549
1990-05-18,1544
1990-05-21,1548
1990-05-22,1561
1990-05-23,1587
1990-05-24,1572
1990-05-25,1572
1990-05-29,1577
1990-05-30,1568
1990-05-31,1581
1990-06-01,1585
1990-06-04,1614
1990-06-05,1612
1990-06-06,1617
1990-06-07,1598
1990-06-08,1591
1990-06-11,1579
1990-06-12,1589
1990-06-13,1588
1990-06-14,1585
1990-06-15,1595
1990-06-18,1591
1990-06-19,1589
1990-06-20,1564
1990-06-21,1566
1990-06-22,1580
1990-06-25,1563
1990-06-26,1545
1990-06-27,1566
1990-06-28,1563
1990-06-29,1574
1990-07-02,1555
1990-07-03,1555
1990-07-04,1555
1990-07-05,1562
1990-07-06,1568
1990-07-09,1586
1990-07-10,1580
1990-07-11,1579
1990-07-12,1579
1990-07-13,1581
1990-07-16,1573
1990-07-17,1575
1990-07-18,1573
1990-07-19,1575
1990-07-20,1582
1990-07-23,1587
1990-07-24,1592
1990-07-25,1596
1990-07-26,1640
1990-07-27,1702
1990-07-30,1768
1990-07-31,1746
1990-08-01,1747
1990-08-02,1776
1990-08-03,1749
1990-08-06,1761
1990-08-07,1779
1990-08-08,1789
1990-08-09,1798
1990-08-10,1795
1990-08-13,1830
1990-08-14,1821
1990-08-15,1818
1990-08-16,1824
1990-08-17,1814
1990-08-20,1821
1990-08-21,1814
1990-08-22,1824
1990-08-23,1815
1990-08-24,1812
