date,price
1990-01-03,2395.5
1990-01-04,2482.9
1990-01-05,2474.8
1990-01-08,2476.2
1990-01-09,2503.6
1990-01-10,2464.2
1990-01-11,2456.6
1990-01-12,2445.1
1990-01-15,2368.7
1990-01-16,2344.8
1990-01-17,2362.9
1990-01-18,2355.6
1990-01-19,2291.4
1990-01-22,2270.1
1990-01-23,2190.2
1990-01-24,2195.6
1990-01-25,2242.7
1990-01-26,2198.4
1990-01-29,2243.4
1990-01-30,2189.5
1990-01-31,2180.7
1990-02-01,2235.3
1990-02-02,2236.4
1990-02-05,2250
1990-02-06,2222.9
1990-02-07,2231.5
1990-02-08,2245
1990-02-09,2285
1990-02-12,2288.2
1990-02-13,2228.5
1990-02-14,2279.7
1990-02-15,2306.7
1990-02-16,2369.2
1990-02-19,2391.6
1990-02-20,2407.3
1990-02-21,2379.2
1990-02-22,2443.1
1990-02-23,2405.5
1990-02-26,2380.6
1990-02-27,2395.8
1990-02-28,2399.4
1990-03-01,2417
1990-03-02,2418.2
1990-03-05,2474.4
1990-03-06,2536.6
1990-03-07,2511.9
1990-03-08,2498.6
1990-03-09,2547.6
1990-03-12,2518.7
1990-03-13,2518.5
1990-03-14,2516.1
1990-03-15,2587.3
1990-03-16,2612.2
1990-03-19,2596.5
1990-03-20,2555.9
1990-03-21,2562
1990-03-22,2601
1990-03-23,2519.5
1990-03-26,2501.1
1990-03-27,2528.4
1990-03-28,2454.3
1990-03-29,2543.5
1990-03-30,2558.2
1990-04-02,2658.6
1990-04-03,2615.4
1990-04-04,2625.6
1990-04-05,2556.5
1990-04-06,2554.2
1990-04-09,2567.4
1990-04-10,2531.4
1990-04-11,2522
1990-04-12,2569.7
1990-04-17,2524.5
1990-04-18,2500
1990-04-19,2461.7
1990-04-20,2456.1
1990-04-23,2459.7
1990-04-24,2440.9
1990-04-25,2497.5
1990-04-26,2506.1
1990-04-27,2485.6
1990-04-30,2439.2
1990-05-01,2465.6
1990-05-02,2496.4
1990-05-03,2523.2
1990-05-04,2510.1
1990-05-08,2458.9
1990-05-09,2518.4
1990-05-10,2563.5
1990-05-11,2537.2
1990-05-14,2526
1990-05-15,2482.4
