date,price
1990-01-03,7650
1990-01-04,7900
1990-01-05,7850
1990-01-08,7725
1990-01-09,7475
1990-01-10,7475
1990-01-11,7490
1990-01-12,7425
1990-01-15,7350
1990-01-16,7008
1990-01-17,6975
1990-01-18,6750
1990-01-19,6350
1990-01-22,6200
1990-01-23,5800
1990-01-24,6025
1990-01-25,6625
1990-01-26,6300
1990-01-29,6375
1990-01-30,6025
1990-01-31,5870
1990-02-01,6225
1990-02-02,6350
1990-02-05,6480
1990-02-06,6150
1990-02-07,6150
1990-02-08,6210
1990-02-09,6310
1990-02-12,6430
1990-02-13,6775
1990-02-14,6900
1990-02-15,7150
1990-02-16,7575
1990-02-19,7500
1990-02-20,7275
1990-02-21,7210
1990-02-22,7225
1990-02-23,7710
1990-02-26,7975
1990-02-27,7710
1990-02-28,7500
1990-03-01,8000
1990-03-02,8250
1990-03-05,8600
1990-03-06,8500
1990-03-07,8575
1990-03-08,8725
1990-03-09,8900
1990-03-12,8950
1990-03-13,8725
1990-03-14,8800
1990-03-15,9300
1990-03-16,9375
1990-03-19,9700
1990-03-20,9550
1990-03-21,9850
1990-03-22,9775
1990-03-23,9200
1990-03-26,9125
1990-03-27,9150
1990-03-28,9200
1990-03-29,9225
1990-03-30,9050
1990-04-02,9000
1990-04-03,8850
1990-04-04,8975
1990-04-05,8900
1990-04-06,8805
1990-04-09,8735
1990-04-10,8675
1990-04-11,8600
1990-04-12,8550
1990-04-17,8450
1990-04-18,8500
1990-04-19,8525
1990-04-20,8600
1990-04-23,8625
1990-04-24,8770
1990-04-25,9050
1990-04-26,9050
1990-04-27,8870
1990-04-30,8725
1990-05-01,8825
1990-05-02,8950
1990-05-03,8900
1990-05-04,8900
1990-05-08,8750
1990-05-09,8800
1990-05-10,8775
1990-05-11,8810
1990-05-14,8700
1990-05-15,8400
1990-05-16,8525
1990-05-17,8550
1990-05-18,8575
1990-05-21,8375
1990-05-22,8450
1990-05-23,8325
1990-05-24,8425
1990-05-25,8475
1990-05-29,8500
1990-05-30,8500
1990-05-31,8370
1990-06-01,8325
1990-06-04,8260
1990-06-05,8175
1990-06-06,8075
1990-06-07,7900
1990-06-08,8000
1990-06-11,8075
1990-06-12,8250
1990-06-13,8325
1990-06-14,8410
1990-06-15,8575
1990-06-18,8630
1990-06-19,8550
1990-06-20,8650
1990-06-21,8750
1990-06-22,8785
1990-06-25,8850
1990-06-26,8720
1990-06-27,8625
1990-06-28,8690
1990-06-29,8725
1990-07-02,8601
1990-07-03,8650
1990-07-04,8600
1990-07-05,8575
1990-07-06,8660
1990-07-09,8700
1990-07-10,8850
1990-07-11,8990
1990-07-12,9075
1990-07-13,9800
1990-07-16,10075
1990-07-17,9500
1990-07-18,9400
1990-07-19,9675
1990-07-20,9950
1990-07-23,9900
1990-07-24,9950
1990-07-25,9800
1990-07-26,9575
1990-07-27,9400
1990-07-30,9450
1990-07-31,10000
1990-08-01,9960
1990-08-02,10450
1990-08-03,10200
1990-08-06,10200
1990-08-07,10650
1990-08-08,10500
1990-08-09,10500
1990-08-10,10475
1990-08-13,10575
1990-08-14,10450
1990-08-15,10600
1990-08-16,10625
1990-08-17,10850
1990-08-20,10800
1990-08-21,10950
1990-08-22,10950
1990-08-23,10425
1990-08-24,10550
1990-08-28,10650
1990-08-29,10825
1990-08-30,10890
1990-08-31,10880
1990-09-03,11100
1990-09-04,11125
1990-09-05,10825
1990-09-06,10725
1990-09-07,10850
1990-09-10,10990
1990-09-11,11225
1990-09-12,11350
1990-09-13,10900
1990-09-14,10351
1990-09-17,10700
1990-09-18,10825
1990-09-19,10575
1990-09-20,10325
1990-09-21,9800
1990-09-24,9900
1990-09-25,9900
1990-09-26,10300
1990-09-27,10100
1990-09-28,9760
1990-10-01,9425
1990-10-02,8900
1990-10-03,9125
1990-10-04,9400
1990-10-05,9250
1990-10-08,9375
1990-10-09,9300
1990-10-10,9075
1990-10-11,8725
1990-10-12,8680
1990-10-15,8750
1990-10-16,8725
1990-10-17,8770
1990-10-18,8500
1990-10-19,8256
1990-10-22,8425
1990-10-23,8750
1990-10-24,8475
1990-10-25,8527
1990-10-26,8600
1990-10-29,8675
1990-10-30,8525
1990-10-31,8325
1990-11-01,8325
1990-11-02,8500
1990-11-05,8400
1990-11-06,8400
1990-11-07,8575
1990-11-08,8450
1990-11-09,8375
1990-11-12,8500
1990-11-13,8570
1990-11-14,8500
1990-11-15,8500
1990-11-16,8525
1990-11-19,8320
1990-11-20,8325
1990-11-21,8480
1990-11-22,8250
1990-11-23,7900
1990-11-26,7810
1990-11-27,8050
1990-11-28,7910
1990-11-29,7950
1990-11-30,8170
1990-12-03,8100
1990-12-04,8100
1990-12-05,8010
1990-12-06,8075
1990-12-07,8095
1990-12-10,8040
1990-12-11,7990
1990-12-12,8020
1990-12-13,7870
1990-12-14,7905
1990-12-17,7850
1990-12-18,8000
1990-12-19,8275
1990-12-20,8360
1990-12-21,8510
1990-12-27,8400
1990-12-28,8200
1991-01-02,8325
1991-01-03,8320
1991-01-04,8475
1991-01-07,8725
1991-01-08,8875
1991-01-09,8705
1991-01-10,8710
1991-01-11,8850
1991-01-14,8800
1991-01-15,8425
1991-01-16,8350
1991-01-17,8500
1991-01-18,8400
1991-01-21,8510
1991-01-22,8475
1991-01-23,8390
1991-01-24,8525
1991-01-25,8635
1991-01-28,8550
1991-01-29,8495
1991-01-30,8455
1991-01-31,8575
1991-02-01,8580
1991-02-04,8500
1991-02-05,8525
1991-02-06,8455
1991-02-07,8500
1991-02-08,8610
1991-02-11,8690
1991-02-12,8830
1991-02-13,8704
1991-02-14,8630
1991-02-15,8740
1991-02-18,8710
1991-02-19,8720
1991-02-20,8675
1991-02-21,8612
1991-02-22,8695
1991-02-25,8560
1991-02-26,8625
1991-02-27,8580
1991-02-28,8600
1991-03-01,8550
1991-03-04,8485
1991-03-05,8480
1991-03-06,8400
1991-03-07,8475
1991-03-08,8590
1991-03-11,8501
1991-03-12,8525
1991-03-13,8620
1991-03-14,8615
1991-03-15,8575
1991-03-18,8650
1991-03-19,8610
1991-03-20,8780
1991-03-21,8940
1991-03-22,9150
1991-03-25,9205
1991-03-26,9125
1991-03-27,8950
1991-03-28,9090
1991-04-02,9200
1991-04-03,9000
1991-04-04,8950
1991-04-05,9050
1991-04-08,8940
1991-04-09,8910
1991-04-10,9135
1991-04-11,9051
1991-04-12,9010
1991-04-15,8980
1991-04-16,8960
1991-04-17,9000
1991-04-18,9025
1991-04-19,9140
1991-04-22,9055
1991-04-23,9105
1991-04-24,8990
1991-04-25,9060
1991-04-26,9005
1991-04-29,8970
1991-04-30,9140
1991-05-01,9030
1991-05-02,8950
1991-05-03,8850
1991-05-07,8835
1991-05-08,8830
1991-05-09,8685
1991-05-10,8620
1991-05-13,8612
1991-05-14,8510
1991-05-15,8420
1991-05-16,8350
1991-05-17,8350
1991-05-20,8375
1991-05-21,8190
1991-05-22,8100
1991-05-23,8115
1991-05-24,8250
1991-05-28,8260
1991-05-29,8270
1991-05-30,8150
1991-05-31,8210
1991-06-03,8150
1991-06-04,8156
1991-06-05,8200
1991-06-06,8265
1991-06-07,8230
1991-06-10,8145
1991-06-11,8150
1991-06-12,8175
1991-06-13,8180
1991-06-14,8310
1991-06-17,8450
1991-06-18,8385
1991-06-19,8490
1991-06-20,8430
1991-06-21,8432
1991-06-24,8320
1991-06-25,8334
1991-06-26,8370
1991-06-27,8355
1991-06-28,8440
1991-07-01,8486
1991-07-04,8545
1991-07-05,8730
1991-07-08,8750
1991-07-11,8805
1991-07-12,8800
1991-07-15,8530
1991-07-18,8571
1991-07-19,8600
1991-07-22,8355
1991-07-25,8290
1991-07-26,8290
1991-07-29,8200
1991-07-30,8110
1991-07-31,8115
1991-08-01,8230
1991-08-02,8185
1991-08-05,8170
1991-08-06,8140
1991-08-07,8160
1991-08-08,8255
1991-08-09,8240
1991-08-12,8270
1991-08-13,8195
1991-08-14,8180
1991-08-15,8155
1991-08-16,8170
1991-08-19,8325
1991-08-20,8320
1991-08-21,8255
1991-08-22,8152
1991-08-23,8141
1991-08-27,7901
1991-08-28,7880
1991-08-29,7955
1991-08-30,7930
1991-09-02,7935
1991-09-03,7840
1991-09-04,7790
1991-09-05,7700
1991-09-06,7735
1991-09-09,7835
1991-09-10,7850
1991-09-11,7965
1991-09-12,7960
1991-09-13,7875
1991-09-16,7725
1991-09-17,7570
1991-09-18,7680
1991-09-19,7700
1991-09-20,7605
1991-09-23,7485
1991-09-24,7540
1991-09-25,7625
1991-09-26,7535
1991-09-27,7510
1991-09-30,7490
1991-10-01,7525
1991-10-02,7615
1991-10-03,7550
1991-10-04,7510
1991-10-07,7500
1991-10-08,7540
1991-10-09,7590
1991-10-10,7545
1991-10-11,7570
1991-10-14,7540
1991-10-15,7505
1991-10-16,7475
1991-10-17,7430
1991-10-18,7426
1991-10-21,7445
1991-10-22,7460
1991-10-23,7410
1991-10-24,7460
1991-10-25,7410
1991-10-28,7405
1991-10-29,7410
1991-10-30,7455
1991-10-31,7450
1991-11-01,7490
1991-11-04,7430
1991-11-05,7470
1991-11-06,7440
1991-11-07,7365
1991-11-08,7340
1991-11-11,7360
1991-11-12,7312
1991-11-13,7340
1991-11-14,7351
1991-11-15,7422
1991-11-18,7430
1991-11-19,7245
1991-11-20,7175
1991-11-21,7240
1991-11-22,7140
1991-11-25,7185
1991-11-26,7165
1991-11-27,7195
1991-11-28,7190
1991-11-29,7170
1991-12-02,7163
1991-12-03,7085
1991-12-04,7065
1991-12-05,7065
1991-12-06,7105
1991-12-09,7095
1991-12-10,7158
1991-12-11,7175
1991-12-12,7150
1991-12-13,7170
1991-12-16,7155
1991-12-17,7165
1991-12-18,7210
1991-12-19,7270
1991-12-20,7215
1991-12-23,7250
1991-12-24,7206
1991-12-30,7205
1991-12-31,7212
1992-01-02,7220
1992-01-03,7220
1992-01-06,7285
1992-01-07,7380
1992-01-08,7360
1992-01-09,7350
1992-01-10,7400
1992-01-13,7380
1992-01-14,7340
1992-01-15,7370
1992-01-16,7565
1992-01-17,7830
1992-01-20,7855
1992-01-21,7685
1992-01-22,7922
1992-01-23,7885
1992-01-24,7980
1992-01-27,7870
1992-01-28,7735
1992-01-29,7750
1992-01-30,7745
1992-01-31,7760
1992-02-03,7795
1992-02-04,7770
1992-02-05,7730
1992-02-06,7700
1992-02-07,7785
1992-02-10,7920
1992-02-11,7825
1992-02-12,7780
1992-02-13,7825
1992-02-14,7895
1992-02-17,8235
1992-02-18,8120
1992-02-19,8125
1992-02-20,7970
