date,price
1990-01-03,697.58
1990-01-04,707.36
1990-01-05,698.61
1990-01-08,692.63
1990-01-09,713.95
1990-01-10,712.95
1990-01-11,698.88
1990-01-12,689.47
1990-01-15,681.21
1990-01-16,675.29
1990-01-17,682.31
1990-01-18,679.06
1990-01-19,672.05
1990-01-22,667.04
1990-01-23,666.17
1990-01-24,681.15
1990-01-25,683.74
1990-01-26,664.43
1990-01-29,688.38
1990-01-30,680.7
1990-01-31,674.55
1990-02-01,683.02
1990-02-02,693.11
1990-02-05,693.85
1990-02-06,692.99
1990-02-07,692.04
1990-02-08,693.59
1990-02-09,700.67
1990-02-12,703.81
1990-02-13,691.85
1990-02-14,701.77
1990-02-15,704
1990-02-16,705.27
1990-02-19,715.14
1990-02-20,717.5
1990-02-21,732.33
1990-02-22,750.31
1990-02-23,729.55
1990-02-26,722.52
1990-02-27,710.44
1990-02-28,722.84
1990-03-01,726.83
1990-03-02,723.86
1990-03-05,722.18
1990-03-06,762.29
1990-03-07,765.61
1990-03-08,793.55
1990-03-09,789.28
1990-03-12,797.38
1990-03-13,794.13
1990-03-14,799.16
1990-03-15,839.78
1990-03-16,919.7
1990-03-19,906.73
1990-03-20,828.22
1990-03-21,833.09
1990-03-22,829.23
1990-03-23,820.4
1990-03-26,782.88
1990-03-27,810.85
1990-03-28,796.99
1990-03-29,796.97
1990-03-30,778.31
1990-04-02,777.7
1990-04-03,789.77
1990-04-04,833.24
1990-04-05,803.46
1990-04-06,819.15
1990-04-09,817.64
1990-04-10,820.23
1990-04-11,797.03
1990-04-12,783.86
1990-04-17,781.38
1990-04-18,809.73
1990-04-19,792.04
1990-04-20,790.26
1990-04-23,795.24
1990-04-24,792.17
1990-04-25,804.04
1990-04-26,791.2
1990-04-27,784.02
1990-04-30,787.83
1990-05-01,792.05
1990-05-02,791.74
1990-05-03,799.62
1990-05-04,793.2
1990-05-08,796.13
1990-05-09,801.56
1990-05-10,824.3
1990-05-11,827.28
1990-05-14,811.72
1990-05-15,809.61
1990-05-16,802.43
1990-05-17,824.85
1990-05-18,807.29
1990-05-21,798.77
1990-05-22,807.09
1990-05-23,811.1
1990-05-24,813.84
1990-05-25,800.06
1990-05-29,803.45
1990-05-30,809.68
1990-05-31,802.09
1990-06-01,804.28
1990-06-04,808.19
1990-06-05,812.26
1990-06-06,809.79
1990-06-07,807.64
1990-06-08,806.52
1990-06-11,809.25
1990-06-12,819.56
1990-06-13,821.22
1990-06-14,820.09
1990-06-15,820.77
1990-06-18,828.73
1990-06-19,839.63
1990-06-20,832.56
1990-06-21,831.38
1990-06-22,843.6
1990-06-25,852.05
1990-06-26,847.07
1990-06-27,852.91
1990-06-28,858.67
1990-06-29,893.98
1990-07-02,890.51
1990-07-03,886.49
1990-07-04,880.28
1990-07-05,877.9
1990-07-06,893.45
1990-07-09,915.58
1990-07-10,904.36
1990-07-11,893.88
1990-07-12,890.79
1990-07-13,890.43
1990-07-16,849.6
1990-07-17,808.8
1990-07-18,857.17
1990-07-19,845.76
1990-07-20,845.24
1990-07-23,854.26
1990-07-24,862.07
1990-07-25,848.06
1990-07-26,830.23
1990-07-27,841.81
1990-07-30,834.52
1990-07-31,843.44
1990-08-01,860.08
1990-08-02,870.82
1990-08-03,856.72
1990-08-06,851.69
1990-08-07,857.1
1990-08-08,859.82
1990-08-09,876
1990-08-10,864.57
1990-08-13,861.04
1990-08-14,851.97
1990-08-15,870.58
1990-08-16,875.71
1990-08-17,878.31
1990-08-20,884.06
1990-08-21,875.39
1990-08-22,877.25
1990-08-23,884.57
1990-08-24,880.53
1990-08-28,875.61
1990-08-29,882.68
1990-08-30,886.46
1990-08-31,862.95
1990-09-03,859.61
1990-09-04,849.67
1990-09-05,857.53
1990-09-06,874.08
1990-09-07,859.04
1990-09-10,836.81
1990-09-11,836.24
1990-09-12,849.05
1990-09-13,858.72
1990-09-14,862.32
1990-09-17,825.73
1990-09-18,841.56
1990-09-19,829.41
1990-09-20,836.43
1990-09-21,818.75
1990-09-24,821.98
1990-09-25,812.5
1990-09-26,810.43
1990-09-27,814.06
1990-09-28,791.72
1990-10-01,778.21
1990-10-02,776.41
1990-10-03,763.77
1990-10-04,799
1990-10-08,810.23
1990-10-09,767.68
1990-10-10,751.13
1990-10-11,762.64
1990-10-12,756.49
1990-10-15,710.99
1990-10-16,739.97
1990-10-17,752.02
1990-10-18,739.93
1990-10-19,744.21
1990-10-22,723.99
1990-10-23,730.11
1990-10-24,751.66
1990-10-25,728.08
1990-10-26,723.51
1990-10-29,713.21
1990-10-30,722.75
1990-10-31,719.21
1990-11-01,722.91
1990-11-02,715.77
1990-11-05,730.3
1990-11-06,724.1
1990-11-07,735.51
1990-11-08,724.14
1990-11-09,728.36
1990-11-12,718.89
1990-11-13,722.87
1990-11-14,720.82
1990-11-15,717.18
1990-11-16,723.1
1990-11-19,693.04
1990-11-20,689.84
1990-11-21,690.17
1990-11-22,692.31
1990-11-23,686.18
1990-11-26,682.46
1990-11-27,674.73
1990-11-28,652.51
1990-11-29,649.42
1990-11-30,654.04
1990-12-03,658.97
1990-12-04,653.63
