date,price
1990-01-03,6850
1990-01-04,6820
1990-01-05,6850
1990-01-08,6975
1990-01-09,7100
1990-01-10,7020
1990-01-11,6725
1990-01-12,6800
1990-01-15,6830
1990-01-16,6845
1990-01-17,6670
1990-01-18,6820
1990-01-19,6695
1990-01-22,6650
1990-01-23,6670
1990-01-24,6705
1990-01-25,6720
1990-01-26,6730
1990-01-29,6730
1990-01-30,6610
1990-01-31,6240
1990-02-01,6400
1990-02-02,6350
1990-02-05,6340
1990-02-06,6280
1990-02-07,6470
1990-02-08,6385
1990-02-09,6410
1990-02-12,6405
1990-02-13,6350
1990-02-14,6330
1990-02-15,6280
1990-02-16,6315
1990-02-19,6500
1990-02-20,6430
1990-02-21,6355
1990-02-22,6360
1990-02-23,6420
1990-02-26,6520
1990-02-27,6415
1990-02-28,6490
1990-03-01,6540
1990-03-02,6435
1990-03-05,6530
1990-03-06,6630
1990-03-07,6490
1990-03-08,6405
1990-03-09,6480
1990-03-12,6445
1990-03-13,6535
1990-03-14,6530
1990-03-15,6550
1990-03-16,6610
1990-03-19,6490
1990-03-20,6490
1990-03-21,6485
1990-03-22,6535
1990-03-23,6540
1990-03-26,6500
1990-03-27,6540
1990-03-28,6620
1990-03-29,6670
1990-03-30,6800
1990-04-02,6790
1990-04-03,6795
1990-04-04,6850
1990-04-05,6800
1990-04-06,6760
1990-04-09,6630
1990-04-10,6505
1990-04-11,6580
1990-04-12,6540
1990-04-17,6620
1990-04-18,6630
1990-04-19,6665
1990-04-20,6625
1990-04-23,6560
1990-04-24,6550
1990-04-25,6530
1990-04-26,6455
1990-04-27,6500
1990-04-30,6500
1990-05-01,6545
1990-05-02,6585
1990-05-03,6600
1990-05-04,6535
1990-05-08,6540
1990-05-09,6610
1990-05-10,6610
1990-05-11,6650
1990-05-14,6605
1990-05-15,6570
1990-05-16,6560
1990-05-17,6590
1990-05-18,6555
1990-05-21,6520
1990-05-22,6510
1990-05-23,6530
1990-05-24,6445
1990-05-25,6480
1990-05-29,6485
1990-05-30,6475
1990-05-31,6500
1990-06-01,6450
1990-06-04,6340
1990-06-05,6355
1990-06-06,6370
1990-06-07,6350
1990-06-08,6360
1990-06-11,6335
1990-06-12,6300
1990-06-13,6300
1990-06-14,6280
1990-06-15,6255
1990-06-18,6270
1990-06-19,6310
1990-06-20,6310
1990-06-21,6270
1990-06-22,6265
1990-06-25,6275
1990-06-26,6270
1990-06-27,6280
1990-06-28,6230
1990-06-29,6070
1990-07-02,6110
1990-07-03,6155
1990-07-04,6140
1990-07-05,6080
1990-07-06,6065
1990-07-09,6010
1990-07-10,6070
1990-07-11,6130
1990-07-12,6235
1990-07-13,6215
1990-07-16,6070
1990-07-17,6060
1990-07-18,6130
1990-07-19,6110
1990-07-20,6150
1990-07-23,6175
1990-07-24,6150
1990-07-25,6105
1990-07-26,6130
1990-07-27,6180
1990-07-30,6220
1990-07-31,6250
1990-08-01,6335
1990-08-02,6285
1990-08-03,6235
1990-08-06,6230
1990-08-07,6155
1990-08-08,6110
1990-08-09,6100
1990-08-10,6090
1990-08-13,6155
1990-08-14,6140
1990-08-15,6120
1990-08-16,6080
1990-08-17,6225
1990-08-20,6140
1990-08-21,6055
1990-08-22,6075
1990-08-23,6050
1990-08-24,6070
1990-08-28,6080
1990-08-29,6055
1990-08-30,5975
1990-08-31,5975
1990-09-03,5900
1990-09-04,5880
1990-09-05,5900
1990-09-06,5920
1990-09-07,5905
1990-09-10,5890
1990-09-11,5905
1990-09-12,5905
1990-09-13,5885
1990-09-14,5930
1990-09-17,5940
1990-09-18,5950
1990-09-19,5900
1990-09-20,5940
1990-09-21,5900
1990-09-24,5980
1990-09-25,6030
1990-09-26,6025
1990-09-27,6160
1990-09-28,6360
1990-10-01,6375
1990-10-02,6330
1990-10-03,6270
1990-10-04,6360
1990-10-05,6200
1990-10-08,6280
1990-10-09,6155
1990-10-10,6080
1990-10-11,6130
1990-10-12,6280
1990-10-15,6300
1990-10-16,6340
1990-10-17,6205
1990-10-18,6210
1990-10-19,6180
1990-10-22,6205
1990-10-23,6225
1990-10-24,6260
1990-10-25,6215
1990-10-26,6227
1990-10-29,6200
1990-10-30,6200
1990-10-31,6275
1990-11-01,6205
1990-11-02,6190
1990-11-05,6205
1990-11-06,6220
1990-11-07,6200
1990-11-08,6150
1990-11-09,6200
1990-11-12,6210
1990-11-13,6210
1990-11-14,6165
1990-11-15,6160
1990-11-16,6180
1990-11-19,6175
1990-11-20,6195
1990-11-21,6190
1990-11-22,6175
1990-11-23,6070
1990-11-26,6040
1990-11-27,5930
1990-11-28,5920
1990-11-29,6020
1990-11-30,5970
1990-12-03,5915
1990-12-04,5825
1990-12-05,5820
1990-12-06,5770
1990-12-07,5850
1990-12-10,5870
1990-12-11,5825
1990-12-12,5820
1990-12-13,5790
1990-12-14,5810
1990-12-17,5815
1990-12-18,5765
1990-12-19,5740
1990-12-20,5730
1990-12-21,5680
1990-12-27,5685
1990-12-28,5698
1991-01-02,5670
1991-01-03,5680
1991-01-04,5790
1991-01-07,5840
1991-01-08,5760
1991-01-09,5720
1991-01-10,5720
1991-01-11,5760
1991-01-14,5750
1991-01-15,5780
1991-01-16,5745
1991-01-17,5790
1991-01-18,5745
1991-01-21,5750
1991-01-22,5755
1991-01-23,5745
1991-01-24,5740
1991-01-25,5690
1991-01-28,5685
1991-01-29,5681
1991-01-30,5685
1991-01-31,5705
1991-02-01,5640
1991-02-04,5635
1991-02-05,5640
1991-02-06,5630
1991-02-07,5665
1991-02-08,5670
1991-02-11,5650
1991-02-12,5635
1991-02-13,5620
1991-02-14,5645
1991-02-15,5670
1991-02-18,5685
1991-02-19,5750
1991-02-20,5740
1991-02-21,5680
1991-02-22,5710
1991-02-25,5760
1991-02-26,5725
1991-02-27,5720
1991-02-28,5745
1991-03-01,5700
1991-03-04,5665
1991-03-05,5647
1991-03-06,5675
1991-03-07,5642
1991-03-08,5660
1991-03-11,5660
1991-03-12,5670
1991-03-13,5651
1991-03-14,5655
1991-03-15,5565
1991-03-18,5565
1991-03-19,5581
1991-03-20,5581
1991-03-21,5590
1991-03-22,5580
1991-03-25,5560
1991-03-26,5555
1991-03-27,5565
1991-03-28,5560
1991-04-02,5565
1991-04-03,5545
1991-04-04,5565
1991-04-05,5572
1991-04-08,5605
1991-04-09,5610
1991-04-10,5600
1991-04-11,5585
1991-04-12,5570
1991-04-15,5570
1991-04-16,5572
1991-04-17,5580
1991-04-18,5600
1991-04-19,5615
1991-04-22,5620
1991-04-23,5630
1991-04-24,5680
1991-04-25,5880
1991-04-26,5920
1991-04-29,5860
1991-04-30,5790
1991-05-01,5805
1991-05-02,5740
1991-05-03,5700
1991-05-07,5810
1991-05-08,5840
1991-05-09,5780
1991-05-10,5830
1991-05-13,5810
1991-05-14,5808
1991-05-15,5875
1991-05-16,5865
1991-05-17,5795
1991-05-20,5785
1991-05-21,5770
1991-05-22,5735
1991-05-23,5765
1991-05-24,5760
1991-05-28,5735
1991-05-29,5660
1991-05-30,5690
1991-05-31,5735
1991-06-03,5715
1991-06-04,5735
1991-06-05,5755
1991-06-06,5825
1991-06-07,5842
1991-06-10,5790
1991-06-11,5793
1991-06-12,5805
1991-06-13,5780
1991-06-14,5835
1991-06-17,5870
1991-06-18,5820
1991-06-19,5814
1991-06-20,5805
1991-06-21,5795
1991-06-24,5740
1991-06-25,5760
1991-06-26,5760
1991-06-27,5805
1991-06-28,5785
1991-07-01,5740
1991-07-04,5733
1991-07-05,5770
1991-07-08,5770
1991-07-11,5755
1991-07-12,5730
1991-07-15,5725
1991-07-18,5740
1991-07-19,5755
1991-07-22,5765
1991-07-25,5755
1991-07-26,5790
1991-07-29,5775
1991-07-30,5760
1991-07-31,5740
1991-08-01,5770
1991-08-02,5765
1991-08-05,5740
1991-08-06,5750
1991-08-07,5775
1991-08-08,5795
1991-08-09,5765
1991-08-12,5775
1991-08-13,5755
1991-08-14,5745
1991-08-15,5743
1991-08-16,5725
