date,price
1990-01-03,1312
1990-01-04,1308
1990-01-05,1300
1990-01-08,1290
1990-01-09,1315
1990-01-10,1302
1990-01-11,1305
1990-01-12,1275
1990-01-15,1265
1990-01-16,1277
1990-01-17,1275
1990-01-18,1261
1990-01-19,1265
1990-01-22,1275
1990-01-23,1264
1990-01-24,1285
1990-01-25,1283
1990-01-26,1265
1990-01-29,1293
1990-01-30,1283
1990-01-31,1271
1990-02-01,1291
1990-02-02,1313
1990-02-05,1328
1990-02-06,1311
1990-02-07,1322
1990-02-08,1365
1990-02-09,1408
1990-02-12,1378
1990-02-13,1358
1990-02-14,1371
1990-02-15,1382
1990-02-16,1410
1990-02-19,1416
1990-02-20,1439
1990-02-21,1427
1990-02-22,1451
1990-02-23,1434
1990-02-26,1431
1990-02-27,1419
1990-02-28,1438
1990-03-01,1470
1990-03-02,1485
1990-03-05,1482
1990-03-06,1502
1990-03-07,1503
1990-03-08,1547
1990-03-09,1548
1990-03-12,1531
1990-03-13,1569
1990-03-14,1590
1990-03-15,1585
1990-03-16,1605
1990-03-19,1624
1990-03-20,1625
1990-03-21,1620
1990-03-22,1642
1990-03-23,1612
1990-03-26,1565
1990-03-27,1595
1990-03-28,1578
1990-03-29,1572
1990-03-30,1549
1990-04-02,1542
1990-04-03,1585
1990-04-04,1614
1990-04-05,1620
1990-04-06,1610
1990-04-09,1598
1990-04-10,1615
1990-04-11,1580
1990-04-12,1606
1990-04-17,1587
1990-04-18,1594
1990-04-19,1575
1990-04-20,1585
1990-04-23,1596
1990-04-24,1622
1990-04-25,1650
1990-04-26,1657
1990-04-27,1666
1990-04-30,1682
1990-05-01,1691
1990-05-02,1680
1990-05-03,1692
1990-05-04,1695
1990-05-08,1692
1990-05-09,1715
1990-05-10,1735
1990-05-11,1726
1990-05-14,1720
1990-05-15,1715
1990-05-16,1695
1990-05-17,1712
1990-05-18,1685
1990-05-21,1668
1990-05-22,1702
1990-05-23,1688
1990-05-24,1712
1990-05-25,1703
1990-05-29,1690
1990-05-30,1685
1990-05-31,1680
1990-06-01,1686
1990-06-04,1692
1990-06-05,1687
1990-06-06,1688
1990-06-07,1642
1990-06-08,1636
1990-06-11,1640
1990-06-12,1642
1990-06-13,1628
1990-06-14,1628
1990-06-15,1630
1990-06-18,1638
1990-06-19,1637
1990-06-20,1625
1990-06-21,1612
1990-06-22,1621
1990-06-25,1642
1990-06-26,1645
1990-06-27,1667
1990-06-28,1660
1990-06-29,1660
1990-07-02,1627
1990-07-03,1627
1990-07-04,1614
