date,price
1990-05-17,2425
1990-05-21,2385
1990-05-22,2421
1990-05-23,2429
1990-05-24,2436
1990-05-25,2453
1990-05-28,2473
1990-05-29,2450
1990-05-30,2439
1990-05-31,2440
1990-06-01,2424
1990-06-04,2432
1990-06-05,2433
1990-06-06,2424
1990-06-07,2419
1990-06-08,2472
1990-06-11,2426
1990-06-12,2430
1990-06-13,2437
1990-06-14,2451
1990-06-15,2436
1990-06-18,2419
1990-06-19,2392
1990-06-20,2418
1990-06-21,2391
1990-06-22,2366
1990-06-25,2330
1990-06-26,2374
1990-06-27,2390
1990-06-28,2399
1990-06-29,2346
1990-07-02,2389
1990-07-03,2400
1990-07-04,2410
1990-07-05,2399
1990-07-06,2407
1990-07-09,2397
1990-07-10,2375
1990-07-11,2396
1990-07-12,2389
1990-07-13,2414
1990-07-16,2446
1990-07-17,2444
1990-07-18,2432
1990-07-19,2413
1990-07-20,2385
1990-07-23,2351
1990-07-24,2320
1990-07-25,2333
1990-07-26,2299
1990-07-27,2252
1990-07-30,2238
1990-07-31,2304
1990-08-01,2248
1990-08-02,2224
1990-08-03,2172
1990-08-06,2082
1990-08-07,2071
1990-08-08,2111
1990-08-09,2078
1990-08-10,2045
1990-08-13,1960
1990-08-14,2020
1990-08-15,2110
1990-08-16,2067
1990-08-17,2024
1990-08-20,2038
1990-08-21,2001
1990-08-22,1930
1990-08-23,1870
1990-08-24,1846
1990-08-27,1915
1990-08-28,1959
1990-08-29,1899
1990-08-30,1959
1990-08-31,1992
1990-09-03,1943
1990-09-04,1901
1990-09-05,1851
1990-09-06,1840
1990-09-07,1864
1990-09-10,1924
1990-09-11,1884
1990-09-12,1912
1990-09-13,1913
1990-09-14,1912
1990-09-17,1852
1990-09-18,1814
1990-09-19,1805
1990-09-20,1784
1990-09-21,1769
1990-09-25,1720
1990-09-26,1660
1990-09-27,1629
1990-09-28,1569
1990-10-01,1527
1990-10-02,1590
1990-10-03,1650
1990-10-04,1652
1990-10-05,1701
1990-10-08,1761
1990-10-09,1741
1990-10-11,1691
1990-10-12,1684
1990-10-15,1744
1990-10-16,1776
1990-10-17,1778
1990-10-18,1803
1990-10-19,1830
1990-10-22,1873
1990-10-23,1878
1990-10-24,1871
1990-10-25,1911
1990-10-26,1895
1990-10-29,1908
1990-10-30,1887
1990-10-31,1872
1990-11-01,1803
1990-11-02,1807
1990-11-05,1830
1990-11-06,1775
1990-11-07,1772
1990-11-08,1719
1990-11-09,1726
1990-11-13,1786
1990-11-14,1787
1990-11-15,1750
1990-11-16,1740
1990-11-19,1761
1990-11-20,1733
1990-11-21,1701
1990-11-22,1761
1990-11-26,1774
1990-11-27,1748
1990-11-28,1710
1990-11-29,1677
1990-11-30,1658
1990-12-03,1690
1990-12-04,1630
1990-12-05,1658
1990-12-06,1671
1990-12-07,1731
1990-12-10,1754
1990-12-11,1776
1990-12-12,1782
1990-12-13,1805
1990-12-14,1839
1990-12-17,1818
1990-12-18,1836
1990-12-19,1868
1990-12-20,1833
1990-12-21,1808
1990-12-25,1754
1990-12-26,1783
1990-12-27,1785
1990-12-28,1752
1991-01-04,1792
1991-01-07,1753
1991-01-08,1694
1991-01-09,1717
1991-01-10,1710
1991-01-11,1733
1991-01-14,1718
1991-01-16,1662
1991-01-17,1722
1991-01-18,1771
1991-01-21,1734
1991-01-22,1730
1991-01-23,1722
1991-01-24,1740
1991-01-25,1755
1991-01-28,1754
1991-01-29,1749
1991-01-30,1745
1991-01-31,1730
1991-02-01,1735
1991-02-04,1747
1991-02-05,1776
1991-02-06,1790
1991-02-07,1810
1991-02-08,1819
1991-02-12,1879
1991-02-13,1907
1991-02-14,1908
1991-02-15,1915
1991-02-18,1975
1991-02-19,1982
1991-02-20,1973
1991-02-21,1953
1991-02-22,1942
1991-02-25,1993
1991-02-26,1963
1991-02-27,1947
1991-02-28,1965
1991-03-01,1930
1991-03-04,1934
1991-03-05,1938
1991-03-06,1959
1991-03-07,1996
1991-03-08,2010
1991-03-11,2039
1991-03-12,2035
1991-03-13,2013
1991-03-14,2030
1991-03-15,2074
1991-03-18,2089
1991-03-19,2084
1991-03-20,2038
1991-03-22,2047
1991-03-25,2039
1991-03-26,2016
1991-03-27,1992
1991-03-28,1992
1991-03-29,1988
1991-04-01,1990
1991-04-02,2019
1991-04-03,2051
1991-04-04,2040
1991-04-05,2048
1991-04-08,2032
1991-04-09,2020
1991-04-10,2020
1991-04-11,2017
1991-04-12,2049
1991-04-15,2051
1991-04-16,2055
1991-04-17,2063
1991-04-18,2048
1991-04-19,2040
1991-04-22,2015
1991-04-23,2028
1991-04-24,2008
1991-04-25,1988
1991-04-26,2005
1991-04-30,1993
1991-05-01,2033
1991-05-02,2037
1991-05-07,2022
1991-05-08,2019
1991-05-09,2018
1991-05-10,2027
1991-05-13,2014
1991-05-14,2006
1991-05-15,1977
1991-05-16,1958
1991-05-17,1975
1991-05-20,1942
1991-05-21,1960
1991-05-22,1940
1991-05-23,1976
1991-05-24,1963
1991-05-27,1956
1991-05-28,1950
1991-05-29,1959
1991-05-30,1973
1991-05-31,1976
1991-06-03,1966
1991-06-04,1959
1991-06-05,1937
1991-06-06,1923
1991-06-07,1925
1991-06-10,1890
1991-06-11,1903
1991-06-12,1891
1991-06-13,1954
1991-06-14,1959
1991-06-17,1957
1991-06-18,1940
1991-06-19,1898
1991-06-20,1910
1991-06-21,1932
1991-06-24,1882
1991-06-25,1904
1991-06-26,1877
1991-06-27,1860
1991-06-28,1850
1991-07-01,1910
1991-07-02,1901
1991-07-03,1856
1991-07-04,1844
1991-07-05,1815
1991-07-08,1768
1991-07-09,1806
1991-07-10,1831
1991-07-11,1826
1991-07-12,1840
1991-07-15,1875
1991-07-16,1851
1991-07-17,1832
1991-07-18,1820
1991-07-19,1828
1991-07-22,1809
1991-07-23,1819
1991-07-24,1850
1991-07-25,1837
1991-07-26,1860
1991-07-29,1856
1991-07-30,1876
1991-07-31,1878
1991-08-01,1868
1991-08-02,1873
1991-08-05,1860
1991-08-06,1838
1991-08-07,1859
1991-08-08,1843
1991-08-09,1837
1991-08-12,1794
1991-08-13,1796
1991-08-14,1810
1991-08-15,1799
1991-08-16,1783
1991-08-19,1723
1991-08-20,1710
1991-08-21,1726
1991-08-22,1766
1991-08-23,1726
1991-08-26,1704
1991-08-27,1704
1991-08-28,1704
1991-08-29,1729
1991-08-30,1745
1991-09-02,1765
1991-09-03,1753
1991-09-04,1741
1991-09-05,1755
1991-09-06,1769
1991-09-09,1760
1991-09-10,1754
1991-09-11,1756
1991-09-12,1795
1991-09-13,1855
1991-09-17,1867
1991-09-18,1862
1991-09-19,1848
1991-09-20,1838
1991-09-24,1854
1991-09-25,1858
1991-09-26,1871
1991-09-27,1868
1991-09-30,1858
1991-10-01,1880
1991-10-02,1886
1991-10-03,1905
1991-10-04,1906
1991-10-07,1891
1991-10-08,1872
1991-10-09,1879
1991-10-11,1864
1991-10-14,1855
1991-10-15,1871
1991-10-16,1870
1991-10-17,1895
1991-10-18,1913
1991-10-21,1913
1991-10-22,1906
1991-10-23,1909
1991-10-24,1919
1991-10-25,1908
1991-10-28,1914
1991-10-29,1925
1991-10-30,1905
1991-10-31,1910
1991-11-01,1899
1991-11-05,1897
1991-11-06,1883
1991-11-07,1881
1991-11-08,1857
1991-11-11,1852
1991-11-12,1877
1991-11-13,1856
1991-11-14,1842
1991-11-15,1829
1991-11-18,1780
1991-11-19,1766
1991-11-20,1773
1991-11-21,1759
1991-11-22,1762
1991-11-25,1755
1991-11-26,1774
1991-11-27,1750
1991-11-28,1741
1991-11-29,1716
1991-12-02,1685
1991-12-03,1711
1991-12-04,1740
1991-12-05,1724
1991-12-06,1714
1991-12-09,1704
1991-12-10,1680
1991-12-11,1655
1991-12-12,1683
1991-12-13,1761
1991-12-16,1763
1991-12-17,1741
