date,price
2005-10-04,184.53
2005-10-05,176.5
2005-10-06,172
2005-10-07,174
2005-10-10,173
2005-10-11,177
2005-10-12,177.57
2005-10-13,172.86
2005-10-14,170.44
2005-10-17,175.7
2005-10-18,169
2005-10-19,165.72
2005-10-20,160.25
2005-10-21,164.5
2005-10-24,160.53
2005-10-25,166.2
2005-10-26,160
2005-10-27,161
2005-10-28,164.5
2005-10-31,158.11
2005-11-01,159.6
2005-11-02,157.6
2005-11-03,162.6
2005-11-04,160.5
2005-11-07,157.9
2005-11-08,160.74
2005-11-09,158.8
2005-11-10,154.38
2005-11-11,154
2005-11-14,154.3
2005-11-15,150.87
2005-11-16,152.67
2005-11-17,150.43
2005-11-18,150.23
2005-11-21,150.8
2005-11-22,155.82
2005-11-23,154.8
2005-11-28,150.19
2005-11-29,148.06
2005-11-30,152.71
2005-12-01,159.25
2005-12-02,163.13
2005-12-05,161.5
2005-12-06,161
2005-12-07,159.76
2005-12-08,166.66
2005-12-09,163.99
2005-12-12,168.68
2005-12-13,169.09
2005-12-14,168.57
2005-12-15,168
2005-12-16,161.89
2005-12-19,157.52
2005-12-20,155.88
2005-12-21,157.64
2005-12-22,159.06
2005-12-23,160.05
2005-12-27,157.34
2005-12-28,162.11
2005-12-29,168.24
2005-12-30,174
2006-01-03,178.62
2006-01-04,182.45
2006-01-05,181.7
2006-01-06,184.55
2006-01-09,179.75
2006-01-10,178
2006-01-11,176.31
2006-01-12,176.85
2006-01-13,177.11
2006-01-17,184
2006-01-18,180
2006-01-19,180
2006-01-20,183
2006-01-23,181
2006-01-24,177.44
2006-01-25,170.46
2006-01-26,172.43
2006-01-27,177.14
2006-01-30,180.49
2006-01-31,175.58
2006-02-01,174.35
2006-02-02,168.93
2006-02-03,170.17
2006-02-06,166.22
2006-02-07,161.4
2006-02-08,158.31
2006-02-09,158.01
2006-02-10,151.05
2006-02-13,147.8
2006-02-14,144.61
2006-02-15,143.1
2006-02-16,148.83
2006-02-17,152.87
2006-02-21,153.07
2006-02-22,149.79
2006-02-23,152.01
2006-02-24,155.97
2006-02-27,148.7
2006-02-28,154.43
2006-03-01,179.99
2006-03-02,186.25
2006-03-03,189.81
2006-03-06,184.1
2006-03-07,185.35
2006-03-08,183.23
2006-03-09,184
2006-03-10,181.85
2006-03-13,187
2006-03-14,194.89
2006-03-15,191.05
2006-03-16,194.9
2006-03-17,193.25
2006-03-20,187.48
2006-03-21,189.75
