date,price
1993-11-01,128.75
1993-11-02,130.05
1993-11-03,131
1993-11-04,132.75
1993-11-05,130.75
1993-11-08,130.6
1993-11-09,131.25
1993-11-10,131.25
1993-11-11,131.3
1993-11-12,130.65
1993-11-15,132.25
1993-11-16,132.85
1993-11-17,130.5
1993-11-18,130.7
1993-11-19,130.3
1993-11-22,130
1993-11-23,126.8
1993-11-24,126
1993-11-25,127.5
1993-11-26,126.5
1993-11-29,122.75
1993-11-30,122
1993-12-01,124
1993-12-02,124.95
1993-12-03,125.25
1993-12-06,126.75
1993-12-07,128.75
1993-12-08,129.75
1993-12-09,138.75
1993-12-10,128.25
1993-12-13,129.15
1993-12-14,128.3
1993-12-15,127.5
1993-12-16,127.4
1993-12-17,126.5
1993-12-20,127
1993-12-21,127
1993-12-22,126.3
1993-12-23,126.5
1993-12-24,125.5
1993-12-27,126
1993-12-28,126.5
1993-12-29,125.25
1993-12-30,125.35
1993-12-31,124
1994-01-03,126.25
1994-01-04,128.75
1994-01-05,127.5
1994-01-06,127
1994-01-07,126.5
1994-01-10,124.4
1994-01-11,125
1994-01-12,124.65
1994-01-13,124.8
1994-01-14,124.85
1994-01-17,127
1994-01-18,126.9
1994-01-19,126
1994-01-20,125.2
1994-01-21,124.5
1994-01-24,124.75
1994-01-25,125
1994-01-26,125.25
1994-01-27,125
1994-01-28,124.75
1994-01-31,126
1994-02-01,128.25
1994-02-02,129.2
1994-02-03,130
1994-02-04,131.25
1994-02-07,130.25
1994-02-08,131.9
1994-02-09,134.2
1994-02-10,133.5
1994-02-11,133.5
1994-02-14,134.1
1994-02-15,137
1994-02-16,135.5
1994-02-17,135.3
1994-02-18,134.7
1994-02-21,134
1994-02-22,133.1
1994-02-23,133.1
1994-02-24,133.5
1994-02-25,135.45
1994-02-28,136.5
1994-03-01,136.1
1994-03-02,135.5
1994-03-03,129.75
1994-03-04,130.5
1994-03-07,131.6
1994-03-08,132.5
1994-03-09,132.5
1994-03-10,133.6
1994-03-11,135.5
1994-03-14,134.25
1994-03-15,134.5
1994-03-16,134
1994-03-17,133.25
1994-03-18,134
1994-03-21,134.15
1994-03-22,135.25
1994-03-23,135.7
1994-03-24,135.75
1994-03-25,136.15
1994-03-28,135.5
1994-03-29,134.5
1994-03-30,132.75
1994-03-31,135.5
1994-04-04,135.5
1994-04-05,134.75
1994-04-06,132.5
1994-04-07,132.95
1994-04-08,133.75
1994-04-11,132.6
1994-04-12,132.3
1994-04-13,132.5
1994-04-14,132.9
1994-04-15,132.5
1994-04-18,131.1
1994-04-19,132.25
1994-04-20,134.25
1994-04-21,134.25
1994-04-22,133
1994-04-25,134.55
1994-04-26,136
1994-04-27,137
1994-04-28,136.25
1994-04-29,138.5
1994-05-02,141.65
1994-05-03,140.75
1994-05-04,140
1994-05-05,138
1994-05-06,140.5
1994-05-09,137.25
1994-05-10,134.25
1994-05-11,136
1994-05-12,136
1994-05-13,135
1994-05-16,135.75
1994-05-17,135.75
1994-05-18,135.5
1994-05-19,135.75
1994-05-20,136.25
1994-05-23,137.9
1994-05-24,137.25
1994-05-25,132.5
1994-05-26,133.4
1994-05-27,134.45
1994-05-30,135.5
1994-05-31,136.25
1994-06-01,134.3
1994-06-02,134.5
1994-06-03,135
1994-06-06,135
1994-06-07,135.05
1994-06-08,136.25
1994-06-09,136.5
1994-06-10,136
1994-06-13,137.65
1994-06-14,138.5
1994-06-15,139.05
1994-06-16,139.05
1994-06-17,139.5
1994-06-20,138
1994-06-21,138.75
1994-06-22,138.75
1994-06-23,139.2
1994-06-24,138.75
1994-06-27,138.7
1994-06-28,138.75
1994-06-29,138.75
1994-06-30,142.7
1994-07-01,145
1994-07-04,145
1994-07-05,144.45
1994-07-06,142.6
1994-07-07,144.25
1994-07-08,144.5
1994-07-11,145.95
1994-07-12,146.25
1994-07-13,145.75
1994-07-14,147.4
1994-07-15,147.55
1994-07-18,146.85
1994-07-19,146
1994-07-20,146.15
1994-07-21,146.25
1994-07-22,147.5
1994-07-25,148.8
