date,price
1990-01-02,504
1990-01-03,504
1990-01-04,475.5
1990-01-05,475.5
1990-01-08,492.5
1990-01-09,492.5
1990-01-10,492.5
1990-01-11,492.75
1990-01-12,492.75
1990-01-15,500.5
1990-01-16,500.5
1990-01-17,500.5
1990-01-18,497.5
1990-01-19,497.5
1990-01-22,495.75
1990-01-23,495.75
1990-01-24,495.75
1990-01-25,498.75
1990-01-26,498.75
1990-01-29,507.76
1990-01-30,507.76
1990-01-31,507.76
1990-02-01,513
1990-02-02,513
1990-02-05,510.25
1990-02-06,510.25
1990-02-07,510.25
1990-02-08,511.13
1990-02-09,511.13
1990-02-12,508.25
1990-02-13,508.25
1990-02-14,508.25
1990-02-15,517.38
1990-02-16,517.38
1990-02-19,519.75
1990-02-20,519.75
1990-02-21,519.75
1990-02-22,531.75
1990-02-23,531.75
1990-02-26,522.5
1990-02-27,522.5
1990-02-28,522.5
1990-03-01,509.75
1990-03-02,509.75
1990-03-05,508.25
1990-03-06,508.25
1990-03-07,508.25
1990-03-08,509.5
1990-03-09,509.5
1990-03-12,505.25
1990-03-13,505.25
1990-03-14,505.25
1990-03-15,499.88
1990-03-16,499.88
1990-03-19,502.75
1990-03-20,502.75
1990-03-21,502.75
1990-03-22,489.75
1990-03-23,489.75
1990-03-26,495.13
1990-03-27,495.13
1990-03-28,495.13
1990-03-29,479.5
1990-03-30,479.5
1990-04-02,475
1990-04-03,475
1990-04-04,475
1990-04-05,477
1990-04-06,477
1990-04-09,480.5
1990-04-10,480.5
1990-04-11,480.5
1990-04-12,476.75
1990-04-13,476.75
1990-04-16,476.75
1990-04-17,476.75
1990-04-18,476.75
1990-04-19,478.75
1990-04-20,478.75
1990-04-23,482.5
1990-04-24,482.5
1990-04-25,482.5
1990-04-26,483.25
1990-04-27,483.25
1990-04-30,473.25
1990-05-01,473.25
1990-05-02,473.25
1990-05-03,478.63
1990-05-04,478.63
1990-05-07,481.5
1990-05-08,481.5
1990-05-09,481.5
1990-05-10,476.88
1990-05-11,476.88
1990-05-14,481.25
1990-05-15,481.25
1990-05-16,481.25
1990-05-17,487.73
1990-05-18,487.73
1990-05-21,489.75
1990-05-22,489.75
1990-05-23,489.75
1990-05-24,501.25
1990-05-25,501.25
1990-05-28,501.25
1990-05-29,501.25
1990-05-30,501.25
1990-05-31,499.25
1990-06-01,499.25
1990-06-04,490.69
1990-06-05,490.69
1990-06-06,490.69
1990-06-07,485.75
1990-06-08,485.75
1990-06-11,483
1990-06-12,483
1990-06-13,483
1990-06-14,485.75
1990-06-15,485.75
1990-06-18,475
1990-06-19,475
1990-06-20,475
1990-06-21,474
1990-06-22,474
1990-06-25,478.25
1990-06-26,478.25
1990-06-27,478.25
1990-06-28,478.5
1990-06-29,478.5
1990-07-02,483
1990-07-03,483
1990-07-04,483
1990-07-05,488
1990-07-06,488
1990-07-09,488.75
1990-07-10,488.75
1990-07-11,488.75
1990-07-12,479.5
1990-07-13,479.5
1990-07-16,473.5
1990-07-17,473.5
1990-07-18,473.5
1990-07-19,472.25
1990-07-20,472.25
1990-07-23,475.63
1990-07-24,475.63
1990-07-25,475.63
1990-07-26,477.25
1990-07-27,477.25
1990-07-30,476
1990-07-31,476
1990-08-01,476
1990-08-02,484.5
1990-08-03,484.5
1990-08-06,484.88
1990-08-07,484.88
1990-08-08,484.88
1990-08-09,478.25
1990-08-10,478.25
1990-08-13,483.63
1990-08-14,483.63
1990-08-15,483.63
1990-08-16,497.25
1990-08-17,497.25
1990-08-20,503.5
1990-08-21,503.5
1990-08-22,503.5
1990-08-23,498.5
1990-08-24,498.5
1990-08-27,498.5
1990-08-28,498.5
1990-08-29,498.5
1990-08-30,484.5
1990-08-31,484.5
1990-09-03,485.5
1990-09-04,485.5
1990-09-05,485.5
1990-09-06,485
1990-09-07,485
1990-09-10,479.75
1990-09-11,479.75
1990-09-12,479.75
1990-09-13,454
1990-09-14,454
1990-09-17,456.38
1990-09-18,456.38
1990-09-19,456.38
1990-09-20,460.25
1990-09-21,460.25
1990-09-24,456.13
1990-09-25,456.13
1990-09-26,456.13
1990-09-27,452.25
1990-09-28,452.25
1990-10-01,435
1990-10-02,435
1990-10-03,435
1990-10-04,445
1990-10-05,445
1990-10-08,445.25
1990-10-09,445.25
1990-10-10,445.25
1990-10-11,443.38
1990-10-12,443.38
1990-10-15,417.25
1990-10-16,417.25
1990-10-17,417.25
1990-10-18,393.25
1990-10-19,393.25
1990-10-22,403.5
1990-10-23,403.5
1990-10-24,403.5
1990-10-25,427.25
1990-10-26,427.25
1990-10-29,419.75
1990-10-30,419.75
1990-10-31,419.75
1990-11-01,436
1990-11-02,436
1990-11-05,429.5
1990-11-06,429.5
1990-11-07,429.5
1990-11-08,427
1990-11-09,427
1990-11-12,417.5
1990-11-13,417.5
1990-11-14,417.5
1990-11-15,418.25
1990-11-16,418.25
1990-11-19,419.5
1990-11-20,419.5
1990-11-21,419.5
1990-11-22,414
1990-11-23,414
1990-11-26,419.5
1990-11-27,419.5
1990-11-28,419.5
1990-11-29,425.75
1990-11-30,425.75
1990-12-03,426.75
1990-12-04,426.75
1990-12-05,426.75
1990-12-06,424.75
1990-12-07,424.75
1990-12-10,426.75
1990-12-11,426.75
1990-12-12,426.75
1990-12-13,423.25
1990-12-14,423.25
1990-12-17,416.25
1990-12-18,416.25
1990-12-19,416.25
1990-12-20,415
1990-12-21,415
1990-12-24,422.25
1990-12-25,422.25
1990-12-26,422.25
1990-12-27,422.25
1990-12-28,422.25
1990-12-31,412.75
1991-01-01,412.75
1991-01-02,412.75
1991-01-03,412.75
1991-01-04,412.75
1991-01-07,414.5
1991-01-08,414.5
1991-01-09,414.5
1991-01-10,412.75
1991-01-11,412.75
1991-01-14,417.75
1991-01-15,417.75
1991-01-16,417.75
1991-01-17,421.75
1991-01-18,421.75
1991-01-21,416.25
1991-01-22,416.25
1991-01-23,416.25
1991-01-24,406.75
1991-01-25,406.75
1991-01-28,391.25
1991-01-29,391.25
1991-01-30,391.25
1991-01-31,387
1991-02-01,387
1991-02-04,390
1991-02-05,390
1991-02-06,390
1991-02-07,384.75
1991-02-08,384.75
1991-02-11,380.75
1991-02-12,380.75
