date,price
2013-12-10,413.6
2013-12-11,408.4
2013-12-12,402.8
2013-12-13,402.7
2013-12-16,408.4
2013-12-17,404.2
2013-12-18,404.1
2013-12-19,403.3
2013-12-20,403.5
2013-12-23,407.2
2013-12-27,409.1
2013-12-30,410.6
2014-01-02,403.2
2014-01-03,398.9
2014-01-06,396.6
2014-01-07,397.1
2014-01-08,398.1
2014-01-09,390.8
2014-01-10,398.7
2014-01-13,400.8
2014-01-14,398.8
2014-01-15,401.3
2014-01-16,399.2
2014-01-17,396.6
2014-01-20,398
2014-01-21,397.4
2014-01-22,399.1
2014-01-23,393.8
2014-01-24,386.3
2014-01-27,381.4
2014-01-28,383.2
2014-01-29,380.4
2014-01-30,380.5
2014-01-31,381.2
2014-02-03,377.9
2014-02-04,375.2
2014-02-05,375.8
2014-02-06,380.6
2014-02-07,385
2014-02-10,380.4
2014-02-11,385.4
2014-02-12,390.2
2014-02-13,385.4
2014-02-14,395.3
2014-02-17,396.8
2014-02-18,395.3
2014-02-19,391.4
2014-02-20,389
2014-02-21,392.5
2014-02-24,394.9
2014-02-25,394
2014-02-26,392.8
2014-02-27,396
2014-02-28,394.8
2014-03-03,385.9
2014-03-04,393.4
2014-03-05,392.4
2014-03-06,400.4
2014-03-07,394
2014-03-10,390.7
2014-03-11,389.7
2014-03-12,385.9
2014-03-13,384.5
2014-03-14,384
2014-03-17,388.1
2014-03-18,389.6
2014-03-19,389.6
2014-03-20,387.5
2014-03-21,390
2014-03-24,390.3
2014-03-25,395.6
2014-03-26,400.9
2014-03-27,401.7
2014-03-28,406.9
2014-03-31,409.7
2014-04-01,412.1
2014-04-02,412.8
2014-04-03,410.5
2014-04-04,417.5
2014-04-07,414.4
2014-04-08,419.8
2014-04-09,418.4
2014-04-10,420.8
2014-04-11,416.3
2014-04-14,416.1
2014-04-15,410.4
2014-04-16,413.8
2014-04-17,417.3
2014-04-22,416.8
2014-04-23,413
2014-04-24,414.1
2014-04-25,407.6
2014-04-28,407.9
2014-04-29,413
2014-04-30,408.8
2014-05-02,411.9
2014-05-05,413.3
2014-05-06,415.5
2014-05-07,414
2014-05-08,415.7
2014-05-09,414.6
2014-05-12,420.7
2014-05-13,423.2
2014-05-14,426.6
2014-05-15,422
2014-05-16,427.2
2014-05-19,428.8
2014-05-20,427.8
2014-05-21,426.9
2014-05-22,430
2014-05-23,430.8
2014-05-26,431.4
2014-05-27,426.2
2014-05-28,428.1
2014-05-29,430.8
2014-05-30,425.6
2014-06-02,427.1
2014-06-03,428.2
2014-06-04,426
2014-06-05,429.2
2014-06-06,435.1
2014-06-09,434.1
2014-06-10,437.8
2014-06-11,437.4
