date,price
1990-01-03,76.74
1990-01-04,77.49
1990-01-05,76.98
1990-01-08,77.2
1990-01-09,77.29
1990-01-10,77.58
1990-01-11,77.98
1990-01-12,78.05
1990-01-15,77.92
1990-01-16,77.77
1990-01-17,78.06
1990-01-18,78.26
1990-01-19,78.28
1990-01-22,78.43
1990-01-23,76.42
1990-01-24,75.52
1990-01-25,74.95
1990-01-26,75.08
1990-01-29,75.31
1990-01-30,75.65
1990-01-31,76.28
1990-02-01,76.27
1990-02-02,76.67
1990-02-05,75.89
1990-02-06,75.88
1990-02-07,75.11
1990-02-08,74.79
1990-02-09,74.3
1990-02-12,74.74
1990-02-13,74.36
1990-02-14,73.92
1990-02-15,74.66
1990-02-16,75.2
1990-02-20,75.43
1990-02-21,76.34
1990-02-22,75.97
1990-02-23,76.25
1990-02-26,76.32
1990-02-27,75.4
1990-02-28,75.64
1990-03-01,76.1
1990-03-02,75.8
1990-03-05,75.61
1990-03-06,75.9
1990-03-07,75.85
1990-03-08,76.05
1990-03-09,75.86
1990-03-12,75.66
1990-03-13,76.33
1990-03-14,76.29
1990-03-15,75.62
1990-03-16,75.38
1990-03-19,75.49
1990-03-20,74.43
1990-03-21,74
1990-03-22,73.98
1990-03-23,73.54
1990-03-26,73.34
1990-03-27,73.5
1990-03-28,73.62
1990-03-29,74.19
1990-03-30,74.39
1990-04-02,74.89
1990-04-03,75.11
1990-04-04,75.54
1990-04-05,75.62
1990-04-06,75.51
1990-04-09,75.37
1990-04-10,75.71
1990-04-11,75.82
1990-04-12,75.9
1990-04-16,75.66
1990-04-17,75.78
1990-04-18,76.14
1990-04-19,76.57
1990-04-20,76.26
1990-04-23,75.88
1990-04-24,76
1990-04-25,76.05
1990-04-26,74.82
1990-04-27,74.64
1990-04-30,74.54
1990-05-01,74.05
1990-05-02,74.68
1990-05-03,74.94
1990-05-04,75.04
1990-05-07,75.13
1990-05-08,75.17
1990-05-09,75
1990-05-10,75.42
1990-05-11,75.59
1990-05-14,76.27
1990-05-15,75.93
1990-05-16,75.79
1990-05-17,75.8
1990-05-18,75.7
1990-05-21,75.99
1990-05-22,76.29
1990-05-23,76.25
1990-05-24,75.86
1990-05-25,76.57
1990-05-29,76.32
1990-05-30,77
1990-05-31,76.53
1990-06-01,76.6
1990-06-04,76.64
1990-06-05,77
1990-06-06,77.05
1990-06-07,77.68
1990-06-08,77.15
1990-06-11,77.48
1990-06-12,77.37
1990-06-13,77.4
1990-06-14,77.4
1990-06-15,77.63
1990-06-18,78.05
1990-06-19,77.14
1990-06-20,77.08
1990-06-21,77.75
1990-06-22,77.55
1990-06-25,77.38
1990-06-26,77.35
1990-06-27,77.61
1990-06-28,77.5
1990-06-29,78.29
1990-07-02,78.63
1990-07-03,78.8
1990-07-05,78.87
1990-07-06,78.71
1990-07-09,79.38
1990-07-10,79.98
1990-07-11,78.9
1990-07-12,78.83
1990-07-13,77.05
1990-07-16,77.61
1990-07-17,78.44
1990-07-18,77.93
1990-07-19,77.48
1990-07-20,77.71
1990-07-23,77.78
1990-07-24,77.77
1990-07-25,77.62
1990-07-26,77.44
1990-07-27,78.36
1990-07-30,78.5
1990-07-31,78.82
1990-08-01,78.88
1990-08-02,78.12
1990-08-03,78
1990-08-06,78.31
1990-08-07,78.7
1990-08-08,79.07
1990-08-09,79.61
1990-08-10,79.4
1990-08-13,79.87
1990-08-14,80.29
1990-08-15,80.24
1990-08-16,80.19
1990-08-17,80.57
1990-08-20,80.44
1990-08-21,81.06
1990-08-22,81.68
1990-08-23,83.32
1990-08-24,82.92
1990-08-27,82.67
1990-08-28,82.78
1990-08-29,82.83
1990-08-30,81.65
1990-08-31,81.35
1990-09-04,81.59
1990-09-05,82.6
1990-09-06,82.4
1990-09-07,82.05
1990-09-10,81.07
1990-09-11,81.58
1990-09-12,81.86
1990-09-13,82.73
1990-09-14,82.58
1990-09-17,83.2
1990-09-18,81.98
1990-09-19,81.95
1990-09-20,81.7
1990-09-21,82.07
1990-09-24,82.1
1990-09-25,82.31
1990-09-26,82.23
1990-09-27,81.93
1990-09-28,81.74
1990-10-01,82.22
1990-10-02,82.08
1990-10-03,82.49
1990-10-04,82.37
1990-10-05,82.6
1990-10-08,82.96
1990-10-09,82.62
1990-10-10,81.92
1990-10-11,80.95
1990-10-12,81.04
1990-10-15,78.14
1990-10-16,77.96
1990-10-17,77.01
