date,price
1990-01-03,912
1990-01-04,940
1990-01-05,949
1990-01-08,940
1990-01-09,957
1990-01-10,967
1990-01-11,1006
1990-01-12,987
1990-01-15,977
1990-01-16,958
1990-01-17,972
1990-01-18,937
1990-01-19,932
1990-01-22,954
1990-01-23,972
1990-01-24,953
1990-01-25,971
1990-01-26,992
1990-01-29,968
1990-01-30,976
1990-01-31,962
1990-02-01,961
1990-02-02,962
1990-02-05,974
1990-02-06,965
1990-02-07,942
1990-02-08,952
1990-02-09,973
1990-02-12,974
1990-02-13,956
1990-02-14,980
1990-02-15,981
1990-02-16,997
1990-02-20,1015
1990-02-21,1046
1990-02-22,1046
1990-02-23,1059
1990-02-26,1043
1990-02-27,1048
1990-02-28,1071
1990-03-01,1073
1990-03-02,1123
1990-03-05,1104
1990-03-06,1116
1990-03-07,1095
1990-03-08,1125
1990-03-09,1100
1990-03-12,1082
1990-03-13,1113
1990-03-14,1080
1990-03-15,1065
1990-03-16,1054
1990-03-19,1030
1990-03-20,1023
1990-03-21,1034
1990-03-22,1075
1990-03-23,1107
1990-03-26,1097
1990-03-27,1117
1990-03-28,1164
1990-03-29,1190
1990-03-30,1183
1990-04-02,1163
1990-04-03,1215
1990-04-04,1235
1990-04-05,1264
1990-04-06,1281
1990-04-09,1253
1990-04-10,1329
1990-04-11,1309
1990-04-12,1315
1990-04-16,1302
1990-04-17,1259
1990-04-18,1273
1990-04-19,1316
1990-04-20,1315
1990-04-23,1306
1990-04-24,1288
1990-04-25,1248
1990-04-26,1249
1990-04-27,1253
1990-04-30,1278
1990-05-01,1300
1990-05-02,1288
1990-05-03,1290
1990-05-04,1261
1990-05-07,1283
1990-05-08,1215
1990-05-09,1273
1990-05-10,1301
1990-05-11,1290
1990-05-14,1389
1990-05-15,1375
1990-05-16,1433
1990-05-17,1447
1990-05-18,1477
1990-05-21,1446
1990-05-22,1491
1990-05-23,1466
1990-05-24,1493
1990-05-25,1464
1990-05-29,1424
1990-05-30,1440
1990-05-31,1415
1990-06-01,1347
1990-06-04,1317
1990-06-05,1351
1990-06-06,1313
1990-06-07,1311
1990-06-08,1235
1990-06-11,1181
1990-06-12,1218
1990-06-13,1222
1990-06-14,1191
1990-06-15,1206
1990-06-18,1222
1990-06-19,1214
1990-06-20,1231
1990-06-21,1185
1990-06-22,1172
1990-06-25,1180
1990-06-26,1226
1990-06-27,1222
1990-06-28,1212
1990-06-29,1221
1990-07-02,1284
1990-07-03,1302
1990-07-05,1270
1990-07-06,1289
1990-07-09,1265
1990-07-10,1216
1990-07-11,1180
1990-07-12,1228
1990-07-13,1207
1990-07-16,1226
1990-07-17,1225
1990-07-18,1244
1990-07-19,1237
1990-07-20,1242
1990-07-23,1259
1990-07-24,1268
1990-07-25,1267
1990-07-26,1275
1990-07-27,1291
1990-07-30,1266
1990-07-31,1248
1990-08-01,1224
1990-08-02,1212
1990-08-03,1176
1990-08-06,1134
1990-08-07,1137
1990-08-08,1129
1990-08-09,1120
1990-08-10,1141
1990-08-13,1097
1990-08-14,1063
1990-08-15,1074
1990-08-16,1084
1990-08-17,1073
1990-08-20,1114
1990-08-21,1119
1990-08-22,1140
1990-08-23,1173
1990-08-24,1330
1990-08-27,1312
1990-08-28,1237
1990-08-29,1206
1990-08-30,1271
1990-08-31,1274
1990-09-04,1290
1990-09-05,1250
1990-09-06,1277
1990-09-07,1230
1990-09-10,1235
1990-09-11,1214
1990-09-12,1252
1990-09-13,1264
1990-09-14,1302
1990-09-17,1326
1990-09-18,1291
1990-09-19,1261
1990-09-20,1254
1990-09-21,1260
1990-09-24,1295
1990-09-25,1288
1990-09-26,1274
1990-09-27,1307
1990-09-28,1281
1990-10-01,1240
1990-10-02,1260
1990-10-03,1245
1990-10-04,1267
1990-10-05,1241
1990-10-08,1251
1990-10-09,1214
1990-10-10,1202
1990-10-11,1203
1990-10-12,1221
1990-10-15,1168
1990-10-16,1152
1990-10-17,1175
1990-10-18,1163
1990-10-19,1199
1990-10-22,1184
1990-10-23,1185
1990-10-24,1227
1990-10-25,1214
1990-10-26,1218
1990-10-29,1174
1990-10-30,1148
1990-10-31,1153
1990-11-01,1161
1990-11-02,1147
1990-11-05,1142
1990-11-06,1151
1990-11-07,1158
1990-11-08,1172
1990-11-09,1165
1990-11-12,1160
1990-11-13,1166
1990-11-14,1179
1990-11-15,1243
1990-11-16,1312
1990-11-19,1292
1990-11-20,1308
1990-11-21,1313
1990-11-23,1313
1990-11-26,1310
1990-11-27,1280
1990-11-28,1284
1990-11-29,1252
1990-11-30,1245
1990-12-03,1217
1990-12-04,1197
1990-12-05,1197
1990-12-06,1196
1990-12-07,1188
1990-12-10,1212
1990-12-11,1210
1990-12-14,1220
1990-12-17,1169
1990-12-18,1156
1990-12-19,1159
1990-12-20,1166
1990-12-21,1176
1990-12-24,1176
1990-12-26,1176
1990-12-27,1149
1990-12-28,1150
1990-12-31,1150
1991-01-02,1146
1991-01-03,1141
1991-01-04,1150
1991-01-07,1153
1991-01-08,1140
1991-01-09,1137
1991-01-10,1186
1991-01-11,1197
1991-01-14,1210
1991-01-15,1198
1991-01-16,1177
1991-01-17,1199
1991-01-18,1194
1991-01-21,1191
1991-01-22,1200
1991-01-23,1167
1991-01-24,1148
1991-01-25,1147
1991-01-28,1155
1991-01-29,1146
1991-01-30,1122
1991-01-31,1128
1991-02-01,1131
1991-02-04,1157
1991-02-05,1136
1991-02-06,1151
1991-02-07,1133
1991-02-08,1132
1991-02-11,1135
1991-02-12,1130
1991-02-13,1140
1991-02-14,1184
1991-02-15,1181
1991-02-19,1162
1991-02-20,1151
1991-02-21,1114
1991-02-22,1095
1991-02-25,1070
1991-02-26,1093
1991-02-27,1085
1991-02-28,1110
1991-03-01,1085
1991-03-04,1097
1991-03-05,1128
1991-03-06,1171
1991-03-07,1170
1991-03-08,1154
1991-03-11,1144
1991-03-12,1158
1991-03-13,1156
1991-03-14,1196
1991-03-15,1162
1991-03-18,1157
1991-03-19,1166
1991-03-20,1154
1991-03-21,1133
1991-03-22,1119
1991-03-25,1098
1991-03-26,1114
1991-03-27,1114
1991-03-28,1105
1991-04-01,1134
1991-04-02,1143
1991-04-03,1100
1991-04-04,1109
1991-04-05,1101
1991-04-08,1085
1991-04-09,1103
1991-04-10,1083
1991-04-11,1095
1991-04-12,1099
1991-04-15,1081
1991-04-16,1090
1991-04-17,1082
1991-04-18,1078
1991-04-19,1048
1991-04-22,1040
1991-04-23,1049
1991-04-24,1039
1991-04-25,1014
1991-04-26,1005
1991-04-29,991
1991-04-30,1015
1991-05-01,1004
1991-05-02,1012
1991-05-03,1003
1991-05-06,1006
1991-05-07,1001
1991-05-08,992
1991-05-09,978
1991-05-10,966
1991-05-13,961
1991-05-14,969
1991-05-15,986
1991-05-16,989
1991-05-17,997
1991-05-20,992
1991-05-21,993
1991-05-22,978
1991-05-23,978
1991-05-24,992
1991-05-28,984
1991-05-29,980
1991-05-30,1037
1991-05-31,1030
1991-06-03,1015
1991-06-04,1024
1991-06-05,1031
1991-06-06,1000
1991-06-07,982
1991-06-10,988
1991-06-11,970
1991-06-12,951
1991-06-13,937
1991-06-14,914
1991-06-17,926
1991-06-18,943
1991-06-19,926
1991-06-20,941
1991-06-21,939
1991-06-24,905
1991-06-25,900
1991-06-26,885
1991-06-27,891
1991-06-28,860
1991-07-01,892
1991-07-02,895
1991-07-03,882
1991-07-05,882
1991-07-08,874
1991-07-09,863
1991-07-10,880
1991-07-11,885
1991-07-12,905
1991-07-15,918
1991-07-16,886
1991-07-17,936
1991-07-18,939
1991-07-19,975
1991-07-22,960
1991-07-23,967
1991-07-24,963
1991-07-25,953
1991-07-26,1028
1991-07-29,1027
1991-07-30,1017
1991-07-31,1036
1991-08-01,1035
1991-08-02,1071
1991-08-05,1089
1991-08-06,1082
1991-08-07,1069
1991-08-08,1050
1991-08-09,1069
1991-08-12,1044
1991-08-13,1043
1991-08-14,1047
1991-08-15,1065
1991-08-16,1004
1991-08-19,952
1991-08-20,958
1991-08-21,989
1991-08-22,1020
1991-08-23,1027
1991-08-26,1038
1991-08-27,1022
1991-08-28,1025
1991-08-29,1019
1991-08-30,1038
1991-09-03,1085
1991-09-04,1150
1991-09-05,1151
1991-09-06,1168
1991-09-09,1163
1991-09-10,1150
1991-09-11,1160
1991-09-12,1178
1991-09-13,1153
1991-09-16,1189
1991-09-17,1230
1991-09-18,1221
1991-09-19,1218
1991-09-20,1233
1991-09-23,1218
1991-09-24,1204
1991-09-25,1226
1991-09-26,1223
1991-09-27,1210
1991-09-30,1220
1991-10-01,1210
1991-10-02,1222
1991-10-03,1298
1991-10-04,1281
1991-10-07,1282
1991-10-08,1271
1991-10-09,1270
1991-10-10,1263
1991-10-11,1266
1991-10-14,1219
1991-10-15,1181
1991-10-16,1211
1991-10-17,1219
1991-10-18,1201
1991-10-21,1188
1991-10-22,1177
1991-10-23,1194
1991-10-24,1186
1991-10-25,1186
1991-10-28,1170
1991-10-29,1162
1991-10-30,1188
1991-10-31,1208
1991-11-01,1204
1991-11-04,1200
1991-11-05,1213
1991-11-06,1229
1991-11-07,1219
1991-11-08,1197
1991-11-11,1199
1991-11-12,1204
1991-11-13,1199
1991-11-14,1219
1991-11-15,1208
1991-11-18,1201
1991-11-19,1230
1991-11-20,1221
1991-11-21,1215
1991-11-22,1202
1991-11-25,1188
1991-11-26,1178
1991-11-27,1185
1991-11-29,1185
1991-12-02,1178
1991-12-03,1205
1991-12-04,1229
1991-12-05,1248
1991-12-06,1231
1991-12-09,1227
1991-12-10,1241
1991-12-11,1237
1991-12-12,1255
1991-12-13,1280
1991-12-16,1333
1991-12-17,1313
1991-12-18,1305
1991-12-19,1312
1991-12-20,1298
1991-12-23,1313
1991-12-24,1306
1991-12-26,1328
1991-12-27,1297
1991-12-30,1284
1991-12-31,1245
1992-01-02,1253
1992-01-03,1229
1992-01-06,1227
1992-01-07,1197
1992-01-08,1186
1992-01-09,1183
1992-01-10,1205
1992-01-13,1199
1992-01-14,1193
1992-01-15,1176
1992-01-16,1200
1992-01-17,1218
1992-01-20,1209
1992-01-21,1202
1992-01-22,1190
1992-01-23,1190
1992-01-24,1208
1992-01-27,1176
1992-01-28,1179
1992-01-29,1191
1992-01-30,1204
1992-01-31,1177
1992-02-03,1143
1992-02-04,1127
1992-02-05,1138
1992-02-06,1121
1992-02-07,1117
1992-02-10,1120
1992-02-11,1132
1992-02-12,1091
1992-02-13,1075
1992-02-14,1078
1992-02-18,1066
1992-02-19,1084
1992-02-20,1082
1992-02-21,1070
1992-02-24,1069
1992-02-25,1080
1992-02-26,1101
