date,price
1990-01-03,85.56
1990-01-04,85.45
1990-01-05,85.55
1990-01-08,85.54
1990-01-09,85.54
1990-01-10,85.72
1990-01-11,85.83
1990-01-12,85.83
1990-01-15,85.27
1990-01-16,85.36
1990-01-17,85.28
1990-01-18,84.77
1990-01-19,83.98
1990-01-22,84.18
1990-01-23,84.36
1990-01-24,83.79
1990-01-25,83.65
1990-01-26,83.19
1990-01-29,83.58
1990-01-30,83.59
1990-01-31,83.76
1990-02-01,83.76
1990-02-02,83.69
1990-02-05,83.77
1990-02-06,83.75
1990-02-07,83.27
1990-02-08,83.2
1990-02-09,82.97
1990-02-12,82.9
1990-02-13,82.88
1990-02-14,82.54
1990-02-15,82.76
1990-02-16,82.96
1990-02-20,82.97
1990-02-21,83.14
1990-02-22,83.37
1990-02-23,83.22
1990-02-26,83.41
1990-02-27,83.47
1990-02-28,83.59
1990-03-01,83.72
1990-03-02,83.72
1990-03-05,83.93
1990-03-06,84.13
1990-03-07,84.41
1990-03-08,84.77
1990-03-09,84.62
1990-03-12,84.72
1990-03-13,84.91
1990-03-14,85.16
1990-03-15,84.64
1990-03-16,84.58
1990-03-19,84.45
1990-03-20,83.89
1990-03-21,83.91
1990-03-22,84.03
1990-03-23,84.15
1990-03-26,84.13
1990-03-27,84.03
1990-03-28,84.11
1990-03-29,84.41
1990-03-30,84.58
1990-04-02,84.73
1990-04-03,84.91
1990-04-04,84.76
1990-04-05,84.7
1990-04-06,85.02
1990-04-09,85.27
1990-04-10,85.44
1990-04-11,85.14
1990-04-12,85.36
1990-04-16,84.89
1990-04-17,85.16
1990-04-18,85.29
1990-04-19,85.32
1990-04-20,85.32
1990-04-23,85.51
1990-04-24,85.62
1990-04-25,85.54
1990-04-26,85.52
1990-04-27,85.37
1990-04-30,85.26
1990-05-01,85.32
1990-05-02,85.13
1990-05-03,85.18
1990-05-04,85.51
1990-05-07,85.51
1990-05-08,85.47
1990-05-09,85.29
1990-05-10,84.98
1990-05-11,84.58
1990-05-14,84.48
1990-05-15,84.52
1990-05-16,84.63
1990-05-17,84.69
1990-05-18,84.38
1990-05-21,84.56
1990-05-22,84.01
1990-05-23,84.04
1990-05-24,84.07
1990-05-25,84.18
1990-05-29,84.44
1990-05-30,84.75
1990-05-31,85.12
1990-06-01,84.99
1990-06-04,84.97
1990-06-05,84.81
1990-06-06,85.29
1990-06-07,85.41
1990-06-08,85.07
1990-06-11,85.32
1990-06-12,85.19
1990-06-13,85.29
1990-06-14,85.34
1990-06-15,85.39
1990-06-18,85.34
1990-06-19,84.08
1990-06-20,84.2
1990-06-21,83.93
1990-06-22,83.8
1990-06-25,83.94
1990-06-26,84.33
1990-06-27,84.55
1990-06-28,84.59
1990-06-29,85.09
1990-07-02,85.16
1990-07-03,85.16
1990-07-05,85.1
1990-07-06,85.24
1990-07-09,85.43
1990-07-10,85.57
1990-07-11,85.42
1990-07-12,85.61
