date,price
1996-01-12,12.18
1996-01-15,12.2
1996-01-16,12.23
1996-01-17,12.2
1996-01-18,12.33
1996-01-19,12.3
1996-01-22,12.28
1996-01-23,12.25
1996-01-24,12.3
1996-01-25,12.23
1996-01-26,12.05
1996-01-29,12.08
1996-01-30,12.08
1996-01-31,12
1996-02-01,11.95
1996-02-02,12
1996-02-05,12.15
1996-02-06,12.15
1996-02-07,12.2
1996-02-08,12.28
1996-02-09,12.3
1996-02-12,12.33
1996-02-13,12.38
1996-02-14,12.4
1996-02-15,12.4
1996-02-16,12.35
1996-02-20,12.33
1996-02-21,12.35
1996-02-22,12.53
1996-02-23,12.5
1996-02-26,12.55
1996-02-27,12.65
1996-02-28,12.78
1996-02-29,12.65
1996-03-01,12.65
1996-03-04,12.6
1996-03-05,12.65
1996-03-06,12.65
1996-03-07,12.65
1996-03-08,12.68
1996-03-11,12.6
1996-03-12,12.58
1996-03-13,12.6
1996-03-14,12.6
1996-03-15,12.6
1996-03-18,12.68
1996-03-19,12.65
1996-03-20,12.73
1996-03-21,12.85
1996-03-22,12.9
1996-03-25,12.93
1996-03-26,12.93
1996-03-27,12.93
1996-03-28,12.8
1996-03-29,12.8
1996-04-01,12.83
1996-04-02,12.85
1996-04-03,12.9
1996-04-04,12.85
1996-04-08,13.03
1996-04-09,13
1996-04-10,13
1996-04-11,13.05
1996-04-12,13.1
1996-04-15,13.4
1996-04-16,13.4
1996-04-17,13.6
1996-04-18,13.65
1996-04-19,13.65
1996-05-14,14.25
1996-05-15,14.35
1996-05-16,14.35
1996-05-17,14.43
1996-05-20,14.43
1996-05-21,14.48
1996-05-22,14.4
1996-05-23,14.45
1996-05-24,14.5
1996-05-28,14.95
1996-05-29,14.9
1996-05-30,14.8
1996-05-31,14.95
1996-06-03,14.98
1996-06-04,14.95
1996-06-05,14.95
1996-06-06,14.9
1996-06-07,14.95
1996-06-10,15
1996-06-11,15
1996-06-12,15
1996-06-13,15
1996-06-14,15.2
1996-06-17,15.2
1996-06-18,15.25
1996-06-19,15.25
1996-07-15,18.5
1996-07-16,18.5
1996-07-17,17.8
1996-07-18,16.6
1996-07-19,16.6
1996-07-22,17.75
1996-08-16,18.2
1996-08-19,18.2
1996-08-20,18.25
1996-08-21,18.25
1996-08-22,18.35
1996-08-23,18.4
1996-08-26,18.55
1996-08-27,18.7
1996-08-28,18.75
1996-08-29,18.65
1996-08-30,18.8
1996-09-03,18.8
1996-09-04,18.75
1996-09-05,18.8
1996-09-06,18.9
1996-09-09,19
1996-09-10,19.4
1996-09-11,19.4
1996-09-12,19.5
1996-09-13,19.6
1996-09-16,19.75
1996-09-17,19.9
1996-09-18,20.2
1996-09-19,21.7
1996-10-14,16.95
1996-10-15,17
1996-10-16,17
1996-10-17,17
1996-10-18,15.7
1996-10-21,14.8
1996-10-22,14.6
1996-10-23,14.5
1996-10-24,14.4
1996-10-25,14.4
1996-10-28,14.6
1996-10-29,14.6
1996-10-30,14.7
1996-10-31,14.7
1996-11-01,14.35
1996-11-04,14.4
1996-11-05,14.1
1996-11-06,14
1996-11-07,13.7
1996-11-08,13.7
1996-11-11,13.4
1996-11-12,12.9
1996-11-13,12.75
1996-11-14,12.75
1996-11-15,12.75
1996-11-18,13
1996-11-19,13
1996-12-16,12.5
1996-12-17,12.5
1996-12-18,12.5
1996-12-19,12.5
1996-12-20,12.5
1996-12-23,12.5
1996-12-24,12.5
1996-12-26,12.5
1996-12-27,12.5
1996-12-30,12.5
1996-12-31,12.5
1997-01-02,12.6
1997-01-03,12.6
1997-01-06,12.6
1997-01-07,13
1997-01-08,13.25
1997-01-09,13
1997-01-10,13
1997-01-13,13
1997-01-14,13
1997-01-15,13
1997-01-16,13
1997-01-17,13
1997-01-20,13
1997-01-21,13
1997-01-22,13
1997-01-23,13
1997-01-24,13
1997-01-27,13
1997-01-28,13
1997-01-29,13
1997-01-30,13
1997-01-31,13
1997-02-03,13
1997-02-04,13
1997-02-05,13
1997-02-06,13
1997-02-07,13.15
1997-02-10,13.5
1997-02-11,13.5
1997-02-12,14
1997-02-13,14
1997-02-14,14
1997-02-18,14.5
1997-02-19,14.25
1997-03-17,14
1997-03-18,14
1997-03-19,14
1997-03-20,14
1997-03-21,14
1997-03-24,14
1997-03-25,13.8
1997-03-26,13.5
1997-03-27,13.5
1997-03-31,13.4
1997-04-01,13.4
1997-04-02,13.3
1997-04-03,13.3
1997-04-04,13.3
1997-04-07,13.3
1997-04-08,13.1
1997-04-09,13.1
1997-04-10,13.1
1997-04-11,12.4
1997-04-14,12.4
1997-04-15,12.4
1997-04-16,12.4
1997-04-17,12.4
1997-04-18,12.4
1997-04-21,12.4
1997-05-16,11.75
1997-05-19,11.75
1997-05-20,11.75
1997-05-21,11.75
1997-05-22,11.75
1997-05-23,11.75
1997-07-07,11
1997-07-08,11
1997-07-09,11
1997-07-10,11
1997-07-11,11.22
1997-07-14,11.22
1997-07-15,11.22
1997-07-16,11.25
1997-07-17,11.05
1997-07-18,11.15
1997-07-21,11.14
1997-07-22,11.13
1997-07-23,11.09
1997-07-24,11.09
1997-07-25,11.09
1997-07-28,11.08
1997-07-29,11.08
1997-07-30,11.08
1997-07-31,11.08
1997-08-01,11.08
1997-08-04,11
1997-08-05,11.08
1997-08-26,11.95
1997-08-27,11.95
1997-08-28,11.99
1997-08-29,12.03
1997-09-02,12.07
1997-09-03,12.07
1997-09-04,12.07
1997-09-05,12.54
1997-09-08,12.54
1997-09-09,12.54
1997-09-10,12.54
1997-09-11,12.54
1997-09-12,12.57
1997-09-15,12.55
1997-09-16,12.55
1997-09-17,12.61
1997-09-18,12.61
1997-09-19,12.64
1997-09-22,12.65
1997-09-23,12.67
1997-09-24,12.7
1997-09-25,12.73
1997-09-26,12.73
1997-09-29,12.8
1997-09-30,12.82
1997-10-01,12.8
1997-10-02,12.78
1997-10-03,12.79
1997-10-06,12.82
1997-10-07,12.85
1997-10-08,12.85
1997-10-09,12.86
1997-10-10,12.86
1997-10-13,12.86
1997-10-14,12.86
1997-10-15,12.85
1997-10-16,12.87
1997-10-17,12.87
1997-10-20,12.87
1997-10-21,12.87
1997-10-22,12.87
1997-10-23,12.87
1997-10-24,12.9
1997-10-27,12.94
1997-10-28,12.95
1997-10-29,12.95
1997-10-30,12.98
1997-10-31,12.98
1997-11-03,12.95
1997-11-04,12.95
1997-11-05,12.64
1997-11-06,12.63
1997-11-07,12.65
1997-11-10,12.66
1997-11-11,12.66
1997-11-12,12.67
1997-11-13,12.68
1997-11-14,12.71
1997-11-17,12.73
1997-11-18,12.75
1997-11-19,12.78
1997-11-20,12.76
1997-11-21,12.8
1997-11-24,12.8
1997-11-25,12.77
1997-11-26,12.75
1997-11-28,12.85
1997-12-01,12.85
1997-12-02,12.85
1997-12-03,12.85
1997-12-04,12.85
1997-12-05,12.75
1997-12-08,12.75
1997-12-09,12.78
1997-12-10,12.78
1997-12-11,12.8
1997-12-12,13
1997-12-15,13
1997-12-16,12.99
1997-12-17,13.03
1997-12-18,13.03
1997-12-19,13.08
1997-12-22,13.1
1997-12-23,13.1
1997-12-24,13.1
1997-12-26,13.11
1997-12-29,13.06
1997-12-30,13.13
1997-12-31,13.16
1998-01-02,13.2
1998-01-05,12.82
1998-01-06,12.86
1998-01-07,12.87
1998-01-08,12.94
1998-01-09,13.26
1998-01-12,13.26
1998-01-13,13.27
1998-01-14,13.27
1998-01-15,13.27
1998-01-16,13.29
1998-01-20,13.3
1998-01-21,13.3
1998-01-22,13.29
1998-01-23,13.26
1998-01-26,13.27
1998-01-27,13.24
1998-01-28,13.23
1998-01-29,13.25
1998-01-30,13.25
1998-02-02,13.25
1998-02-03,13.26
1998-02-04,13.26
1998-02-05,13.3
1998-02-06,13.24
1998-02-09,13.24
1998-02-10,13.28
1998-02-11,13.29
1998-02-12,13.27
1998-02-13,13.27
1998-02-17,13.27
1998-02-18,13.15
1998-02-19,13.18
1998-02-20,13.28
1998-02-23,13.26
1998-02-24,13.26
1998-02-25,13.26
1998-02-26,13.27
1998-02-27,13.24
1998-03-02,13.25
1998-03-03,13.26
1998-03-04,13.26
1998-03-05,12.15
1998-03-06,12.49
1998-03-09,12.49
1998-03-10,12.49
1998-03-11,12.53
1998-03-12,12.7
1998-03-13,12.85
1998-03-16,12.85
1998-03-17,12.86
1998-03-18,12.81
1998-03-19,12.76
1998-03-20,12.86
1998-03-23,12.9
1998-03-24,12.9
1998-03-25,12.9
1998-03-26,12.9
1998-03-27,12.89
1998-03-30,12.89
1998-03-31,12.89
1998-04-01,12.9
1998-04-02,12.9
1998-04-03,12.26
1998-04-06,12.27
1998-04-07,12.24
1998-04-08,12.24
1998-04-09,12.2
1998-04-13,12.1
1998-04-14,12.11
1998-04-15,12.13
1998-04-16,12.07
1998-04-17,12
1998-04-20,11.97
1998-04-21,11.98
1998-04-22,11.98
1998-04-23,11.98
1998-04-24,12
1998-04-27,12.01
1998-04-28,12.01
1998-04-29,12.01
1998-04-30,12.01
1998-05-01,12.02
1998-05-04,12.05
1998-05-05,10.9
1998-05-06,10.92
1998-05-07,10.93
1998-05-08,11.07
1998-05-11,11.25
1998-05-12,11.2
1998-05-13,11.24
1998-05-14,11.27
1998-05-15,11.19
1998-05-18,11.15
1998-05-19,11.18
1998-05-20,11.2
1998-05-21,11.15
1998-05-22,11.14
1998-05-26,11.13
1998-05-27,11.14
1998-05-28,11.1
1998-05-29,11.06
1998-06-01,11
1998-06-02,10.99
1998-06-03,10.98
1998-06-04,10.98
1998-06-05,13.58
1998-06-08,13.36
1998-06-09,13.49
1998-06-10,13.55
1998-06-11,13.65
1998-06-12,13.21
1998-06-15,13.11
1998-06-16,13.05
1998-06-17,13.12
1998-06-18,13.06
1998-06-19,12.94
1998-06-22,12.88
1998-06-23,12.88
1998-06-24,12.88
1998-06-25,12.88
1998-06-26,12.94
1998-06-29,12.96
1998-06-30,13.03
1998-07-01,13.08
1998-07-02,14
1998-07-06,14.41
1998-07-07,14.41
1998-07-08,14.5
1998-07-09,14.5
1998-07-10,14.5
1998-07-13,14.52
1998-07-14,14.53
1998-07-15,14.59
1998-07-16,14.61
1998-07-17,14.55
1998-07-20,14.55
1998-07-21,14.55
1998-07-22,14.55
1998-07-23,14.5
1998-07-24,14.57
1998-07-27,14.57
1998-07-28,14.57
1998-07-29,14.6
1998-07-30,14.6
1998-07-31,14.57
1998-08-03,14.69
1998-08-04,14.7
1998-08-05,15.26
1998-08-06,15.38
1998-08-07,15.32
1998-08-10,15.3
1998-08-11,15.26
1998-08-12,15.3
1998-08-13,15.3
1998-08-14,15.3
1998-08-17,15.35
1998-08-18,15.33
1998-08-19,15.28
1998-08-20,15.3
1998-08-21,15.39
1998-08-24,15.39
1998-08-25,15.39
1998-08-26,15.4
1998-08-27,15.4
1998-08-28,15.41
1998-08-31,15.41
1998-09-01,15.08
1998-09-02,15.08
1998-09-03,15.04
1998-09-04,15.18
1998-09-08,15.2
1998-09-09,15.26
1998-09-10,15.3
1998-09-11,15.3
1998-09-14,15.28
1998-09-15,15.28
1998-09-16,15.25
1998-09-17,15.2
1998-09-18,15.22
1998-09-21,15.19
1998-09-22,15.17
1998-09-23,15.2
1998-09-24,15.2
1998-09-25,15.21
1998-09-28,15.22
1998-09-29,15.22
1998-09-30,15.14
1998-10-01,15.16
1998-10-02,15.1
1998-10-05,16
1998-10-06,16
1998-10-07,15.99
1998-10-08,15.99
1998-10-09,16.03
1998-10-12,15.98
1998-10-13,16
1998-10-14,15.95
1998-10-15,15.99
1998-10-16,16.01
1998-10-19,16.1
1998-10-20,16.01
1998-10-21,15.99
1998-10-22,15.99
1998-10-23,15.95
1998-10-26,15.94
1998-10-27,15.96
1998-10-28,15.98
1998-10-29,15.96
1998-10-30,15.95
1998-11-02,16.01
1998-11-03,16.01
1998-11-04,16.02
1998-11-05,16.61
1998-11-06,16.63
1998-11-09,16.69
1998-11-10,16.7
1998-11-11,16.7
1998-11-12,16.71
1998-11-13,16.71
1998-11-16,16.71
1998-11-17,16.73
1998-11-18,16.75
1998-11-19,16.75
1998-11-20,16.71
1998-11-23,16.71
1998-11-24,16.66
1998-11-25,16.66
1998-11-27,16.67
1998-11-30,16.7
1998-12-01,16.85
1998-12-02,16.86
1998-12-03,16.85
1998-12-04,17.08
1998-12-07,17.13
1998-12-08,17.17
1998-12-09,17.4
1998-12-10,17.3
1998-12-11,17.2
1998-12-14,17.24
1998-12-15,17.2
1998-12-16,17.18
1998-12-17,17.22
1998-12-18,17.2
1998-12-21,17.18
1998-12-22,17.18
1998-12-23,17.24
1998-12-24,17.2
1998-12-28,17.2
1998-12-29,17.32
1998-12-30,17.37
1998-12-31,17.26
1999-01-04,17.32
1999-01-05,16.1
1999-01-06,15.65
1999-01-07,15.48
1999-01-08,15.64
1999-01-11,15.86
1999-01-12,16.03
1999-01-13,16.03
1999-01-14,15.86
1999-01-15,15.7
1999-01-19,15.45
1999-01-20,15.36
1999-01-21,15.45
1999-01-22,15.67
1999-01-25,15.68
1999-01-26,15.73
1999-01-27,15.68
1999-01-28,15.7
1999-01-29,15.76
1999-02-01,16.24
1999-02-02,16.31
1999-02-03,16.32
1999-02-04,16.34
1999-02-05,11.5
1999-02-08,11.74
1999-02-09,11.69
1999-02-10,11.66
1999-02-11,11.59
1999-02-12,11.3
1999-02-16,11.15
1999-02-17,11.15
1999-02-18,11.17
1999-02-19,11.14
1999-02-22,10.81
1999-02-23,10.55
1999-02-24,10.52
1999-02-25,10.6
1999-02-26,10.8
1999-03-01,10.19
1999-03-02,10.15
1999-03-03,10.15
1999-03-04,10.2
1999-03-05,11.33
1999-03-08,11.39
1999-03-09,11.43
1999-03-10,11.43
1999-03-11,11.4
1999-03-12,11.37
1999-03-15,11.25
1999-03-16,11.3
1999-03-17,11.3
1999-03-18,11.4
1999-03-19,11.45
1999-03-22,11.43
1999-03-23,11.34
1999-03-24,11.42
1999-03-25,11.39
1999-03-26,11.4
1999-03-29,11.46
1999-03-30,11.42
1999-03-31,11.53
1999-04-01,11.58
1999-04-05,11.38
1999-04-06,11.41
1999-04-07,11.48
1999-04-08,11.51
1999-04-09,11.55
1999-04-12,11.69
1999-04-13,11.76
1999-04-14,11.68
1999-04-15,11.66
1999-04-16,11.63
1999-04-19,11.62
1999-04-20,11.62
1999-04-21,11.62
1999-04-22,11.62
1999-04-23,11.62
1999-04-26,11.61
1999-04-27,11.6
1999-04-28,11.6
1999-04-29,11.54
1999-04-30,11.58
1999-05-03,11.8
1999-05-04,11.8
1999-05-05,11.25
1999-05-06,11.19
1999-05-07,11.24
1999-05-10,11.25
1999-05-11,11.24
1999-05-12,11.24
1999-05-13,11.25
1999-05-14,11.26
1999-05-17,11.27
1999-05-18,11.3
1999-05-19,11.38
1999-05-20,11.33
1999-05-21,11.33
1999-05-24,11.32
1999-05-25,11.33
1999-05-26,11.33
1999-05-27,11.32
1999-05-28,11.3
1999-06-01,11.35
1999-06-02,11.34
1999-06-03,11.33
1999-06-04,11.78
1999-06-07,11.7
1999-06-08,11.7
1999-06-09,11.8
1999-06-10,12
1999-06-11,11.65
1999-06-14,11.64
1999-06-15,11.62
1999-06-16,11.6
1999-06-17,11.56
1999-06-18,11.58
1999-06-21,11.6
1999-06-22,11.6
1999-06-23,11.59
1999-06-24,11.55
1999-06-25,11.55
1999-06-28,11.55
1999-06-29,11.47
1999-06-30,11.5
1999-07-01,11.5
1999-07-02,13.5
1999-07-06,13.55
1999-07-07,13.57
1999-07-08,13.47
1999-07-09,13.4
1999-07-12,13.43
1999-07-13,13.42
1999-07-14,13.41
1999-07-15,13.48
1999-07-16,13.5
1999-07-19,13.6
1999-07-20,13.6
1999-07-21,13.6
1999-07-22,13.55
1999-07-23,13.5
1999-07-26,13.5
1999-07-27,13.52
1999-07-28,13.45
1999-07-29,13.5
1999-07-30,13.49
1999-08-02,13.6
1999-08-03,13.6
1999-08-04,13.64
1999-08-05,16.25
1999-08-06,16.25
1999-08-09,16.1
1999-08-10,16.17
1999-08-11,16.15
1999-08-12,16.19
1999-08-13,16.17
1999-08-16,16.15
1999-08-17,16.08
1999-08-18,16.05
1999-08-19,16.05
1999-08-20,16.15
1999-08-23,16.09
1999-08-24,16.09
1999-08-25,16.1
1999-08-26,16.04
1999-08-27,16.15
1999-08-30,16.15
1999-08-31,16.15
1999-09-01,15.84
1999-09-02,15.8
1999-09-03,15.14
1999-09-07,15.47
1999-09-08,16.05
1999-09-09,16.09
1999-09-10,16.05
1999-09-13,15.9
1999-09-14,15.89
1999-09-15,15.89
1999-09-16,15.89
1999-09-17,15.95
1999-09-20,15.9
1999-09-21,15.95
1999-09-22,15.94
1999-09-23,15.94
1999-09-24,16.08
1999-09-27,16.04
1999-09-28,16.04
1999-09-29,16.1
1999-09-30,16.15
1999-10-01,16.2
1999-10-04,16.2
1999-10-05,12.49
1999-10-06,12.35
1999-10-07,12.2
1999-10-08,12.1
1999-10-11,12
1999-10-12,11.94
1999-10-13,12.17
1999-10-14,12.29
1999-10-15,12.31
1999-10-18,12.21
1999-10-19,12.15
1999-10-20,12.06
1999-10-21,12.04
1999-10-22,12.04
1999-10-25,12.19
1999-10-26,12.25
1999-10-27,12.27
1999-10-28,12.2
1999-10-29,12.2
1999-11-01,11.83
1999-11-02,11.84
1999-11-03,11.83
1999-11-04,11.83
1999-11-05,10.5
1999-11-08,10.53
1999-11-09,10.5
1999-11-10,10.4
1999-11-11,10.45
1999-11-12,10.5
1999-11-15,10.5
1999-11-16,10.46
1999-11-17,10.4
1999-11-18,10.41
1999-11-19,10.15
1999-11-22,10.15
1999-11-23,10.1
1999-11-24,10.12
1999-11-26,10.12
1999-11-29,10.1
1999-11-30,10.05
1999-12-01,9.85
1999-12-02,9.85
