date,price
1990-01-03,84.475
1990-01-04,84.55
1990-01-05,84.575
1990-01-08,84.675
1990-01-09,84.65
1990-01-10,84.275
1990-01-11,84.375
1990-01-12,83.85
1990-01-15,83.35
1990-01-16,83.325
1990-01-17,83.875
1990-01-18,83.775
1990-01-19,83.85
1990-01-22,84.3
1990-01-23,84.425
1990-01-24,84.5
1990-01-25,84.5
1990-01-26,83.425
1990-01-29,83.275
1990-01-30,83.275
1990-01-31,82.525
1990-02-01,82.625
1990-02-02,83.05
1990-02-05,83.175
1990-02-06,82.675
1990-02-07,82.55
1990-02-08,82.425
1990-02-09,81.775
1990-02-12,81.85
1990-02-13,82.075
1990-02-14,81.975
1990-02-15,82.025
1990-02-16,82.175
1990-02-20,81.475
1990-02-21,80.25
1990-02-22,80.425
1990-02-23,80.225
1990-02-26,79.85
1990-02-27,80
1990-02-28,80.4
1990-03-01,80.5
1990-03-02,80.475
1990-03-05,80.825
1990-03-06,81.35
1990-03-07,81.475
1990-03-08,81.875
1990-03-09,82.1
1990-03-12,82.475
1990-03-13,83.15
1990-03-14,82.775
1990-03-15,82.6
1990-03-16,82.725
1990-03-19,82.95
1990-03-20,82.2
1990-03-21,82.35
1990-03-22,82.65
1990-03-23,82.65
1990-03-26,82.875
1990-03-27,82.75
1990-03-28,82.75
1990-03-29,82.675
1990-03-30,82.15
1990-04-02,82.625
1990-04-03,82.6
1990-04-04,82.275
1990-04-05,82.8
1990-04-06,83.6
1990-04-09,83.75
1990-04-10,84.1
1990-04-11,83.8
1990-04-12,84
1990-04-16,84.1
1990-04-17,83.95
1990-04-18,84.1
1990-04-19,84.05
1990-04-20,84.05
1990-04-23,83.9
1990-04-24,83.85
1990-04-25,84.275
1990-04-26,84.275
1990-04-27,82.15
1990-04-30,82.65
1990-05-01,82.55
1990-05-02,82.725
1990-05-03,83.675
1990-05-04,83.85
1990-05-07,84.65
1990-05-08,84.2
1990-05-09,84.525
1990-05-10,84.6
1990-05-11,84.825
1990-05-14,84.75
1990-05-15,84.75
1990-05-16,84.75
1990-05-17,84.825
1990-05-18,85.525
1990-05-21,85.675
1990-05-22,85.525
1990-05-23,85.6
1990-05-24,85.55
1990-05-25,83.775
1990-05-29,83.9
1990-05-30,83.575
1990-05-31,83.65
1990-06-01,84.375
1990-06-04,85.025
1990-06-05,84.975
1990-06-06,85.45
1990-06-07,85.1
1990-06-08,85.35
1990-06-11,85.45
1990-06-12,84.975
1990-06-13,84.975
1990-06-14,84.725
1990-06-15,84.65
1990-06-18,85.375
1990-06-19,85.55
1990-06-20,85.3
1990-06-21,85.425
1990-06-22,84.75
1990-06-25,84.475
1990-06-26,84.55
1990-06-27,84.2
1990-06-28,84.375
1990-06-29,84.025
1990-07-02,83.45
1990-07-03,83.25
1990-07-05,83.875
1990-07-06,84.55
1990-07-09,85.275
1990-07-10,85.275
1990-07-11,85.425
1990-07-12,86.275
1990-07-13,87.425
1990-07-16,87.375
1990-07-17,87.2
1990-07-18,87.35
1990-07-19,87.325
1990-07-20,87.75
1990-07-23,87.3
1990-07-24,88.375
1990-07-25,88.775
1990-07-26,88.625
1990-07-27,89.125
1990-07-30,89.275
1990-07-31,89.825
1990-08-01,89.475
1990-08-02,88.85
1990-08-03,88.475
1990-08-06,88.55
1990-08-07,89.675
1990-08-08,89.95
1990-08-09,89.85
1990-08-10,89.525
1990-08-13,90.075
1990-08-14,89.9
1990-08-15,90
1990-08-16,89.975
1990-08-17,89.65
1990-08-20,89.675
1990-08-21,89.875
1990-08-22,89.525
1990-08-23,88.95
1990-08-24,88.175
1990-08-27,88.7
1990-08-28,88.575
1990-08-29,88.775
1990-08-30,88.825
1990-08-31,86.775
1990-09-04,87.025
1990-09-05,87.025
1990-09-06,87
1990-09-07,87.375
1990-09-10,87.7
1990-09-11,87.75
1990-09-12,87.6
1990-09-13,88.2
1990-09-14,88.75
1990-09-17,89.175
1990-09-18,89.25
1990-09-19,89.375
1990-09-20,89.475
1990-09-21,89.475
1990-09-24,89.25
1990-09-25,89.025
1990-09-26,89.175
1990-09-27,89.35
1990-09-28,86.975
1990-10-01,88.125
1990-10-02,87.825
1990-10-03,87.75
1990-10-04,87.75
1990-10-05,87.825
1990-10-08,88.15
1990-10-09,88.125
1990-10-10,87.7
1990-10-11,87.375
1990-10-12,87.625
1990-10-15,87.325
1990-10-16,87.1
1990-10-17,86.8
1990-10-18,86.925
1990-10-19,86.85
1990-10-22,86.8
1990-10-23,87.175
1990-10-24,87.2
1990-10-25,87.325
1990-10-26,87.175
1990-10-29,87.075
1990-10-30,87.275
1990-10-31,87.725
1990-11-01,87.35
1990-11-02,87.225
1990-11-05,87.325
1990-11-06,87.9
1990-11-07,87.975
1990-11-08,87.6
1990-11-09,88.15
1990-11-12,88.15
1990-11-13,88.35
1990-11-14,88.55
1990-11-15,88.675
1990-11-30,87.6
1990-12-03,87.6
1990-12-04,87.325
1990-12-05,87.725
1990-12-06,88.225
1990-12-07,88.875
1990-12-10,89
1990-12-11,88.725
1990-12-12,88.725
1990-12-13,88.875
1990-12-14,89.175
1990-12-17,89.3
1990-12-18,89.225
1990-12-19,88.75
1990-12-20,88.65
1990-12-21,88.625
1990-12-24,88.825
1990-12-26,89.5
1990-12-27,89.2
1990-12-28,89.175
1990-12-31,89.4
1991-01-02,89.1
1991-01-03,89.15
1991-01-04,89.4
1991-01-07,89.225
1991-01-08,88.85
1991-01-09,88.8
1991-01-10,89.175
1991-01-11,89.05
1991-01-14,87.55
1991-01-15,87.225
1991-01-16,87.35
1991-01-17,88.225
1991-01-18,88.4
1991-01-21,88.75
1991-01-22,89.175
1991-01-23,89.45
1991-01-24,89.9
1991-01-25,90.1
1991-01-28,90.5
1991-01-29,90.475
1991-01-30,90.75
1991-01-31,90.725
1991-02-01,87.625
1991-02-04,87.625
1991-02-05,87.725
1991-02-06,88.4
1991-02-07,88.725
1991-02-08,88.475
1991-02-11,88.475
1991-02-12,88.875
1991-02-13,88.875
1991-02-14,88.65
1991-02-15,88.65
1991-02-19,88.85
1991-02-20,89.025
1991-02-21,88.925
1991-02-22,88.85
1991-02-25,88.875
1991-02-26,89.725
1991-02-27,89.725
1991-02-28,90.275
1991-03-01,90
1991-03-04,89.975
1991-03-05,90.325
1991-03-06,90.25
1991-03-07,90.3
1991-03-08,91.05
1991-03-11,91.025
1991-03-12,90.55
1991-03-13,90.325
1991-03-14,90.3
1991-03-15,90.525
1991-03-18,89.875
1991-03-19,89.75
1991-03-20,89.625
1991-03-21,89.825
1991-03-22,90.05
1991-03-25,89.475
1991-03-26,89.85
1991-03-27,89.775
1991-03-28,89.875
1991-04-01,89.175
1991-04-02,89.625
1991-04-03,89.825
1991-04-04,90.275
1991-04-05,90.925
1991-04-08,90.675
1991-04-09,90.375
1991-04-10,90.475
1991-04-11,90.1
1991-04-12,89.925
1991-04-15,90.2
1991-04-16,90.125
1991-04-17,90.025
