date,price
2002-07-03,24.1
2002-07-04,24.32
2002-07-05,23.98
2002-07-08,24.84
2002-07-09,24.92
2002-07-10,23.35
2002-07-11,23
2002-07-12,23.45
2002-07-15,23.75
2002-07-16,23.9
2002-07-17,23.8
2002-07-18,23.75
2002-07-19,23.7
2002-07-22,23.23
2002-07-23,23
2002-07-24,22.75
2002-07-25,23
2002-07-26,22.88
2002-07-29,23
2002-07-30,23.14
2002-07-31,22.73
2002-08-01,21.86
2002-08-02,21.43
2002-08-05,21.55
2002-08-06,21.35
2002-08-07,20.88
2002-08-08,20.65
2002-08-09,20.7
2002-08-12,20.78
2002-08-13,21
2002-08-14,21.4
2002-08-15,21.6
2002-08-16,20.93
2002-08-19,20.6
2002-08-20,21
2002-08-21,21.2
2002-08-22,21.5
2002-08-23,21.65
2002-08-26,22.4
2002-08-27,22.55
2002-08-28,23.4
2002-08-29,23.2
2002-08-30,23.11
2002-09-02,26.45
2002-09-03,24.62
2002-09-04,25.1
2002-09-05,24.8
2002-09-06,25.22
2002-09-09,25.43
2002-09-10,25.63
2002-09-11,25.86
2002-09-12,26.35
2002-09-13,25.93
2002-09-16,26.39
2002-09-17,26.83
2002-09-18,27.88
2002-09-19,28.01
2002-09-20,27.92
2002-09-23,27.75
2002-09-24,27.8
2002-09-25,27.8
2002-09-26,28.18
2002-09-27,27.84
2002-09-30,27.75
2002-10-01,27.85
2002-10-02,27.64
2002-10-03,27.64
2002-10-04,26.75
2002-10-07,25.68
2002-10-08,25.52
2002-10-09,25.03
2002-10-10,25
2002-10-11,24.85
2002-10-14,24.88
2002-10-15,24
2002-10-16,24.11
2002-10-17,24.04
2002-10-18,23.96
2002-10-21,23.26
2002-10-22,22.6
2002-10-23,22.47
2002-10-24,22.33
2002-10-25,22.26
2002-10-28,22.36
2002-10-29,22.42
2002-10-30,22.66
2002-10-31,30.7
2002-11-01,30.6
2002-11-04,28.7
2002-11-05,26.14
2002-11-06,26.7
2002-11-07,26
2002-11-08,24.38
2002-11-11,23.5
2002-11-12,23.83
2002-11-13,23.68
2002-11-14,23.11
2002-11-15,21.53
2002-11-18,20.55
2002-11-19,20.08
2002-11-20,20.1
2002-11-21,19.57
2002-11-22,19.27
2002-11-25,19.71
2002-11-26,19.71
2002-11-27,19.68
2002-11-28,19.46
2002-11-29,19.53
2002-12-02,26.28
2002-12-03,27.95
2002-12-04,26.86
2002-12-05,26.55
2002-12-06,24.51
2002-12-09,25.43
2002-12-10,26.07
2002-12-11,25.94
2002-12-12,24.92
2002-12-13,24.38
2002-12-16,24.63
2002-12-17,23.39
2002-12-18,23.65
2002-12-19,23.38
2002-12-20,23.48
2002-12-23,22.15
2002-12-27,22.1
2002-12-30,21.81
2003-01-02,27.08
2003-01-03,26.13
2003-01-06,30.29
2003-01-07,30.3
2003-01-08,30.86
2003-01-09,30.7
2003-01-10,30.55
2003-01-13,29.5
2003-01-14,29.05
2003-01-15,28.78
2003-01-16,29.01
2003-01-17,28.98
2003-01-20,29.15
2003-01-21,29.19
2003-01-22,29.08
2003-01-23,29.09
2003-01-24,29.43
2003-01-27,29.08
2003-01-28,29.13
2003-01-29,29.03
2003-01-30,29.08
2003-01-31,26.67
2003-02-03,26.53
2003-02-04,27.63
2003-02-05,27.73
2003-02-06,27.22
2003-02-07,27.24
2003-02-10,28.42
2003-02-11,29.7
2003-02-12,30.45
2003-02-13,31.44
2003-02-14,31.75
2003-02-17,33.28
2003-02-18,34.73
2003-02-19,34.18
2003-02-20,33.73
2003-02-21,34.03
2003-02-24,34.52
2003-02-25,34.5
2003-02-26,34.44
2003-02-27,27.75
2003-02-28,27.25
2003-03-03,28
2003-03-04,29.13
2003-03-05,28.5
2003-03-06,27.95
2003-03-07,27.3
2003-03-10,27.05
2003-03-11,27
2003-03-12,27.1
2003-03-13,27.25
2003-03-14,28
2003-03-17,28.05
2003-03-18,27.85
2003-03-19,27.78
2003-03-20,27.7
2003-03-21,27.47
2003-03-24,27.61
2003-03-25,27.64
2003-03-26,27.39
2003-03-27,27.39
2003-03-28,26.76
2003-03-31,23.1
2003-04-01,22.95
2003-04-02,22.3
2003-04-03,21.95
2003-04-04,21.7
2003-04-07,22.04
2003-04-08,22.33
2003-04-09,22.87
2003-04-10,23.05
2003-04-11,23.98
2003-04-14,24.48
2003-04-15,24.03
2003-04-16,24.03
2003-04-17,24.09
2003-04-22,24.41
2003-04-23,23.8
2003-04-24,23.73
2003-04-25,24.16
2003-04-28,23.94
2003-04-29,23.83
2003-04-30,22.41
2003-05-02,22.04
2003-05-05,21.77
2003-05-06,21.04
2003-05-07,20.64
2003-05-08,20.38
