date,price
2005-06-02,151.54
2005-06-03,155.71
2005-06-06,152.95
2005-06-07,151.57
2005-06-08,149.75
2005-06-09,157.14
2005-06-10,154.36
2005-06-13,155.42
2005-06-14,154.09
2005-06-15,156.25
2005-06-16,159.78
2005-06-17,164.71
2005-06-20,164.56
2005-06-21,162.74
2005-06-22,161.25
2005-06-23,165.67
2005-06-24,165.57
2005-06-27,167.5
2005-06-28,162.48
2005-06-29,158.45
2005-06-30,157.21
2006-01-31,172.58
2006-02-28,155.56
2006-03-01,162.24
2006-03-02,169.25
2006-03-03,174.31
2006-03-06,165.6
2006-03-07,163.34
2006-03-08,165.02
2006-03-09,172.01
2006-03-10,168.81
2006-03-13,174.33
2006-03-14,186.6
2006-03-15,182.91
2006-03-16,187.44
2006-03-17,186.01
2006-03-20,183.01
2006-03-21,183.95
2006-03-22,173.65
2006-03-23,181.61
2006-03-24,182.32
2006-03-27,182.88
2006-03-28,188.45
2006-03-29,195.42
2006-03-30,199.57
2006-03-31,194.58
2006-04-03,186.32
2006-04-04,189.55
2006-04-05,194.71
2006-04-06,199.99
2006-04-07,197.68
2006-04-10,200.92
2006-04-11,205.44
2006-04-12,209.11
2006-04-13,210.79
2006-04-17,216.97
2006-04-18,222.39
2006-04-19,223.94
2006-04-20,221.48
2006-04-21,223.84
2006-04-24,217.39
2006-04-25,212.91
2006-04-26,213.35
2006-04-27,207.19
2006-04-28,209.21
2006-05-01,214.66
2006-05-02,217.51
2006-05-03,208.57
2006-05-04,199.46
2006-05-05,204.06
2006-05-08,200.36
2006-05-09,204.66
2006-05-10,216.94
2006-05-11,221.96
2006-05-12,217.85
2006-05-15,205.4
2006-05-16,202.61
2006-05-17,197.51
2006-05-18,201.51
2006-05-19,203.84
2006-05-22,205.74
2006-05-23,210.8
2006-05-24,201.9
2006-05-25,210.44
2006-05-26,213.68
2006-05-30,214.99
2006-05-31,214.11
2006-06-01,212.72
2006-06-02,219.75
2006-06-05,216.42
2006-06-06,217.88
2006-06-07,212.4
2006-06-08,210.22
2006-06-09,215.28
2006-06-12,212.43
2006-06-13,205.18
2006-06-14,203.59
2006-06-15,203.96
2006-06-16,203.82
2006-06-19,199.14
2006-06-20,200.56
2006-06-21,206.6
2006-06-22,211.8
2006-06-23,212.76
2006-06-26,217.88
2006-06-27,219.85
2006-06-28,220.59
2006-06-29,229.48
2006-06-30,220.21
2006-07-03,221.88
2006-07-05,227.58
2006-07-06,225.9
2006-07-07,223.94
2006-07-10,217.47
2006-07-11,219.25
2006-07-12,225.59
2006-07-13,230.13
2006-07-14,232.49
2006-07-17,228.53
2006-07-18,226.7
2006-07-19,222.98
2006-07-20,224.77
2006-07-21,228.94
2006-07-24,231.42
2006-07-25,228.49
2006-07-26,229.62
2006-07-27,229.6
2006-07-28,223.35
2006-08-01,227.62
2006-08-02,233.77
2006-08-03,229.34
2006-08-04,223.15
2006-08-07,225.16
2006-08-08,222.63
2006-08-09,217.22
2006-08-10,198.89
2006-08-11,206.43
2006-08-14,199.05
2006-08-15,199.16
2006-08-16,197.81
2006-08-17,193.16
2006-08-18,196.69
2006-08-21,193.66
2006-08-22,193.93
2006-08-23,185.94
2006-08-24,186.15
2006-08-25,189.51
2006-08-28,178.31
2006-08-29,178.92
2006-08-30,180.19
2006-09-01,173.44
2006-09-05,164.65
2006-09-06,164
2006-09-07,164.17
2006-09-08,160.91
2006-09-11,159.46
2006-09-12,155.21
2006-09-13,155.31
2006-09-14,155.22
2006-09-15,157.5
2006-09-18,157.96
2006-09-19,150.38
2006-09-20,146.71
2006-09-21,149.94
2006-09-22,147.12
2006-09-25,150.01
2006-09-26,149.18
2006-09-27,153.99
2006-09-28,150.11
2006-09-29,154.92
2006-10-02,150.87
2006-10-03,145.67
2006-10-04,149.78
2006-10-05,151.65
2006-10-06,150.42
2006-10-09,149.49
2006-10-10,146.68
2006-10-11,145.03
2006-10-12,145.09
2006-10-13,146.84
2006-10-16,149.17
2006-10-17,146.33
2006-10-18,147.03
2006-10-19,148.94
2006-10-20,146.72
2006-10-23,147.15
2006-10-24,153.8
2006-10-25,159.23
2006-10-26,156.37
2006-10-27,155.99
2006-10-30,145.55
2006-11-01,146.3
2006-11-02,145.31
2006-11-03,150.69
2006-11-06,152.9
2006-11-07,152.41
2006-11-08,156.36
2006-11-09,160.1
2006-11-10,156.27
2006-11-13,153.7
2006-11-14,154.48
2006-11-15,158.21
2006-11-16,152.96
2006-11-17,154.11
2006-11-20,155.43
2006-11-21,163.27
2006-11-22,158.88
2006-11-24,158.88
2006-11-27,159.37
2006-11-28,162.66
2006-11-29,167.06
2006-12-01,168.55
2006-12-04,166.74
2006-12-05,163.64
2006-12-06,162.12
2006-12-07,162.75
2006-12-08,162.13
2006-12-11,159.88
2006-12-12,159.5
2006-12-13,161.74
2006-12-14,166.5
2006-12-15,168.63
2006-12-18,166.22
2006-12-19,170.05
2006-12-20,167.59
2006-12-21,164.21
2006-12-22,162.3
2006-12-26,157.22
2006-12-27,158.75
2006-12-28,158.21
