date,price
1990-01-03,109.65
1990-01-04,108.55
1990-01-05,109.5
1990-01-08,111.35
1990-01-09,110.2
1990-01-10,108.1
1990-01-11,109.2
1990-01-12,105.9
1990-01-15,104
1990-01-16,104.5
1990-01-17,104
1990-01-18,102.35
1990-01-19,99.3
1990-01-22,98.75
1990-01-23,97.45
1990-01-24,96.6
1990-01-25,97.7
1990-01-26,98.35
1990-01-29,96.75
1990-01-30,95.65
1990-01-31,98.6
1990-02-01,97.7
1990-02-02,100.05
1990-02-05,98.7
1990-02-06,99.2
1990-02-07,100.05
1990-02-08,99.75
1990-02-09,101.25
1990-02-12,99.9
1990-02-13,104.2
1990-02-14,105.7
1990-02-15,107.05
1990-02-16,111.35
1990-02-20,113
1990-02-21,114.2
1990-02-22,114.8
1990-02-23,114
1990-02-26,113.85
1990-02-27,111.9
1990-02-28,113.85
1990-03-01,115.2
1990-03-02,119.8
1990-03-05,123
1990-03-06,120.25
1990-03-07,119.8
1990-03-08,121.2
1990-03-09,121.5
1990-03-12,121.3
1990-03-13,119
1990-03-14,125
1990-03-15,128.05
1990-03-16,129.85
1990-03-19,129.6
1990-03-20,128
1990-03-21,132.6
1990-03-22,129.1
1990-03-23,129.2
1990-03-26,126.2
1990-03-27,121.65
1990-03-28,122.5
1990-03-29,117.9
1990-03-30,122.4
1990-04-02,120.9
1990-04-03,124.85
1990-04-04,120.15
1990-04-05,118.9
1990-04-06,121.1
1990-04-09,116.7
1990-04-10,119.35
1990-04-11,118.1
1990-04-12,116.85
1990-04-16,116.5
1990-04-17,116.25
1990-04-18,116.2
1990-04-19,116.6
1990-04-20,112.55
1990-04-23,112.1
1990-04-24,115.5
1990-04-25,120
1990-04-26,120
1990-04-27,119.6
1990-04-30,116.9
1990-05-01,122.1
1990-05-02,121.3
1990-05-03,120.2
1990-05-04,118.9
1990-05-07,117.2
1990-05-08,120.4
1990-05-09,124.4
1990-05-10,125.7
1990-05-11,125.05
1990-05-14,124
1990-05-15,121.3
1990-05-16,121.7
1990-05-17,121.2
1990-05-18,121.6
1990-05-21,119.9
1990-05-22,121.75
1990-05-23,119
1990-05-24,119.95
1990-05-25,119.95
1990-05-29,115.85
1990-05-30,111.5
1990-05-31,110.85
1990-06-01,111.8
1990-06-04,111.15
1990-06-05,113.1
1990-06-06,112.1
1990-06-07,112.15
1990-06-08,111.75
1990-06-11,109.65
1990-06-12,110.6
1990-06-13,109.6
1990-06-14,110.8
1990-06-15,111.8
1990-06-18,113.9
1990-06-19,113
1990-06-20,109.85
1990-06-21,110.6
1990-06-22,111.2
1990-06-25,108.9
1990-06-26,108.35
1990-06-27,110
1990-06-28,114.3
1990-06-29,115.45
1990-07-02,114.1
1990-07-03,114.4
1990-07-05,117.1
1990-07-06,119.6
1990-07-09,119.6
1990-07-10,118.6
1990-07-11,124.35
1990-07-12,127.35
1990-07-13,126.65
1990-07-16,125.1
1990-07-17,122.75
1990-07-18,121.3
1990-07-19,119.45
1990-07-20,121.15
1990-07-23,120.75
1990-07-24,122.25
1990-07-25,123.7
1990-07-26,125.5
1990-07-27,126.8
1990-07-30,123.55
1990-07-31,124.6
1990-08-01,128.85
1990-08-02,128.9
1990-08-03,125.5
1990-08-06,126.35
1990-08-07,127.3
1990-08-08,130.95
1990-08-09,132.05
1990-08-10,132
1990-08-13,129.8
1990-08-14,132.85
1990-08-15,133.55
1990-08-16,132.65
1990-08-17,133.3
1990-08-20,131.95
1990-08-21,131.75
1990-08-22,129.15
1990-08-23,129.65
1990-08-24,129.05
1990-08-27,130.35
1990-08-28,128.9
1990-08-29,129.7
1990-08-30,129.55
1990-08-31,130.05
1990-09-04,128.1
1990-09-05,126.15
1990-09-06,128.2
1990-09-07,135.45
1990-09-10,133.8
1990-09-11,134.8
1990-09-12,135.9
1990-09-13,132.8
1990-09-14,133.3
1990-09-17,133.45
