date,price
1990-01-03,78.2
1990-01-04,73.19
1990-01-05,67.83
1990-01-08,64.33
1990-01-09,65.05
1990-01-10,66.88
1990-01-11,69.32
1990-01-12,69.65
1990-01-15,64.6
1990-01-16,64.03
1990-01-17,60.52
1990-01-18,61.84
1990-01-19,63.66
1990-01-22,60.99
1990-01-23,59.28
1990-01-24,59.57
1990-01-25,59.77
1990-01-26,59.6
1990-01-29,61.11
1990-01-30,60.51
1990-01-31,58.87
1990-02-01,56.74
1990-02-02,58.26
1990-02-05,55.95
1990-02-06,56.19
1990-02-07,55.89
1990-02-08,55.32
1990-02-09,55.08
1990-02-12,55.95
1990-02-13,56.85
1990-02-14,57.64
1990-02-15,58.65
1990-02-16,57.48
1990-02-20,57.38
1990-02-21,57.53
1990-02-22,58.15
1990-02-23,58.3
1990-02-26,59.05
1990-02-27,58.16
1990-02-28,57.32
1990-03-01,54.63
1990-03-02,55.87
1990-03-05,57.99
1990-03-06,57.22
1990-03-07,56.19
1990-03-08,55.34
1990-03-09,53.86
1990-03-12,53.53
1990-03-13,53.51
1990-03-14,54.02
1990-03-15,54.98
1990-03-16,54.46
1990-03-19,54.54
1990-03-20,54.35
1990-03-21,55.54
1990-03-22,55.01
1990-03-23,55.46
1990-03-26,54.68
1990-03-27,55.33
1990-03-28,55.73
1990-03-29,56.17
1990-03-30,57.02
1990-04-02,55.27
1990-04-03,55.5
1990-04-04,54.02
1990-04-05,53.31
1990-04-06,53.71
1990-04-09,53.07
1990-04-10,52.4
1990-04-11,53.63
1990-04-12,53.83
1990-04-16,54.72
1990-04-17,54.2
1990-04-18,52.69
1990-04-19,52.8
1990-04-20,52.94
1990-04-23,53.12
1990-04-24,52.65
1990-04-25,52.4
1990-04-26,53.07
1990-04-27,53.74
1990-04-30,56.53
1990-05-01,52.97
1990-05-02,51.86
1990-05-03,50
1990-05-04,49.95
1990-05-07,50.44
1990-05-08,51.34
1990-05-09,51.34
1990-05-10,51.71
1990-05-11,50.92
1990-05-14,52.43
1990-05-15,51.72
1990-05-16,51.63
1990-05-17,51.96
1990-05-18,51.92
1990-05-21,51.44
1990-05-22,51.4
1990-05-23,50.21
1990-05-24,49.81
1990-05-25,49.66
1990-05-29,50.24
1990-05-30,51.15
1990-05-31,50.07
1990-06-01,48.73
1990-06-04,47.59
1990-06-05,47.11
1990-06-06,47.31
1990-06-07,46.9
1990-06-08,47.21
1990-06-11,46.72
1990-06-12,48.29
1990-06-13,48.57
1990-06-14,48.5
1990-06-15,48.37
1990-06-18,47.86
1990-06-19,47.43
1990-06-20,47.64
1990-06-21,47.91
1990-06-22,48.66
1990-06-25,48.92
1990-06-26,48.49
1990-06-27,47.93
1990-06-28,49.03
1990-06-29,48.67
1990-07-02,48.56
1990-07-03,48.46
1990-07-05,48.33
1990-07-06,48.3
1990-07-09,48.9
1990-07-10,49.28
1990-07-11,50.38
1990-07-12,53.04
1990-07-13,54.21
1990-07-16,56.24
1990-07-17,56.08
1990-07-18,56.11
1990-07-19,56.38
1990-07-20,55.79
1990-07-23,56.5
1990-07-24,57.32
1990-07-25,56.76
1990-07-26,57.32
1990-07-27,56.97
1990-07-30,56.93
1990-07-31,57.11
1990-08-01,61.19
1990-08-02,64.69
1990-08-03,66.58
1990-08-06,75.55
1990-08-07,75.14
1990-08-08,70.13
1990-08-09,69.77
1990-08-10,72.61
1990-08-13,75.05
1990-08-14,72.97
1990-08-15,72.85
1990-08-16,75.47
1990-08-17,80.54
1990-08-20,82.96
1990-08-21,83.71
1990-08-22,91.35
1990-08-23,96.23
1990-08-24,90.96
1990-08-27,78.1
1990-08-28,79.52
1990-08-29,71.64
1990-08-30,75.54
1990-08-31,75.89
1990-09-04,82.39
1990-09-05,83.37
1990-09-06,88.24
1990-09-07,83.98
1990-09-10,85.89
1990-09-11,83.03
1990-09-12,82.59
1990-09-13,83.48
1990-09-14,82.79
1990-09-17,85.31
1990-09-18,86.43
1990-09-19,88.53
1990-09-20,91.86
1990-09-21,97.21
1990-09-24,103.92
1990-09-25,101.2
1990-09-26,102.57
