date,price
1990-01-03,68.87
1990-01-04,70.08
1990-01-05,69.5
1990-01-08,69.59
1990-01-09,69.15
1990-01-10,68.87
1990-01-11,68.93
1990-01-12,68.73
1990-01-15,68.97
1990-01-16,68.97
1990-01-17,68.97
1990-01-18,68.53
1990-01-19,68.75
1990-01-22,68.42
1990-01-23,68.68
1990-01-24,68.84
1990-01-25,69.53
1990-01-26,70.22
1990-01-29,70.03
1990-01-30,69.09
1990-01-31,69.39
1990-02-01,69.14
1990-02-02,68.84
1990-02-05,69.18
1990-02-06,68.91
1990-02-07,68.81
1990-02-08,68.9
1990-02-09,69.17
1990-02-12,69.38
1990-02-13,69.37
1990-02-14,69.39
1990-02-15,69.2
1990-02-16,69.53
1990-02-20,68.96
1990-02-21,68.82
1990-02-22,68.22
1990-02-23,68.03
1990-02-26,67.29
1990-02-27,67.33
1990-02-28,67.2
1990-03-01,66.78
1990-03-02,66.61
1990-03-05,67.19
1990-03-06,66.8
1990-03-07,66.35
1990-03-08,66.25
1990-03-09,66.14
1990-03-12,65.61
1990-03-13,65.73
1990-03-14,65.74
1990-03-15,65.73
1990-03-16,65.5
1990-03-19,65.18
1990-03-20,64.94
1990-03-21,64.94
1990-03-22,64.56
1990-03-23,65.03
1990-03-26,64.06
1990-03-27,63.72
1990-03-28,63.06
1990-03-29,64.07
1990-03-30,63.42
1990-04-02,63.13
1990-04-03,62.89
1990-04-04,63.08
1990-04-05,63.68
1990-04-06,63.55
1990-04-09,63.32
1990-04-10,63.51
1990-04-11,63.43
1990-04-12,63.4
1990-04-16,62.87
1990-04-17,62.73
1990-04-18,63.26
1990-04-19,63.92
1990-04-20,63.67
1990-04-23,63.58
1990-04-24,63.04
1990-04-25,63.14
1990-04-26,62.93
1990-04-27,62.88
1990-04-30,63.07
1990-05-01,63.07
1990-05-02,63.31
1990-05-03,63.37
1990-05-04,63.33
1990-05-07,63.33
1990-05-08,63.53
1990-05-09,63.96
1990-05-10,63.83
1990-05-11,65.5
1990-05-14,65.63
1990-05-15,66.4
1990-05-16,65.99
1990-05-17,65.8
1990-05-18,65.38
1990-05-21,65.13
1990-05-22,66.11
1990-05-23,66.06
1990-05-24,66.29
1990-05-25,66.86
1990-05-29,66.26
1990-05-30,66.1
1990-05-31,65.73
1990-06-01,65.95
1990-06-04,65.48
1990-06-05,65.59
1990-06-06,65.57
1990-06-07,65.58
1990-06-08,65.19
1990-06-11,64.66
1990-06-12,64.68
1990-06-13,64.62
1990-06-14,64.84
1990-06-15,64.95
1990-06-18,64.92
1990-06-19,65.32
1990-06-20,65.12
1990-06-21,64.8
1990-06-22,64.71
1990-06-25,64.44
1990-06-26,64.77
1990-06-27,64.91
1990-06-28,65.46
1990-06-29,65.86
1990-07-02,66.36
1990-07-03,66.38
1990-07-05,66.46
1990-07-06,66.07
1990-07-09,66.24
1990-07-10,67.57
1990-07-11,67.57
1990-07-12,67.81
1990-07-13,67.6
1990-07-16,67.52
1990-07-17,67.69
1990-07-18,67.74
1990-07-19,67.67
1990-07-20,67.22
1990-07-23,67.52
1990-07-24,67.4
1990-07-25,66.73
1990-07-26,66.47
1990-07-27,67.14
1990-07-30,67.61
1990-07-31,68.59
1990-08-01,68.06
1990-08-02,66.97
1990-08-03,66.66
1990-08-06,66.59
1990-08-07,66.5
1990-08-08,66.75
1990-08-09,66.77
1990-08-10,66.48
1990-08-13,66.58
1990-08-14,67.26
1990-08-15,67.82
1990-08-16,67.94
1990-08-17,67.85
1990-08-20,68.36
1990-08-21,68.17
1990-08-22,68.47
1990-08-23,68.47
1990-08-24,68.21
1990-08-27,69.37
1990-08-28,69.65
1990-08-29,69.61
1990-08-30,69.36
1990-08-31,69.58
1990-09-04,69.73
1990-09-05,70.63
1990-09-06,71.07
1990-09-07,71.47
1990-09-10,71.71
1990-09-11,71.29
1990-09-12,72.45
1990-09-13,73.39
1990-09-14,73.03
1990-09-17,72.91
1990-09-18,72.45
1990-09-19,72.8
1990-09-20,72.61
1990-09-21,73.21
1990-09-24,72.79
1990-09-25,73.09
1990-09-26,73.03
1990-09-27,72.38
1990-09-28,72.18
1990-10-01,73.09
1990-10-02,73.08
1990-10-03,73.55
1990-10-04,74.67
1990-10-05,75.65
1990-10-08,76.62
1990-10-09,76.52
1990-10-10,77.19
1990-10-11,77.27
1990-10-12,77.54
1990-10-15,78.31
1990-10-16,78.85
1990-10-17,79.64
1990-10-18,80.3
1990-10-19,79.39
1990-10-22,79.2
1990-10-23,78.15
1990-10-24,79.03
1990-10-25,78.14
1990-10-26,77.9
1990-10-29,77.82
1990-10-30,77.69
1990-10-31,76.92
1990-11-01,76.58
1990-11-02,78.24
1990-11-05,78.94
1990-11-06,78.02
1990-11-07,77.58
1990-11-08,76.97
1990-11-09,77
1990-11-12,77.89
1990-11-13,77.13
1990-11-14,77.55
1990-11-15,77.07
1990-11-16,77.16
1990-11-19,77.66
1990-11-20,77.48
1990-11-21,78.66
1990-11-23,78.69
1990-11-26,77.47
1990-11-27,77.96
1990-11-28,76.88
1990-11-29,74.93
1990-11-30,75.38
1990-12-03,74.21
1990-12-04,74.74
1990-12-05,74.62
1990-12-06,75.47
1990-12-07,76.5
1990-12-10,75.65
1990-12-11,75.46
1990-12-12,75.97
1990-12-13,75.63
1990-12-14,75.12
1990-12-17,75.08
1990-12-18,74.99
1990-12-19,74.52
1990-12-20,74.06
1990-12-21,73.91
1990-12-24,73.49
1990-12-26,73.5
1990-12-27,73.34
1990-12-28,74.07
1990-12-31,73.84
1991-01-02,74.29
1991-01-03,75.13
1991-01-04,74.1
1991-01-07,73.35
1991-01-08,73.22
1991-01-09,72.93
1991-01-10,74.33
1991-01-11,74.54
1991-01-14,73.77
1991-01-15,73.64
1991-01-16,73.03
1991-01-17,75.64
1991-01-18,75.57
1991-01-21,75.66
1991-01-22,75.43
1991-01-23,75.56
1991-01-24,75.46
1991-01-25,75.22
1991-01-28,75.87
1991-01-29,75.6
1991-01-30,76.08
1991-01-31,76.14
1991-02-01,75.9
1991-02-04,76.41
1991-02-05,77.12
1991-02-06,78
1991-02-07,77.77
1991-02-08,78.13
1991-02-11,78.21
1991-02-12,77.82
1991-02-13,76.96
1991-02-14,77.03
1991-02-15,76.52
1991-02-19,75.91
1991-02-20,75.98
1991-02-21,76.11
1991-02-22,75.52
1991-02-25,74.82
1991-02-26,75.19
1991-02-27,75.67
1991-02-28,75.1
1991-03-01,74.22
1991-03-04,73.71
1991-03-05,73.36
1991-03-06,73.52
1991-03-07,73.67
1991-03-08,73.09
1991-03-11,72.26
1991-03-12,73.38
1991-03-13,73.75
1991-03-14,73.71
1991-03-15,72.67
1991-03-18,72.25
1991-03-19,72.28
1991-03-20,72.12
1991-03-21,72.85
1991-03-22,72.53
1991-03-25,71.62
1991-03-26,71.73
1991-03-27,71.41
1991-03-28,70.55
1991-04-01,71.46
1991-04-02,72.43
1991-04-03,72.58
1991-04-04,73.34
1991-04-05,73.12
1991-04-08,72.79
1991-04-09,73.91
1991-04-10,72.27
1991-04-11,73.14
1991-04-12,73.09
1991-04-15,74.33
1991-04-16,74.08
1991-04-17,73.24
1991-04-18,72.41
1991-04-19,72.13
1991-04-22,71.5
1991-04-23,72.47
1991-04-24,72.32
1991-04-25,72.42
1991-04-26,72.18
1991-04-29,72.88
1991-04-30,73.22
1991-05-01,72.15
1991-05-02,72.27
1991-05-03,71.76
1991-05-06,72.19
1991-05-07,72.33
1991-05-08,72.14
1991-05-09,72.25
1991-05-10,71.9
1991-05-13,71.63
1991-05-14,72.27
1991-05-15,72.86
1991-05-16,72.68
1991-05-17,72.22
1991-05-20,72.1
1991-05-21,72.74
1991-05-22,72.5
1991-05-23,72.49
1991-05-24,72.22
1991-05-28,72.58
1991-05-29,72.37
1991-05-30,72.51
1991-05-31,72.27
1991-06-03,71.81
1991-06-04,71.97
1991-06-05,71.74
1991-06-06,71.8
1991-06-07,71.2
1991-06-10,70.57
1991-06-11,70.79
1991-06-12,70.74
1991-06-13,70.82
1991-06-14,71.04
1991-06-17,70.8
1991-06-18,70.75
1991-06-19,71.12
1991-06-20,72.12
1991-06-21,71.68
1991-06-24,71.81
1991-06-25,71.92
