date,price
1990-01-03,407.75
1990-01-04,407
1990-01-05,407.5
1990-01-08,408.25
1990-01-09,405.75
1990-01-10,404.5
1990-01-11,404.5
1990-01-12,402.5
1990-01-15,401.75
1990-01-16,401.5
1990-01-17,403
1990-01-18,401.25
1990-01-19,398
1990-01-22,397.25
1990-01-23,397
1990-01-24,396.25
1990-01-25,390.5
1990-01-26,387.25
1990-01-29,384.5
1990-01-30,381.25
1990-01-31,380
1990-02-01,379.75
1990-02-02,381.75
1990-02-05,384.5
1990-02-06,382
1990-02-07,381.25
1990-02-08,381.75
1990-02-09,385
1990-02-12,386.5
1990-02-13,384
1990-02-14,383.25
1990-02-15,385.5
1990-02-16,384
1990-02-20,383.25
1990-02-21,384
1990-02-22,386.25
1990-02-23,386.5
1990-02-26,389
1990-02-27,387.5
1990-02-28,385.5
1990-03-01,380.75
1990-03-02,378.5
1990-03-05,375.75
1990-03-06,376.5
1990-03-07,377.5
1990-03-08,381.5
1990-03-09,379.5
1990-03-12,378.5
1990-03-13,376.5
1990-03-14,378
1990-03-15,381.25
1990-03-16,382
1990-03-19,385.5
1990-03-20,383
1990-03-21,380.5
1990-03-22,363.5
1990-03-23,363
1990-03-26,362.5
1990-03-27,360.5
1990-03-28,357.25
1990-03-29,359.25
1990-03-30,358.25
1990-04-02,360.25
1990-04-03,364.5
1990-04-04,368.25
1990-04-05,367.25
1990-04-06,363.25
1990-04-09,361.75
1990-04-10,363
1990-04-11,365.25
1990-04-12,366.75
1990-04-16,370.25
1990-04-17,369
1990-04-18,367.5
1990-04-19,367.5
1990-04-20,367
1990-04-23,365.25
1990-04-24,362.75
1990-04-25,363.75
1990-04-26,364.5
1990-04-27,368.75
1990-04-30,374.25
1990-05-01,371
1990-05-02,376
1990-05-03,376.75
1990-05-04,380.5
1990-05-07,381.75
1990-05-08,378.5
1990-05-09,378.5
1990-05-10,372
1990-05-11,368.5
1990-05-14,366.5
1990-05-15,366.5
1990-05-16,366.25
1990-05-17,363
1990-05-18,362.25
1990-05-21,360.5
1990-05-22,337.5
1990-05-23,334.25
1990-05-24,332
1990-05-25,331.5
1990-05-29,335.75
1990-05-30,334
1990-05-31,335.5
1990-06-01,332.25
1990-06-04,332.5
1990-06-05,331.5
1990-06-06,328.5
1990-06-07,331.75
1990-06-08,329.75
1990-06-11,330.75
1990-06-12,332.75
1990-06-13,332.25
1990-06-14,330
1990-06-15,327
1990-06-18,327
1990-06-19,328
1990-06-20,329
1990-06-21,330.5
1990-06-22,328.5
1990-06-25,328
1990-06-26,327
1990-06-27,326.25
1990-06-28,324
1990-06-29,317.5
1990-07-02,319.25
1990-07-03,318.75
1990-07-05,315
1990-07-06,309
1990-07-09,307
1990-07-10,303.75
1990-07-11,301
1990-07-12,300
1990-07-13,300.25
1990-07-16,295
1990-07-17,296
1990-07-18,295.5
1990-07-19,291
1990-07-20,289
1990-07-23,299.75
1990-07-24,299.5
1990-07-25,297.25
1990-07-26,297
1990-07-27,295.75
1990-07-30,291.5
1990-07-31,287
1990-08-01,279.5
1990-08-02,280
1990-08-03,277
1990-08-06,276.5
1990-08-07,277.25
1990-08-08,280.75
1990-08-09,287.75
1990-08-10,283
1990-08-13,273.75
1990-08-14,277.5
1990-08-15,282.75
1990-08-16,282.25
1990-08-17,279
1990-08-20,276.25
1990-08-21,273.25
1990-08-22,274.5
1990-08-23,278.25
1990-08-24,280
1990-08-27,278.5
1990-08-28,277
1990-08-29,272
1990-08-30,265.5
1990-08-31,262
1990-09-04,258.5
1990-09-05,264.75
1990-09-06,268.75
1990-09-07,266.25
1990-09-10,271.5
1990-09-11,274
1990-09-12,273
1990-09-13,267.75
1990-09-14,266
1990-09-17,266.5
1990-09-18,266.25
1990-09-19,262.75
1990-09-20,272
1990-09-21,273.25
1990-09-24,277.75
1990-09-25,276.25
1990-09-26,278.5
1990-09-27,278.5
1990-09-28,280.75
1990-10-01,273.5
1990-10-02,277
1990-10-03,279
1990-10-04,279.5
1990-10-05,279
1990-10-08,282
1990-10-09,282
1990-10-10,279.5
1990-10-11,275
1990-10-12,272
1990-10-15,270
1990-10-16,265.75
