date,price
1990-01-03,188.6
1990-01-04,191.5
1990-01-05,193.9
1990-01-08,194.1
1990-01-09,194
1990-01-10,195.5
1990-01-11,200.4
1990-01-12,202.9
1990-01-15,205.7
1990-01-16,197.3
1990-01-17,202.3
1990-01-18,204.7
1990-01-19,203.5
1990-01-22,202.5
1990-01-23,201.8
1990-01-24,202.2
1990-01-25,200.8
1990-01-26,200.2
1990-01-29,200.7
1990-01-30,200.4
1990-01-31,202.3
1990-02-01,203
1990-02-02,201.8
1990-02-05,202.4
1990-02-06,201.8
1990-02-07,201.9
1990-02-08,204.3
1990-02-09,204.6
1990-02-12,205.5
1990-02-13,207.3
1990-02-14,207.3
1990-02-15,209.4
1990-02-16,205.7
1990-02-20,203.5
1990-02-21,204.8
1990-02-22,205
1990-02-23,200
1990-02-26,198.3
1990-02-27,198.6
1990-02-28,198.4
1990-03-01,194.5
1990-03-02,192.9
1990-03-05,194.3
1990-03-06,196.7
1990-03-07,195.1
1990-03-08,193.4
1990-03-09,192.7
1990-03-12,192.1
1990-03-13,192.3
1990-03-14,189.5
1990-03-15,190.1
1990-03-16,195.7
1990-03-19,196.2
1990-03-20,197.1
1990-03-21,195.7
1990-03-22,193.3
1990-03-23,196
1990-03-26,196.4
1990-03-27,194.7
1990-03-28,195.6
1990-03-29,196
1990-03-30,198.2
1990-04-02,196.6
1990-04-03,195.1
1990-04-04,197.2
1990-04-05,198.2
1990-04-06,197.9
1990-04-09,199.5
1990-04-10,195.4
1990-04-11,195.3
1990-04-12,193.1
1990-04-16,193.1
1990-04-17,194
1990-04-18,194.2
1990-04-19,194.3
1990-04-20,193.9
1990-04-23,192.6
1990-04-24,192.7
1990-04-25,192.4
1990-04-26,193.5
1990-04-27,193.1
1990-04-30,193.7
1990-05-01,194.6
1990-05-02,195.4
1990-05-03,195.4
1990-05-04,197.6
1990-05-07,199.7
1990-05-08,200.6
1990-05-09,200.3
1990-05-10,200.3
1990-05-11,201.5
1990-05-14,203.9
1990-05-15,203.7
1990-05-16,201.7
1990-05-17,202.3
1990-05-18,202.5
1990-05-21,202.8
1990-05-22,200.8
1990-05-23,200.5
1990-05-24,204.4
1990-05-25,203.5
1990-05-29,202.6
1990-05-30,203.6
1990-05-31,203.2
1990-06-01,205.1
1990-06-04,205.1
1990-06-05,204.4
1990-06-06,204
1990-06-07,202.9
1990-06-08,203.4
1990-06-11,204.9
1990-06-12,204.9
1990-06-13,206.6
1990-06-14,205.9
1990-06-15,205.4
1990-06-18,204.2
1990-06-19,202.5
1990-06-20,206.1
1990-06-21,206.6
1990-06-22,205.8
1990-06-25,205.4
1990-06-26,204.4
1990-06-27,203.5
1990-06-28,205.4
1990-06-29,205.6
1990-07-02,204
1990-07-03,201.7
1990-07-05,200.8
1990-07-06,202.7
1990-07-09,200.8
1990-07-10,198.6
1990-07-11,198.5
1990-07-12,197.6
1990-07-13,187.8
1990-07-16,196.3
1990-07-17,197.7
1990-07-18,195.6
1990-07-19,196.4
1990-07-20,196.1
1990-07-23,191.4
1990-07-24,191.4
1990-07-25,192.7
1990-07-26,192.4
1990-07-27,192.4
1990-07-30,193.6
1990-07-31,194.5
1990-08-01,194.3
1990-08-02,192.8
1990-08-03,190.6
1990-08-06,189.9
1990-08-07,191
1990-08-08,189.4
1990-08-09,190.7
1990-08-10,191.5
1990-08-13,189.9
1990-08-14,191.8
1990-08-15,192.6
1990-08-16,193.3
1990-08-17,193.5
1990-08-20,192.7
1990-08-21,190.9
1990-08-22,191.1
1990-08-23,192.8
1990-08-24,193.1
1990-08-27,195.5
1990-08-28,194.3
1990-08-29,194.6
1990-08-30,195.1
1990-08-31,197
1990-09-04,195.7
1990-09-05,195.7
1990-09-06,196.1
1990-09-07,196
1990-09-10,197.1
1990-09-11,198.6
1990-09-12,197.3
1990-09-13,195.9
1990-09-14,195.9
1990-09-17,192.7
1990-09-18,191.6
1990-09-19,190.5
1990-09-20,187
1990-09-21,186.3
1990-09-24,184.3
1990-09-25,186
1990-09-26,187.4
1990-09-27,185.2
1990-09-28,185.5
1990-10-01,186.2
1990-10-02,185.3
1990-10-03,184
1990-10-04,184.2
1990-10-05,184.3
1990-10-08,185.1
1990-10-09,183.8
1990-10-10,182.2
1990-10-11,180.9
1990-10-12,180.6
1990-10-15,179.5
1990-10-16,177.5
1990-10-17,179.7
1990-10-18,181.7
1990-10-19,183
1990-10-22,183.9
1990-10-23,181.9
1990-10-24,181.4
1990-10-25,184.2
1990-10-26,182.6
1990-10-29,181.7
1990-10-30,179.8
1990-10-31,181.6
1990-11-01,182.3
1990-11-02,181
1990-11-05,180
1990-11-06,180
1990-11-07,173.8
1990-11-08,175.1
1990-11-09,172.8
1990-11-12,172.3
1990-11-13,163
1990-11-14,163
1990-11-15,158.8
1990-11-16,166.6
1990-11-19,161.6
1990-11-20,156.6
1990-11-21,157
1990-11-23,162
1990-11-26,161.5
1990-11-27,160.9
1990-11-28,159.8
1990-11-29,155
1990-11-30,153.1
1990-12-03,158.1
1990-12-04,162.1
1990-12-05,161.1
1990-12-06,160.8
1990-12-07,165.8
1990-12-10,170.5
1990-12-11,168.2
1990-12-12,166.4
1990-12-13,171.4
1990-12-14,170.2
1990-12-17,172.2
1990-12-18,171.6
1990-12-19,172.5
1990-12-20,170.6
1990-12-21,170.2
1990-12-24,166.8
1990-12-26,169
1990-12-27,174
1990-12-28,173
1990-12-31,173.3
1991-01-02,172.2
1991-01-03,169.6
1991-01-04,171
1991-01-07,170.3
1991-01-08,166.7
1991-01-09,167.2
1991-01-10,167.4
1991-01-11,163.9
1991-01-14,161.4
1991-01-15,165.7
1991-01-16,161.3
1991-01-17,165.9
1991-01-18,164.4
1991-01-21,161.9
1991-01-22,162.4
1991-01-23,163.1
1991-01-24,162.8
1991-01-25,162.1
1991-01-28,162.1
1991-01-29,162.9
1991-01-30,162.9
1991-01-31,162.2
1991-02-01,163.5
1991-02-04,168.3
1991-02-05,170.9
1991-02-06,169.6
1991-02-07,168.3
1991-02-08,172.8
1991-02-11,172.8
1991-02-12,170.8
1991-02-13,169
1991-02-14,168.3
1991-02-15,169.7
1991-02-19,166.7
1991-02-20,167.1
1991-02-21,167.7
1991-02-22,167.1
