date,price
1990-01-03,77.15
1990-01-04,76.95
1990-01-05,76.875
1990-01-08,76.675
1990-01-09,76.475
1990-01-10,77.125
1990-01-11,77.525
1990-01-12,77.2
1990-01-15,77.275
1990-01-16,77.6
1990-01-17,78.225
1990-01-18,78.8
1990-01-19,79.35
1990-01-22,79.25
1990-01-23,78.65
1990-01-24,78.7
1990-01-25,79.5
1990-01-26,79.275
1990-01-29,79.3
1990-01-30,79.95
1990-01-31,79.35
1990-02-01,79
1990-02-02,79.575
1990-02-05,79.55
1990-02-06,79.35
1990-02-07,79.725
1990-02-08,79.55
1990-02-09,79.225
1990-02-12,79.675
1990-02-13,79.575
1990-02-14,79.425
1990-02-15,79.775
1990-02-16,79.775
1990-02-20,78.85
1990-02-21,75.625
1990-02-22,75.55
1990-02-23,75.55
1990-02-26,75.275
1990-02-27,75.375
1990-02-28,75.45
1990-03-01,75.925
1990-03-02,76.25
1990-03-05,76.5
1990-03-06,76.7
1990-03-07,76.675
1990-03-08,77.275
1990-03-09,77.625
1990-03-12,78.025
1990-03-13,78.125
1990-03-14,77.525
1990-03-15,77.3
1990-03-16,77.475
1990-03-19,78.15
1990-03-20,76.825
1990-03-21,76.525
1990-03-22,76.825
1990-03-23,77.2
1990-03-26,77.325
1990-03-27,77.025
1990-03-28,77.725
1990-03-29,77.75
1990-03-30,77.875
1990-04-02,78.6
1990-04-03,78.6
1990-04-04,78.6
1990-04-05,78.95
1990-04-06,79.75
1990-04-09,79.925
1990-04-10,80.225
1990-04-11,80.375
1990-04-12,80.425
1990-04-16,80.075
1990-04-17,79.725
1990-04-18,73.475
1990-04-19,73.575
1990-04-20,73.7
1990-04-23,73.9
1990-04-24,73.075
1990-04-25,72.85
1990-04-26,72.6
1990-04-27,73.15
1990-04-30,72.975
1990-05-01,73.225
1990-05-02,73.6
1990-05-03,74.3
1990-05-04,74.65
1990-05-07,75.2
1990-05-08,73.925
1990-05-09,74.725
1990-05-10,74.2
1990-05-11,74.075
1990-05-14,73.95
1990-05-15,73.7
1990-05-16,74.425
1990-05-17,74.2
1990-05-18,74.325
1990-05-21,74.825
1990-05-22,74.375
1990-05-23,73.725
1990-05-24,73.5
1990-05-25,73.525
1990-05-29,74.075
1990-05-30,73.975
1990-05-31,74
1990-06-01,74.475
1990-06-04,74.725
1990-06-05,74.975
1990-06-06,75.225
1990-06-07,75.325
1990-06-08,75.6
1990-06-11,76.125
1990-06-12,76.2
1990-06-13,76.775
1990-06-14,76.675
1990-06-15,76.675
1990-06-18,74.75
1990-06-19,74.75
1990-06-20,74.05
1990-06-21,74.05
1990-06-22,73.275
1990-06-25,73.1
1990-06-26,73
1990-06-27,73.15
1990-06-28,73.175
1990-06-29,73.075
1990-07-02,72.8
1990-07-03,72.775
1990-07-05,73.025
