date,price
2012-04-02,1505
2012-04-03,1505
2012-04-05,1480.3
2012-04-10,1478.6
2012-04-11,1460.45
2012-04-12,1469.85
2012-04-13,1484.95
2012-04-16,1464.8
2012-04-17,1441.25
2012-04-18,1454.65
2012-04-19,1449.95
2012-04-20,1465.05
2012-04-23,1447.05
2012-04-24,1437
2012-04-25,1441.4
2012-04-26,1432
2012-04-27,1431.05
2012-04-30,1449.1
2012-05-02,1464.25
2012-05-03,1416.1
2012-05-04,1392.85
2012-05-07,1341.3
2012-05-08,1349.4
2012-05-09,1351
2012-05-10,1372
2012-05-11,1374.7
2012-05-14,1363.2
2012-05-15,1324.6
2012-05-16,1325.85
2012-05-17,1325.05
2012-05-18,1284.55
2012-05-21,1287.25
2012-05-22,1305
2012-05-23,1277.5
2012-05-24,1255.55
2012-05-25,1295.2
2012-05-28,1299.35
2012-05-29,1312.7
2012-05-30,1312.45
2012-05-31,1320.6
2012-06-01,1317.2
2012-06-04,1296.25
2012-06-05,1309.85
2012-06-06,1295.6
2012-06-07,1303.4
2012-06-08,1317.2
2012-06-11,1317.2
2012-06-12,1317.2
2012-06-13,1351.4
2012-06-14,1336.8
2012-06-15,1354.75
2012-06-18,1394.8
2012-06-19,1409
2012-06-20,1394.45
2012-06-21,1375.55
2012-06-22,1364.5
2012-06-25,1351
2012-06-26,1354.45
2012-06-27,1356.3
2012-06-28,1367.95
2012-06-29,1380.3
2012-07-03,1424.8
2012-07-04,1440.5
2012-07-05,1454.3
2012-07-06,1441.15
2012-07-09,1430
2012-07-10,1424.45
2012-07-11,1415.75
2012-07-12,1396.5
2012-07-13,1416.2
2012-07-16,1428.7
2012-07-17,1439.15
2012-07-18,1443.6
2012-07-19,1450.15
2012-07-20,1431.7
2012-07-23,1420.95
2012-07-24,1366.2
2012-07-25,1382.5
2012-07-26,1369.55
2012-07-27,1397.7
2012-07-30,1433.9
2012-07-31,1429.55
2012-08-01,1422.4
2012-08-02,1416.35
2012-08-03,1407.9
2012-08-06,1424.55
2012-08-07,1451.35
2012-08-08,1456.2
2012-08-09,1455.25
2012-08-10,1449.55
2012-08-13,1452.15
2012-08-14,1465.7
2012-08-15,1446.5
2012-08-16,1458.55
2012-08-17,1457.95
2012-08-20,1429.2
2012-08-21,1455.5
2012-08-22,1447.65
2012-08-23,1470.2
2012-08-24,1449.1
2012-08-27,1452.4
2012-08-28,1456.7
2012-08-29,1452.45
2012-08-30,1437.6
2012-08-31,1440.95
2012-09-03,1434.5
2012-09-04,1444
2012-09-05,1426.95
2012-09-06,1439.05
2012-09-07,1480.5
2012-09-10,1474.35
2012-09-11,1471.2
2012-09-12,1477.5
2012-09-13,1473.7
2012-09-14,1517.7
2012-09-17,1533
2012-09-18,1540.6
2012-09-19,1522.5
2012-09-20,1506.1
2012-09-21,1514.8
2012-09-24,1495.5
2012-09-25,1507
2012-09-26,1470.5
2012-09-27,1453.8
2012-09-28,1470.3
2012-10-03,1482.4
2012-10-04,1472.8
2012-10-05,1488
2012-10-08,1472.9
2012-10-09,1483
2012-10-10,1475.8
2012-10-11,1470.4
2012-10-12,1469.1
2012-10-15,1458.1
2012-10-16,1457.1
2012-10-17,1465.1
2012-10-18,1489.2
2012-10-19,1478
2012-10-22,1462.2
2012-10-24,1445.9
2012-10-25,1458.7
2012-10-26,1434.5
2012-10-29,1432.9
2012-10-30,1441.8
2012-10-31,1435
2012-11-01,1433.3
2012-11-02,1438.7
2012-11-05,1436.9
2012-11-06,1442.6
2012-11-07,1454.4
2012-11-08,1420.3
2012-11-09,1402.4
2012-11-12,1402.6
2012-11-13,1400.1
2012-11-14,1383
2012-11-15,1380
2012-11-16,1389.6
2012-11-19,1398.9
2012-11-20,1398.4
2012-11-21,1396.8
2012-11-22,1414.9
2012-11-23,1413.4
2012-11-26,1414.9
2012-11-27,1411.3
2012-11-28,1393.9
2012-11-29,1392.65
2012-11-30,1400.1
2012-12-03,1407.9
2012-12-04,1416.2
2012-12-05,1435.45
2012-12-06,1448.8
2012-12-07,1435.9
2012-12-10,1450.9
2012-12-11,1445.4
2012-12-12,1463.2
