date,price
1990-01-05,38800
1990-01-08,38820
1990-01-09,38440
1990-01-10,38220
1990-01-11,38500
1990-01-12,38230
1990-01-16,37150
1990-01-17,37430
1990-01-18,37100
1990-01-19,37390
1990-01-22,37920
1990-01-23,37690
1990-01-24,37200
1990-01-25,37450
1990-01-26,37310
1990-01-29,37570
1990-01-30,37560
1990-01-31,37470
1990-02-01,37620
1990-02-02,37840
1990-02-05,37920
1990-02-06,37980
1990-02-07,37750
1990-02-08,37710
1990-02-09,37580
1990-02-13,37350
1990-02-14,37510
1990-02-15,37800
1990-02-16,37810
1990-02-19,37500
1990-02-20,37220
1990-02-21,36200
1990-02-22,36000
1990-02-23,34900
1990-02-26,33700
1990-02-27,34120
1990-02-28,34500
1990-03-01,34030
1990-03-02,34030
1990-03-05,33770
1990-03-06,33790
1990-03-07,33150
1990-03-08,33710
1990-03-09,34570
1990-03-12,33870
1990-03-13,32960
1990-03-14,32950
1990-03-15,33290
1990-03-16,33320
1990-03-19,32120
1990-03-20,31600
1990-03-22,30400
1990-03-23,31120
1990-03-26,32320
1990-03-27,32300
1990-03-28,31920
1990-03-29,31700
1990-03-30,30500
1990-04-02,29300
1990-04-03,29990
1990-04-04,29090
1990-04-05,29200
1990-04-06,30100
1990-04-09,30990
1990-04-10,30200
1990-04-11,30100
1990-04-12,29930
1990-04-13,29480
1990-04-16,28960
1990-04-17,29050
1990-04-18,29950
1990-04-19,30400
1990-04-20,30400
1990-04-23,29990
1990-04-24,30080
1990-04-25,30050
1990-04-26,30020
1990-04-27,29990
1990-05-01,30160
1990-05-02,30500
1990-05-07,31200
1990-05-08,31220
1990-05-09,31320
1990-05-10,31340
1990-05-11,32010
1990-05-14,32230
1990-05-15,32130
1990-05-16,32100
1990-05-17,32330
1990-05-18,32240
1990-05-21,31830
1990-05-22,32300
1990-05-23,32450
1990-05-24,32690
1990-05-25,33130
1990-05-28,33530
1990-05-29,32760
1990-05-30,33100
1990-05-31,33090
1990-06-01,32870
1990-06-04,33120
1990-06-05,33020
1990-06-06,33100
1990-06-07,33180
1990-06-08,33770
1990-06-11,33080
1990-06-12,33100
1990-06-13,33200
1990-06-14,33560
1990-06-15,33360
1990-06-18,33100
1990-06-19,32730
1990-06-20,32940
1990-06-21,32670
1990-06-22,32360
1990-06-25,31790
1990-06-26,32380
1990-06-27,32780
1990-06-28,32850
1990-06-29,32560
1990-07-02,32850
1990-07-03,32960
1990-07-04,33080
1990-07-05,33040
1990-07-06,33230
1990-07-09,33200
1990-07-10,32830
1990-07-11,33060
1990-07-12,33030
1990-07-13,33200
1990-07-16,33630
1990-07-17,33680
1990-07-18,33560
1990-07-19,33300
1990-07-20,32750
1990-07-23,32300
1990-07-24,32050
1990-07-25,32260
1990-07-26,31770
1990-07-27,31070
1990-07-30,30910
1990-07-31,31630
1990-08-01,30950
1990-08-02,30350
1990-08-03,29550
1990-08-06,28630
1990-08-07,27730
1990-08-08,28500
1990-08-09,28030
1990-08-10,27200
1990-08-13,26300
1990-08-14,27100
1990-08-15,28000
1990-08-16,27460
1990-08-17,26560
1990-08-20,26480
1990-08-21,26140
1990-08-22,25230
1990-08-23,24330
1990-08-24,23840
1990-08-27,25040
1990-08-28,25760
1990-08-29,24860
1990-08-30,25760
1990-08-31,25980
1990-09-03,25420
1990-09-04,24990
1990-09-05,23940
1990-09-06,23430
1990-09-07,23780
1990-09-10,24930
1990-09-11,24520
1990-09-12,25250
1990-09-13,25390
1990-09-14,24990
1990-09-17,24150
1990-09-18,23560
1990-09-19,23840
1990-09-20,23740
1990-09-21,23380
1990-09-25,23300
1990-09-26,22400
1990-09-27,21910
1990-09-28,21010
1990-10-01,20410
1990-10-03,22310
1990-10-04,22310
1990-10-05,23210
1990-10-08,24110
1990-10-09,23710
1990-10-11,22970
1990-10-12,22730
1990-10-15,23630
1990-10-16,24300
1990-10-17,24150
1990-10-18,24540
1990-10-19,24890
1990-10-22,25500
1990-10-23,25400
1990-10-24,25200
1990-10-25,25750
1990-10-26,25450
1990-10-29,25660
1990-10-30,25490
1990-10-31,25480
1990-11-01,24430
1990-11-02,24460
1990-11-05,24720
1990-11-06,24000
1990-11-07,23820
1990-11-08,23090
1990-11-09,23040
1990-11-13,23940
1990-11-14,24010
1990-11-15,23570
1990-11-16,23300
1990-11-19,23750
1990-11-20,23400
1990-11-21,23080
1990-11-22,23700
1990-11-26,24020
1990-11-27,23870
1990-11-28,23220
1990-11-29,22750
1990-11-30,22670
1990-12-03,22950
1990-12-04,22050
1990-12-05,22390
1990-12-06,22700
1990-12-07,23600
1990-12-10,23740
1990-12-11,24020
1990-12-12,24110
1990-12-13,24560
1990-12-14,24860
1990-12-17,24670
1990-12-18,25020
1990-12-19,25510
1990-12-20,25080
1990-12-21,24780
1990-12-25,24300
1990-12-26,24540
1990-12-27,24640
1990-12-28,24180
1991-01-04,24700
1991-01-07,24210
1991-01-08,23310
1991-01-09,23500
1991-01-10,23410
1991-01-11,23650
1991-01-14,23500
1991-01-16,22790
1991-01-17,23690
1991-01-18,24180
1991-01-21,23740
1991-01-22,23750
1991-01-23,23500
1991-01-24,23740
1991-01-25,23930
1991-01-28,23830
1991-01-29,23820
1991-01-30,23800
1991-01-31,23570
1991-02-01,23550
1991-02-04,23670
1991-02-05,24100
1991-02-06,24150
1991-02-07,24400
1991-02-08,24460
1991-02-12,25130
1991-02-13,25320
1991-02-14,25430
1991-02-15,25430
1991-02-18,26330
1991-02-19,26450
1991-02-20,26350
1991-02-21,26250
1991-02-22,26160
1991-02-25,26520
1991-02-26,26560
1991-02-27,26240
1991-02-28,26450
1991-03-01,25950
1991-03-04,26180
1991-03-05,26180
1991-03-06,26510
1991-03-07,26410
1991-03-08,27080
1991-03-11,27290
1991-03-12,27240
1991-03-13,27010
1991-03-14,27200
1991-03-15,27610
1991-03-18,27790
1991-03-19,27750
1991-03-20,27320
1991-03-22,27430
1991-03-25,27350
1991-03-26,27000
1991-03-27,26680
1991-03-28,26720
1991-03-29,26500
1991-04-01,26370
1991-04-02,26750
1991-04-03,27220
1991-04-04,27110
1991-04-05,27300
1991-04-08,27000
1991-04-09,26850
1991-04-10,26820
1991-04-11,26680
1991-04-12,27070
1991-04-15,27250
1991-04-16,27380
1991-04-17,27420
1991-04-18,27210
1991-04-19,27090
1991-04-22,26820
1991-04-23,27010
1991-04-24,26750
1991-04-25,26590
1991-04-26,26680
1991-04-30,26440
1991-05-01,26930
1991-05-02,26930
1991-05-07,26730
1991-05-08,26710
1991-05-09,26640
1991-05-10,26700
1991-05-13,26510
1991-05-14,26380
1991-05-15,26070
1991-05-16,25850
1991-05-17,26050
1991-05-20,25660
1991-05-21,25820
1991-05-22,25600
1991-05-23,25880
1991-05-24,25810
1991-05-27,25620
1991-05-28,25700
1991-05-29,25780
1991-05-30,25850
1991-05-31,26010
1991-06-03,25800
1991-06-04,25710
1991-06-05,25380
1991-06-06,25170
1991-06-07,25200
1991-06-10,24610
1991-06-11,24700
1991-06-12,24550
1991-06-13,24700
1991-06-14,25610
1991-06-17,25470
1991-06-18,25220
1991-06-19,24600
1991-06-20,24710
1991-06-21,24900
1991-06-24,24200
1991-06-25,24480
1991-06-26,24190
1991-06-27,24010
1991-06-28,23800
1991-07-01,24700
1991-07-02,24510
1991-07-03,23920
1991-07-04,23750
1991-07-05,23400
1991-07-08,22650
1991-07-09,22950
1991-07-10,23420
1991-07-11,23330
1991-07-12,23510
1991-07-15,24020
1991-07-16,23690
1991-07-17,23510
1991-07-18,23270
1991-07-19,23350
1991-07-22,23100
1991-07-23,23300
1991-07-24,23770
1991-07-25,23640
1991-07-26,23920
1991-07-29,23880
1991-07-30,24300
1991-07-31,24370
1991-08-01,24270
1991-08-02,24400
1991-08-05,24110
1991-08-06,23820
1991-08-07,24080
1991-08-08,23890
1991-08-09,23820
1991-08-12,23190
1991-08-13,23220
1991-08-14,23530
1991-08-15,23360
1991-08-16,23100
1991-08-19,22200
1991-08-20,22060
1991-08-21,22280
1991-08-22,22780
1991-08-23,22150
1991-08-26,21810
1991-08-27,21860
1991-08-28,21930
1991-08-29,22250
1991-08-30,22410
1991-09-02,22700
1991-09-03,22520
1991-09-04,22450
1991-09-05,22700
1991-09-06,22830
1991-09-09,22620
1991-09-10,22510
1991-09-11,22600
1991-09-12,22500
1991-09-13,23900
1991-09-17,24090
1991-09-18,24110
1991-09-19,24030
1991-09-20,23970
1991-09-24,24250
1991-09-25,24280
1991-09-26,24650
1991-09-27,24650
1991-09-30,24510
1991-10-01,24890
1991-10-02,24810
1991-10-03,25160
1991-10-04,24940
1991-10-07,24780
1991-10-08,24570
1991-10-09,24690
1991-10-11,24520
1991-10-14,24300
1991-10-15,24700
1991-10-16,24660
1991-10-17,24940
1991-10-18,25260
1991-10-21,25240
1991-10-22,25190
1991-10-23,25200
1991-10-24,25370
1991-10-25,25290
1991-10-28,25380
1991-10-29,25570
1991-10-30,25350
1991-10-31,25440
1991-11-01,25360
1991-11-05,25210
1991-11-06,25000
1991-11-07,24910
1991-11-08,24600
1991-11-11,24580
1991-11-12,24990
1991-11-13,24620
1991-11-14,24400
1991-11-15,24270
1991-11-18,23630
1991-11-19,23440
1991-11-20,23440
1991-11-21,23260
1991-11-22,23110
1991-11-25,23000
1991-11-26,23340
1991-11-27,23190
1991-11-28,22900
1991-11-29,22630
1991-12-02,22040
1991-12-03,22220
1991-12-04,22750
1991-12-05,22560
1991-12-06,22370
1991-12-09,22310
1991-12-10,21810
1991-12-11,21370
1991-12-12,21850
1991-12-13,23130
1991-12-16,23240
1991-12-17,23060
1991-12-18,22740
1991-12-19,22400
1991-12-20,22040
1991-12-24,22090
1991-12-25,22770
1991-12-26,22870
1991-12-27,22770
1991-12-30,23400
1992-01-07,23870
1992-01-08,22960
1992-01-09,23240
1992-01-10,22540
1992-01-13,21860
1992-01-14,22100
1992-01-16,21760
1992-01-17,21520
1992-01-20,21000
1992-01-21,20920
1992-01-22,21590
1992-01-23,21720
1992-01-24,21310
1992-01-27,21210
1992-01-28,21550
1992-01-29,21640
1992-01-30,21820
1992-01-31,22350
1992-02-03,22180
1992-02-04,21970
1992-02-05,22080
1992-02-06,22460
1992-02-07,22320
1992-02-10,21940
1992-02-12,21580
1992-02-13,21610
1992-02-14,21090
1992-02-17,21120
1992-02-18,20880
1992-02-19,20810
1992-02-20,20880
1992-02-21,21240
1992-02-24,20970
1992-02-25,21140
1992-02-26,21480
1992-02-27,21410
1992-02-28,21450
1992-03-02,21570
1992-03-03,21090
1992-03-04,21190
1992-03-05,20970
1992-03-06,21040
1992-03-09,20900
1992-03-10,20880
1992-03-11,20680
1992-03-12,20650
1992-03-13,20610
1992-03-16,20120
1992-03-17,20110
1992-03-18,19830
1992-03-19,20430
1992-03-23,20380
1992-03-24,20110
1992-03-25,20410
1992-03-26,20240
1992-03-27,20030
1992-03-30,19970
1992-03-31,19580
1992-04-01,18980
1992-04-02,18650
1992-04-03,18690
1992-04-06,18650
1992-04-07,18050
1992-04-08,17450
1992-04-09,17120
1992-04-10,17630
1992-04-13,17520
1992-04-14,17610
1992-04-15,18010
1992-04-16,18070
1992-04-17,17710
1992-04-20,17080
1992-04-21,16950
1992-04-22,16810
1992-04-23,17440
1992-04-24,17610
1992-04-27,17560
1992-04-28,17620
1992-04-30,17380
1992-05-01,17370
1992-05-06,17900
1992-05-07,18350
1992-05-08,18470
1992-05-11,18590
1992-05-12,18620
1992-05-13,18910
1992-05-14,18960
1992-05-15,18350
1992-05-18,18430
1992-05-19,18860
1992-05-20,18690
1992-05-21,18720
1992-05-22,18260
1992-05-25,18520
1992-05-26,18240
1992-05-27,17660
1992-05-28,17970
1992-05-29,18380
1992-06-01,18070
1992-06-02,18340
1992-06-03,18150
1992-06-04,17910
1992-06-05,17800
1992-06-08,17620
1992-06-09,17860
1992-06-10,17600
1992-06-11,17790
1992-06-12,17490
1992-06-15,17110
1992-06-16,17000
1992-06-17,16690
1992-06-18,16140
1992-06-19,16410
1992-06-22,15960
1992-06-23,16150
1992-06-24,15870
1992-06-25,16160
1992-06-26,15880
1992-06-29,15780
1992-06-30,15990
1992-07-01,16060
1992-07-02,16710
1992-07-03,16880
1992-07-06,16710
1992-07-07,16530
1992-07-08,16580
1992-07-09,16850
1992-07-10,16840
1992-07-13,17300
1992-07-14,17140
1992-07-15,17160
1992-07-16,17050
1992-07-17,16530
1992-07-20,15930
1992-07-21,16030
1992-07-22,15460
1992-07-23,16010
1992-07-24,15500
1992-07-27,15290
1992-07-28,15440
1992-07-29,15120
1992-07-30,15570
1992-07-31,15870
1992-08-03,15670
1992-08-04,15840
1992-08-05,16050
1992-08-06,15970
1992-08-07,15450
1992-08-10,15110
1992-08-11,14830
1992-08-12,14820
1992-08-13,14820
1992-08-14,14890
1992-08-17,14920
1992-08-18,14330
1992-08-19,14830
1992-08-20,15290
1992-08-21,15890
1992-08-24,16490
1992-08-25,16400
1992-08-26,16560
1992-08-27,17160
1992-08-28,17760
1992-08-31,17940
1992-09-01,17750
1992-09-02,17610
1992-09-03,18210
1992-09-04,18710
1992-09-07,18600
1992-09-08,18520
1992-09-09,18400
1992-09-10,19210
1992-09-11,18580
1992-09-14,18710
1992-09-16,18110
1992-09-17,18260
1992-09-18,18280
1992-09-21,18270
1992-09-22,18470
1992-09-24,18750
1992-09-25,18520
1992-09-28,18140
1992-09-29,17920
1992-09-30,17590
1992-10-01,17330
1992-10-02,17400
1992-10-05,17190
1992-10-06,17290
1992-10-07,17270
1992-10-08,17260
1992-10-09,17200
1992-10-12,17420
1992-10-13,17660
1992-10-14,17450
1992-10-15,17730
1992-10-16,17320
1992-10-19,16960
1992-10-20,16960
1992-10-21,17150
1992-10-22,17040
1992-10-23,17150
1992-10-26,17060
1992-10-27,17240
1992-10-28,17130
1992-10-29,16960
1992-10-30,16760
1992-11-02,16820
1992-11-04,17020
1992-11-05,17070
1992-11-06,16900
1992-11-09,16450
1992-11-10,16360
1992-11-11,16300
1992-11-12,16450
1992-11-13,16300
1992-11-16,16180
1992-11-17,16000
1992-11-18,16600
1992-11-19,16850
1992-11-20,17080
1992-11-24,17110
1992-11-25,17330
1992-11-26,17470
1992-11-27,17550
1992-11-30,17640
1992-12-01,17320
1992-12-02,17390
1992-12-03,17240
1992-12-04,17260
1992-12-07,17160
1992-12-08,17380
1992-12-09,17410
1992-12-10,17550
1992-12-11,17530
1992-12-14,17330
1992-12-15,17610
1992-12-16,17370
1992-12-17,17630
1992-12-18,17720
1992-12-21,17740
1992-12-22,17770
1992-12-24,17700
1992-12-25,17660
1992-12-28,17240
1992-12-29,17330
1992-12-30,17000
1993-01-04,16990
1993-01-05,16890
1993-01-06,16740
1993-01-07,16800
1993-01-08,16750
1993-01-11,16680
1993-01-12,16710
1993-01-13,16560
1993-01-14,16580
1993-01-18,16710
1993-01-19,16870
1993-01-20,16530
1993-01-21,16540
1993-01-22,16380
1993-01-25,16330
1993-01-26,16550
1993-01-27,16530
1993-01-28,17130
1993-01-29,17050
1993-02-01,17190
1993-02-02,17240
1993-02-03,17330
1993-02-04,17250
1993-02-05,17410
1993-02-08,17310
1993-02-09,17060
1993-02-10,17140
1993-02-12,16880
1993-02-15,17150
1993-02-16,17030
1993-02-17,17030
1993-02-18,17030
1993-02-19,17110
1993-02-22,16880
1993-02-23,16890
1993-02-24,16890
1993-02-25,16960
1993-02-26,16950
1993-03-01,16900
1993-03-02,16960
1993-03-03,16880
1993-03-04,16800
1993-03-05,16900
1993-03-08,17500
1993-03-09,17900
1993-03-10,17850
1993-03-11,17930
1993-03-12,18170
1993-03-15,18220
1993-03-16,18050
1993-03-17,18310
1993-03-18,18750
1993-03-19,18700
1993-03-22,18870
1993-03-23,18610
1993-03-24,18600
1993-03-25,18880
1993-03-26,18960
1993-03-29,19170
1993-03-30,19050
1993-03-31,18680
1993-04-01,18960
1993-04-02,19600
1993-04-05,19740
1993-04-06,19630
1993-04-07,19990
1993-04-08,20120
1993-04-09,20060
1993-04-12,20000
1993-04-13,20870
1993-04-14,20620
1993-04-15,20790
1993-04-16,20330
1993-04-19,20170
1993-04-20,19950
1993-04-21,19970
1993-04-22,19680
1993-04-23,19810
1993-04-26,19750
1993-04-27,20350
1993-04-28,20610
1993-04-30,20900
1993-05-06,20680
1993-05-07,20820
1993-05-10,20960
1993-05-11,21000
1993-05-12,20620
1993-05-13,20610
1993-05-14,20520
1993-05-17,20600
1993-05-18,20210
1993-05-19,20410
1993-05-20,20280
1993-05-21,20660
1993-05-24,20430
1993-05-25,20680
1993-05-26,20930
1993-05-27,20800
1993-05-28,20900
1993-05-31,20510
1993-06-01,20650
1993-06-02,20770
1993-06-03,21000
1993-06-04,20870
1993-06-07,20810
1993-06-08,20510
1993-06-10,20500
1993-06-11,20650
1993-06-14,20530
1993-06-15,20230
1993-06-16,20040
1993-06-17,19990
1993-06-18,19880
1993-06-21,19280
1993-06-22,19620
1993-06-23,19550
1993-06-24,19780
1993-06-25,19730
1993-06-28,20000
1993-06-29,19750
1993-06-30,19700
1993-07-01,20000
1993-07-02,19750
1993-07-05,19720
1993-07-06,19950
1993-07-07,19710
1993-07-08,19820
1993-07-09,20050
1993-07-12,20070
1993-07-13,20320
1993-07-14,20290
1993-07-15,20280
1993-07-16,20440
1993-07-19,20210
1993-07-20,20130
1993-07-21,20170
1993-07-22,20210
1993-07-23,19800
1993-07-26,19890
1993-07-27,20040
1993-07-28,19930
1993-07-29,20530
1993-07-30,20540
1993-08-02,20430
1993-08-03,20490
1993-08-04,20650
1993-08-05,20560
1993-08-06,20400
1993-08-09,20560
1993-08-10,20550
1993-08-11,20840
1993-08-12,20940
1993-08-13,20730
1993-08-16,21010
1993-08-17,20860
1993-08-18,20860
1993-08-19,20690
1993-08-20,20670
1993-08-23,20410
1993-08-24,20500
1993-08-25,20590
1993-08-26,20680
1993-08-27,20860
1993-08-30,20990
1993-08-31,20980
1993-09-01,20920
1993-09-02,20960
1993-09-03,21160
1993-09-06,21130
1993-09-07,20960
1993-09-08,20950
1993-09-09,20770
1993-09-10,20930
1993-09-13,21320
1993-09-14,21040
1993-09-16,20600
1993-09-17,20510
1993-09-20,20370
1993-09-21,20580
1993-09-22,20240
1993-09-24,20420
1993-09-27,20200
1993-09-28,20280
1993-09-29,20170
1993-09-30,20120
1993-10-01,20410
1993-10-04,20390
1993-10-05,20430
1993-10-06,20600
1993-10-07,20410
1993-10-08,20460
1993-10-12,20280
1993-10-13,20160
1993-10-14,20240
1993-10-15,20340
1993-10-18,20170
1993-10-19,20170
1993-10-20,20330
1993-10-21,20280
1993-10-22,20410
1993-10-25,20460
1993-10-26,20100
1993-10-27,19870
1993-10-28,19600
1993-10-29,19700
1993-11-01,19490
1993-11-02,19470
1993-11-04,19100
1993-11-05,18530
1993-11-08,18670
1993-11-09,18070
1993-11-10,18190
1993-11-11,18160
1993-11-12,18570
1993-11-15,18080
1993-11-16,18400
1993-11-17,18150
1993-11-18,18120
1993-11-19,17920
1993-11-22,17390
1993-11-24,17060
1993-11-25,17230
1993-11-26,16700
1993-11-29,16140
1993-11-30,16380
1993-12-01,16980
1993-12-02,17450
1993-12-03,17460
1993-12-06,16860
1993-12-07,16760
1993-12-08,16360
1993-12-09,16990
1993-12-10,17300
1993-12-13,17400
1993-12-14,17400
1993-12-15,17650
1993-12-16,17860
1993-12-17,18090
1993-12-20,17490
1993-12-21,17330
1993-12-22,17470
1993-12-24,17100
1993-12-27,16850
1993-12-28,17200
1993-12-29,17340
1993-12-30,17410
