date,price
1991-10-07,91.13
1991-10-08,91.01
1991-10-09,91.13
1991-10-10,91.14
1991-10-11,91.21
1991-10-14,91.16
1991-10-15,91.1
1991-10-16,91.09
1991-10-17,91.08
1991-10-18,91.11
1991-10-21,90.97
1991-10-22,90.88
1991-10-23,90.81
1991-10-24,90.88
1991-10-25,90.72
1991-10-28,90.57
1991-10-29,90.74
1991-10-30,90.68
1991-10-31,90.62
1991-11-01,90.6
1991-11-04,90.47
1991-11-05,90.47
1991-11-06,90.57
1991-11-07,90.7
1991-11-08,90.97
1991-11-11,90.88
1991-11-12,90.94
1991-11-13,90.96
1991-11-14,91.02
1991-11-15,90.96
1991-11-18,90.9
1991-11-19,90.92
1991-11-21,90.89
1991-11-22,90.78
1991-11-25,90.61
1991-11-26,90.68
1991-11-27,90.52
1991-11-28,90.55
1991-11-29,90.52
1991-12-02,90.44
1991-12-03,90.59
1991-12-04,90.6
1991-12-05,90.79
1991-12-06,90.8
1991-12-09,91.24
1991-12-10,91.24
1991-12-11,91.25
1991-12-12,91.55
1991-12-13,91.46
1991-12-16,91.54
1991-12-17,91.72
1991-12-18,91.66
1991-12-19,91.71
1991-12-20,91.57
1991-12-23,91.49
1991-12-27,91.63
1991-12-30,91.83
1992-01-02,91.81
1992-01-03,91.69
1992-01-06,91.75
1992-01-07,91.75
1992-01-08,91.72
1992-01-09,92.1
1992-01-10,92
1992-01-13,91.87
1992-01-14,92.09
1992-01-15,92.22
1992-01-16,92.09
1992-01-17,92.16
1992-01-20,92.2
1992-01-21,92.48
1992-01-22,92.37
1992-01-23,92.41
1992-01-24,92.27
1992-01-27,92.13
1992-01-28,92.37
1992-01-29,92.33
1992-01-30,92.18
1992-01-31,92.1
1992-02-03,91.9
1992-02-04,91.88
1992-02-05,91.85
1992-02-06,91.97
1992-02-07,92.09
1992-02-10,92.06
1992-02-11,92.05
1992-02-12,92.03
1992-02-13,92.02
1992-02-14,91.88
1992-02-17,91.93
1992-02-18,91.92
1992-02-19,91.86
1992-02-20,91.95
1992-02-21,91.96
1992-02-24,92.04
1992-02-25,92.28
1992-02-26,92.46
1992-02-27,92.4
1992-02-28,92.37
1992-03-02,92.23
1992-03-03,92.34
1992-03-04,92.27
1992-03-05,92.3
1992-03-06,92.18
1992-03-09,92.49
1992-03-10,92.51
1992-03-11,92.38
1992-03-12,92.31
