date,price
1994-11-16,5.125
1994-11-17,5.125
1994-11-18,5.125
1994-11-21,5.09375
1994-11-22,5.0625
1994-11-24,5.03125
1994-11-25,5.03125
1994-11-28,5.0625
1994-11-29,5.0625
1994-11-30,5.0625
1994-12-01,5.0625
1994-12-02,5.03125
1994-12-05,5.0625
1994-12-06,5.0625
1994-12-07,5.03125
1994-12-08,5.03125
1994-12-09,5
1994-12-12,5
1994-12-13,5
1994-12-14,5
1994-12-15,5.03125
1994-12-16,5.03125
1994-12-19,5.03125
1994-12-20,5.03125
1994-12-21,4.96875
1994-12-22,4.96875
1994-12-26,4.96875
1994-12-27,4.96875
1994-12-28,4.96875
1994-12-29,4.96875
1994-12-30,4.96875
1995-01-04,5.03125
1995-01-05,5.0625
1995-01-06,5.03125
1995-01-09,5.03125
1995-01-10,5.03125
1995-01-11,5
1995-01-12,4.96875
1995-01-13,4.96875
1995-01-17,5
1995-01-18,4.9375
1995-01-19,4.9375
1995-01-20,4.9375
1995-01-23,4.9375
1995-01-24,4.9375
1995-01-25,4.9375
1995-01-26,4.9375
1995-01-27,4.90625
1995-01-30,4.9375
1995-01-31,4.9375
1995-02-01,4.96875
1995-02-02,4.96875
1995-02-03,4.96875
1995-02-06,4.96875
1995-02-07,4.9375
1995-02-08,4.9375
1995-02-09,4.9375
1995-02-10,4.96875
1995-02-13,4.9375
1995-02-14,4.9375
1995-02-15,4.9375
1995-02-16,4.90625
1995-02-17,4.90625
1995-02-20,4.90625
1995-02-21,4.875
1995-02-22,4.84375
1995-02-23,4.8125
1995-02-24,4.8125
1995-02-27,4.75
1995-02-28,4.78125
1995-03-01,4.78125
1995-03-02,4.78125
1995-03-03,4.71875
1995-03-08,4.6875
1995-03-09,4.71875
1995-03-10,4.6875
1995-03-13,4.59375
1995-03-14,4.625
1995-03-15,4.625
1995-03-16,4.59375
1995-03-17,4.53125
1995-03-20,4.53125
1995-03-22,4.5
1995-03-23,4.4375
1995-03-24,4.4375
1995-03-27,4.46875
1995-03-28,4.375
1995-03-29,4.28125
1995-03-30,4.3125
1995-03-31,4.28125
1995-04-03,4.125
1995-04-04,4.09375
1995-04-05,4.125
1995-04-06,4.125
1995-04-07,4.0625
1995-04-10,4.125
1995-04-11,4.1875
1995-04-12,4.21875
1995-04-13,4.15625
1995-04-14,4.03125
1995-04-17,3.96875
1995-04-18,3.96875
1995-04-19,4.03125
1995-04-20,4
1995-04-21,4.0625
1995-04-24,4.03125
1995-04-25,4.03125
1995-04-26,4.03125
1995-04-27,4.03125
1995-04-28,4.03125
1995-05-01,4.09375
1995-05-02,4.0625
1995-05-08,4.03125
1995-05-09,4
1995-05-10,3.96875
1995-05-11,3.96875
1995-05-12,4.03125
1995-05-15,4.03125
1995-05-16,4
1995-05-17,3.96875
1995-05-18,3.96875
1995-05-19,3.90625
1995-05-22,3.84375
1995-05-23,3.84375
1995-05-24,3.8125
1995-05-25,3.75
1995-05-26,3.6875
1995-05-29,3.6875
1995-05-30,3.65625
1995-05-31,3.53125
1995-06-01,3.5625
1995-06-02,3.59375
1995-06-05,3.625
1995-06-06,3.59375
1995-06-08,3.6875
1995-06-09,3.6875
1995-06-12,3.6875
1995-06-13,3.65625
1995-06-14,3.6875
1995-06-15,3.71875
1995-06-16,3.71875
1995-06-19,3.6875
1995-06-20,3.65625
1995-06-21,3.59375
1995-06-22,3.53125
1995-06-23,3.5
1995-06-26,3.46875
1995-06-27,3.46875
1995-06-28,3.46875
1995-06-29,3.4375
1995-06-30,3.4375
1995-07-03,3.40625
1995-07-04,3.40625
1995-07-05,3.375
1995-07-06,3.375
1995-07-07,3.28125
1995-07-10,3.3125
1995-07-11,3.3125
1995-07-12,3.375
1995-07-13,3.375
1995-07-14,3.46875
1995-07-17,3.5
1995-07-18,3.59375
1995-07-19,3.59375
1995-07-20,3.59375
1995-07-21,3.625
1995-07-24,3.65625
1995-07-25,3.625
1995-07-26,3.59375
1995-07-27,3.5625
1995-07-28,3.5625
1995-07-31,3.59375
1995-08-01,3.59375
1995-08-02,3.65625
1995-08-03,3.71875
1995-08-04,3.71875
1995-08-07,3.71875
1995-08-08,3.71875
1995-08-09,3.75
1995-08-10,3.75
1995-08-11,3.8125
1995-08-14,3.78125
1995-08-15,3.75
1995-08-16,3.90625
1995-08-17,3.90625
1995-08-18,3.875
1995-08-21,3.875
1995-08-22,3.84375
1995-08-23,3.8125
1995-08-24,3.8125
1995-08-25,3.8125
1995-08-28,3.8125
1995-09-07,3.75
1995-09-08,3.75
1995-09-11,3.75
1995-09-12,3.75
1995-09-13,3.71875
1995-09-14,3.6875
1995-09-18,3.65625
1995-09-19,3.65625
1995-09-20,3.59375
1995-09-21,3.53125
1995-09-22,3.5
1995-09-25,3.46875
1995-09-26,3.46875
1995-09-27,3.5
1995-09-28,3.53125
1995-09-29,3.5
1995-10-02,3.46875
1995-10-03,3.4375
1995-10-04,3.40625
1995-10-05,3.4375
1995-10-06,3.5
1995-10-09,3.53125
1995-10-11,3.5625
1995-10-12,3.59375
1995-10-13,3.59375
1995-10-16,3.5625
1995-10-17,3.53125
1995-10-18,3.59375
1995-10-19,3.59375
1995-10-20,3.59375
1995-10-23,3.59375
1995-10-24,3.59375
1995-10-25,3.625
1995-10-26,3.59375
1995-10-27,3.5625
1995-10-30,3.5625
1995-10-31,3.59375
1995-11-01,3.5625
1995-11-02,3.59375
1995-11-06,3.59375
1995-11-07,3.59375
1995-11-08,3.625
1995-11-09,3.625
1995-11-10,3.5625
1995-11-13,3.5625
