date,price
1990-01-03,134.75
1990-01-04,136.25
1990-01-05,136.9
1990-01-08,136.8
1990-01-09,136.95
1990-01-10,137.7
1990-01-11,137.25
1990-01-12,138.3
1990-01-15,139.1
1990-01-16,137.2
1990-01-17,136.3
1990-01-18,135.75
1990-01-19,135.9
1990-01-22,135.25
1990-01-23,136.35
1990-01-24,136.15
1990-01-25,136.55
1990-01-26,137.65
1990-01-29,137.8
1990-01-30,137.7
1990-01-31,136.8
1990-02-01,136.95
1990-02-02,136.05
1990-02-05,137
1990-02-06,136.85
1990-02-07,136.35
1990-02-08,137
1990-02-09,136.25
1990-02-12,136.65
1990-02-13,137.3
1990-02-14,136.75
1990-02-15,135.1
1990-02-16,134.95
1990-02-20,136
1990-02-21,135.45
1990-02-22,134.45
1990-02-23,132.85
1990-02-26,126
1990-02-27,125.75
1990-02-28,126.25
1990-03-01,125.95
1990-03-02,129.15
1990-03-05,129.65
1990-03-06,130.1
1990-03-07,130.15
1990-03-08,130
1990-03-09,129.2
1990-03-12,129.85
1990-03-13,130.5
1990-03-14,129.7
1990-03-15,129.85
1990-03-16,130.25
1990-03-19,129.9
1990-03-20,129
1990-03-21,129.8
1990-03-22,130.4
1990-03-26,126.85
1990-03-27,126.65
1990-03-28,129
1990-03-29,129.7
1990-03-30,129.75
1990-04-02,129.3
1990-04-03,129.95
1990-04-04,129.45
1990-04-05,129.05
1990-04-06,129.55
1990-04-09,129.35
1990-04-10,129.65
1990-04-11,129.85
1990-04-12,129.95
1990-04-16,129.75
1990-04-17,129.1
1990-04-18,128.8
1990-04-19,129
1990-04-20,127.7
1990-04-23,127.8
1990-04-24,126
1990-04-25,123.35
1990-04-26,122.75
1990-04-27,121.05
1990-04-30,117.35
1990-05-01,119.95
1990-05-02,119.85
1990-05-03,119
1990-05-04,120.4
1990-05-07,119.4
1990-05-08,117.7
1990-05-09,118.25
1990-05-10,118.5
1990-05-11,118.85
1990-05-14,119.4
1990-05-15,119.3
1990-05-16,120
1990-05-17,119.25
1990-05-18,123.5
1990-05-21,121.4
1990-05-22,122.5
1990-05-23,121.55
1990-05-24,122.25
1990-05-25,122.9
1990-05-29,121.7
1990-05-30,118.95
1990-05-31,117
1990-06-01,116.45
1990-06-04,116.2
1990-06-05,116.75
1990-06-06,117.05
1990-06-07,116
1990-06-08,116.65
1990-06-11,116.35
1990-06-12,116.25
1990-06-13,114.7
1990-06-14,111.55
1990-06-15,112.85
1990-06-18,113
1990-06-19,113.3
1990-06-20,112.6
1990-06-21,112.6
1990-06-22,112.15
1990-06-25,112.8
1990-06-26,111.25
1990-06-27,113.75
1990-06-28,114.2
1990-06-29,117.65
1990-07-02,116.65
1990-07-03,117.9
1990-07-05,119
1990-07-06,118.6
1990-07-09,117.1
1990-07-10,116.8
1990-07-11,116.95
1990-07-12,116.75
1990-07-13,117.2
1990-07-16,117.15
1990-07-17,116.75
1990-07-18,117.95
1990-07-19,117.5
1990-07-20,117.85
1990-07-23,119.1
1990-07-24,117.5
1990-07-25,117.5
1990-07-26,116.7
1990-07-27,116.1
1990-07-30,115.25
1990-07-31,115.25
1990-08-01,115
1990-08-02,114.75
1990-08-03,113.25
1990-08-06,113.5
1990-08-07,114
1990-08-08,114.3
1990-08-09,114.85
1990-08-10,115.5
1990-08-13,117.75
1990-08-14,116.7
1990-08-15,115.5
1990-08-16,116.15
1990-08-17,117.15
1990-08-20,116.05
1990-08-21,116.5
1990-08-22,115.95
1990-08-23,115.6
1990-08-24,114.25
1990-08-27,110.4
1990-08-28,109.3
1990-08-29,109.4
1990-08-30,109
1990-08-31,108
1990-09-04,108.95
1990-09-05,108.65
1990-09-06,106.75
1990-09-07,105.85
1990-09-10,102.85
1990-09-11,103.5
1990-09-12,103.65
1990-09-13,104.45
1990-09-14,104.15
1990-09-17,104.7
1990-09-18,104.75
1990-09-19,103.75
1990-09-20,102.2
1990-09-21,100.1
1990-09-24,100.75
1990-09-25,101.4
1990-09-26,99.75
