date,price
1990-01-03,469.8
1990-01-04,488.7
1990-01-05,491.8
1990-01-08,485.1
1990-01-09,488.9
1990-01-10,497.9
1990-01-11,496.1
1990-01-12,500.5
1990-01-15,499.3
1990-01-16,495.2
1990-01-17,496
1990-01-18,493.6
1990-01-19,497
1990-01-22,495
1990-01-23,497.6
1990-01-24,502.4
1990-01-25,506.8
1990-01-26,516.4
1990-01-29,523.9
1990-01-30,519.6
1990-01-31,512.2
1990-02-01,517.4
1990-02-02,515.8
1990-02-05,519
1990-02-06,518.3
1990-02-07,512
1990-02-08,513.6
1990-02-09,514.1
1990-02-12,523.9
1990-02-13,522.5
1990-02-14,526.9
1990-02-15,522.9
1990-02-16,525.4
1990-02-20,534.4
1990-02-21,530.8
1990-02-22,526.1
1990-02-23,526.5
1990-02-26,511.1
1990-02-27,509.8
1990-02-28,508
1990-03-01,508
1990-03-02,507.9
1990-03-05,509.1
1990-03-06,512
1990-03-07,506.7
1990-03-08,505.6
1990-03-09,503
1990-03-12,502.8
1990-03-13,502.2
1990-03-14,502.4
1990-03-15,503.7
1990-03-16,502.1
1990-03-19,502.1
1990-03-20,493.6
1990-03-21,494.8
1990-03-22,494.7
1990-03-23,493.8
1990-03-26,483.6
1990-03-27,477.8
1990-03-28,474.8
1990-03-29,473.8
1990-03-30,474.5
1990-04-02,470.6
1990-04-03,475
1990-04-04,480.7
1990-04-05,477.2
1990-04-06,475.6
1990-04-09,475.2
1990-04-10,475.5
1990-04-11,478.3
1990-04-12,479.6
1990-04-16,478.3
1990-04-17,478.1
1990-04-18,477.1
1990-04-19,481.7
1990-04-20,481.6
1990-04-23,490.3
1990-04-24,483.8
1990-04-25,467.2
1990-04-26,473.9
1990-04-27,475.6
1990-04-30,474.1
1990-05-01,479.7
1990-05-02,480.5
1990-05-03,483.2
1990-05-04,483.4
1990-05-07,484.6
1990-05-08,479.2
1990-05-09,486.5
1990-05-10,484.6
1990-05-11,483.9
1990-05-14,487.2
1990-05-15,487.9
1990-05-16,487.6
1990-05-17,492.9
1990-05-18,507
1990-05-21,501.1
1990-05-22,504.9
1990-05-23,498.2
1990-05-24,500.7
1990-05-25,504.8
1990-05-29,500
1990-05-30,494.8
1990-05-31,493.7
1990-06-01,488
1990-06-04,486.8
1990-06-05,492.3
1990-06-06,489.4
1990-06-07,487.5
1990-06-08,488.8
1990-06-11,486.2
1990-06-12,489.4
1990-06-13,481.2
1990-06-14,476.5
1990-06-15,476
1990-06-18,479.1
1990-06-19,476.2
1990-06-20,482.1
1990-06-21,480
1990-06-22,479
1990-06-25,481.9
1990-06-26,480
1990-06-27,481.8
1990-06-28,483.5
1990-06-29,485.1
1990-07-02,485.3
1990-07-03,485.1
1990-07-05,483.1
1990-07-06,482.2
1990-07-09,482.5
1990-07-10,480.9
1990-07-11,473.3
1990-07-12,470.9
1990-07-13,478.8
1990-07-16,474.1
1990-07-17,472.3
1990-07-18,472.6
1990-07-19,475.8
1990-07-20,474.8
1990-07-23,481.1
1990-07-24,475.9
1990-07-25,478.8
1990-07-26,475.3
1990-07-27,479.9
1990-07-30,480.1
1990-07-31,490.9
1990-08-01,492.2
1990-08-02,490.5
1990-08-03,488.1
1990-08-06,490.4
1990-08-07,482.1
1990-08-08,482.1
1990-08-09,486.9
1990-08-10,496.3
1990-08-13,506
1990-08-14,502.5
1990-08-15,500.7
1990-08-16,504.6
1990-08-17,507.4
1990-08-20,504.1
1990-08-21,500.3
1990-08-22,502.8
1990-08-23,505.9
1990-08-24,507.3
1990-08-27,486
1990-08-28,482.9
1990-08-29,484.5
1990-08-30,487.6
1990-08-31,484.3
1990-09-04,486.4
1990-09-05,484.2
1990-09-06,482.2
1990-09-07,482.3
1990-09-10,457.5
1990-09-11,452.8
1990-09-12,455
1990-09-13,457.7
1990-09-14,456.9
1990-09-17,458.9
1990-09-18,461.6
1990-09-19,458.6
1990-09-20,454.1
1990-09-21,452.3
1990-09-24,460.7
1990-09-25,451.8
1990-09-26,448
1990-09-27,437.3
1990-09-28,433.1
1990-10-01,426.8
1990-10-02,443.6
1990-10-03,439.6
1990-10-04,442.1
1990-10-05,447.3
1990-10-08,444.9
1990-10-09,439.7
1990-10-10,432.1
1990-10-11,417
1990-10-12,416.9
1990-10-15,394.1
1990-10-16,388.5
1990-10-17,392.5
1990-10-18,396.2
1990-10-19,407.7
1990-10-22,412.3
1990-10-23,422.4
1990-10-24,422.4
1990-10-25,415.8
1990-10-26,410.4
