date,price
2017-07-11,1413.1
2017-07-12,1422.6
2017-07-13,1425.8
2017-07-14,1428.6
2017-07-17,1430.9
2017-07-18,1426.8
2017-07-19,1442.2
2017-07-20,1441.9
2017-07-21,1435.4
2017-07-24,1436.4
2017-07-25,1450.1
2017-07-26,1441.3
2017-07-27,1431.2
2017-07-28,1430
2017-07-31,1424.7
2017-08-01,1428
2017-08-02,1411.9
2017-08-03,1405
2017-08-04,1411.2
2017-08-07,1413.9
2017-08-08,1409.4
2017-08-09,1397.2
2017-08-10,1370.1
2017-08-11,1372.3
2017-08-14,1393.4
2017-08-15,1381.7
2017-08-16,1382.6
2017-08-17,1354.5
2017-08-18,1357.1
2017-08-21,1355.4
2017-08-22,1370.8
2017-08-23,1367.2
2017-08-24,1373.4
2017-08-25,1375.6
2017-08-28,1381.8
2017-08-29,1382.7
2017-08-30,1390.8
2017-08-31,1405
2017-09-01,1411.7
2017-09-05,1401.2
2017-09-06,1401.6
2017-09-07,1398.5
2017-09-08,1403.5
2017-09-11,1416.6
2017-09-12,1423.6
2017-09-13,1427.2
2017-09-14,1427.3
2017-09-15,1427.02
2017-09-18,1442.2
2017-09-19,1441.6
2017-09-20,1447.1
2017-09-21,1445.4
2017-09-22,1450.9
2017-09-25,1453.7
2017-09-26,1457.9
2017-09-27,1487.9
2017-09-28,1492.6
2017-09-29,1492.9
2017-10-02,1512.5
2017-10-03,1515.6
2017-10-04,1511.4
2017-10-05,1515.5
2017-10-06,1511.6
2017-10-09,1507.6
2017-10-10,1510
2017-10-11,1507.8
2017-10-12,1507.8
2017-10-13,1506.3
2017-10-16,1505.4
2017-10-17,1499.4
2017-10-18,1506.4
2017-10-19,1502.9
2017-10-20,1510.3
2017-10-23,1497.7
2017-10-24,1501.4
2017-10-25,1498
2017-10-26,1499.6
2017-10-27,1508
2017-10-30,1493.1
2017-10-31,1502.7
2017-11-01,1491.9
2017-11-02,1496.1
2017-11-03,1494.8
2017-11-06,1497
2017-11-07,1477.3
2017-11-08,1482.5
2017-11-09,1477.5
2017-11-10,1474.2
2017-11-13,1473.6
2017-11-14,1470.5
2017-11-15,1463.8
2017-11-16,1486
2017-11-17,1492.9
2017-11-20,1504.1
2017-11-21,1518.8
2017-11-22,1516.6
2017-11-24,1518.5
2017-11-27,1513.3
2017-11-28,1536.3
2017-11-29,1541.2
2017-11-30,1545.4
2017-12-01,1537.6
2017-12-04,1531.1
2017-12-05,1516.4
2017-12-06,1508.1
2017-12-07,1520.9
2017-12-08,1521.1
2017-12-11,1522.2
2017-12-12,1516.3
2017-12-13,1525.8
2017-12-14,1508.7
2017-12-15,1510.22
2017-12-18,1551.1
2017-12-19,1538.5
2017-12-20,1539.8
2017-12-21,1550.2
2017-12-22,1543.7
2017-12-26,1547.5
2017-12-27,1545.5
2017-12-28,1549.6
2017-12-29,1536.5
2018-01-02,1548.8
2018-01-03,1555.5
2018-01-04,1557
2018-01-05,1561.9
2018-01-08,1562.4
2018-01-09,1560.7
2018-01-10,1561.9
2018-01-11,1587.9
2018-01-12,1596.1
2018-01-16,1577.2
2018-01-17,1589
2018-01-18,1575
2018-01-19,1599
2018-01-22,1607
2018-01-23,1613.1
2018-01-24,1601.1
2018-01-25,1604.4
2018-01-26,1609.6
2018-01-29,1597.8
2018-01-30,1586.8
2018-01-31,1576
2018-02-01,1582.6
2018-02-02,1544.2
2018-02-05,1459.3
2018-02-06,1507.4
2018-02-07,1497.6
2018-02-08,1463.8
2018-02-09,1476.7
2018-02-12,1492.3
2018-02-13,1496.2
2018-02-14,1520.7
2018-02-15,1540.9
2018-02-16,1544.2
2018-02-20,1530.6
2018-02-21,1528.2
2018-02-22,1536.4
2018-02-23,1551.2
2018-02-26,1561.7
2018-02-27,1538.3
2018-02-28,1511.2
2018-03-01,1505.4
2018-03-02,1530.4
2018-03-05,1543.6
2018-03-06,1559.1
2018-03-07,1573.4
2018-03-08,1573.7
2018-03-09,1597.3
2018-03-12,1601.9
2018-03-13,1597.7
2018-03-14,1584.8
2018-03-15,1579.1
2018-03-16,1576.82
2018-03-19,1577.6
2018-03-20,1576.7
2018-03-21,1584.1
2018-03-22,1543.9
2018-03-23,1518.4
2018-03-26,1546
2018-03-27,1518.7
2018-03-28,1517.4
2018-03-29,1531.2
2018-04-02,1491.7
2018-04-03,1513.7
2018-04-04,1534.9
2018-04-05,1543.7
2018-04-06,1515.4
2018-04-09,1519.5
2018-04-10,1545.5
2018-04-11,1548.6
2018-04-12,1559.3
2018-04-13,1552.8
2018-04-16,1566.4
2018-04-17,1584.1
2018-04-18,1587.8
2018-04-19,1575.1
2018-04-20,1566.7
2018-04-23,1565.3
2018-04-24,1556.8
2018-04-25,1555.1
2018-04-26,1564.2
2018-04-27,1558.9
2018-04-30,1543.8
2018-05-01,1552.9
2018-05-02,1552.5
2018-05-03,1551.1
2018-05-04,1566.8
2018-05-07,1581.4
2018-05-08,1589.5
2018-05-09,1598.4
2018-05-10,1605.2
2018-05-11,1609.5
2018-05-14,1604.3
2018-05-15,1601.8
2018-05-16,1619.1
