date,price
1990-11-26,83.09
1990-11-27,83.06
1990-11-28,82.92
1990-11-29,82.87
1990-11-30,83.02
1990-12-07,83.42
1990-12-10,83.37
1990-12-11,83.73
1990-12-12,83.88
1990-12-13,84.38
1990-12-14,84.02
1990-12-17,83.73
1990-12-18,83.72
1990-12-19,83.88
1990-12-20,82.87
1990-12-21,82.21
1990-12-27,82.23
1990-12-28,82.1
1991-01-02,81.82
1991-01-03,82.45
1991-01-04,82.4
1991-01-07,81.89
1991-01-08,82.11
1991-01-09,82.6
1991-01-10,82.26
1991-01-11,82.31
1991-01-14,81.97
1991-01-15,82.1
1991-01-16,81.85
1991-01-18,82.88
1991-01-21,82.78
1991-01-22,82.72
1991-01-23,82.78
1991-01-24,83.52
1991-01-25,83.51
1991-01-28,83.33
1991-01-29,83.66
1991-01-30,84.02
1991-01-31,84.02
1991-02-01,84.22
1991-02-04,84.27
1991-02-05,85.1
1991-02-06,85.04
1991-02-07,85.22
1991-02-08,85.1
1991-02-11,85.19
1991-02-12,84.94
1991-02-13,85.06
1991-02-14,85.99
1991-02-15,85.86
1991-02-18,86.2
1991-02-19,85.95
1991-02-20,85.67
1991-02-21,85.54
1991-02-22,85.57
1991-02-25,85.65
1991-02-26,85.32
1991-02-27,85.3
1991-02-28,85.51
1991-03-01,85.15
1991-03-04,85.05
1991-03-05,85.26
1991-03-06,85.67
1991-03-07,85.55
1991-03-08,85.93
1991-03-11,85.6
1991-03-12,85.73
1991-03-13,85.6
1991-03-14,85.6
1991-03-15,85.2
1991-03-18,84.97
1991-03-19,84.66
1991-03-20,84.69
1991-03-21,84.92
1991-03-22,84.81
1991-03-25,84.58
1991-03-26,84.38
1991-03-27,84.37
1991-03-28,84.81
1991-04-02,84.99
1991-04-03,85.16
1991-04-04,85.57
1991-04-05,85.74
1991-04-08,86.05
1991-04-09,85.9
1991-04-10,85.74
1991-04-11,86.09
1991-04-12,86.21
1991-04-15,85.88
1991-04-16,85.47
1991-04-17,85.75
1991-04-18,85.61
1991-04-19,85.23
1991-04-22,85.13
1991-04-23,85.42
1991-04-24,85.29
1991-04-25,85.35
1991-04-26,85.19
1991-04-29,85.42
1991-04-30,85.7
1991-05-02,85.7
1991-05-03,85.46
1991-05-06,85.5
1991-05-07,85.38
1991-05-08,85.18
1991-05-10,85.39
1991-05-13,85.23
1991-05-14,84.81
1991-05-15,85.11
1991-05-16,85.2
1991-05-17,85.13
1991-05-21,85.35
1991-05-22,85.46
1991-05-23,85.49
1991-05-24,85.47
1991-05-27,85.67
1991-05-28,85.83
1991-05-29,85.89
1991-05-31,85.89
1991-06-07,85.48
1991-06-10,85.44
1991-06-11,85.57
1991-06-12,85.44
1991-06-13,85.59
1991-06-14,85.68
1991-06-17,85.58
1991-06-18,85.76
1991-06-19,85.73
1991-06-20,85.72
1991-06-21,85.75
1991-06-24,85.6
1991-06-25,85.51
1991-06-26,85.44
1991-06-27,85.15
1991-06-28,84.75
1991-07-01,84.64
1991-07-02,84.56
1991-07-03,84.67
1991-07-04,84.52
1991-07-05,84.33
1991-07-08,84.37
1991-07-09,84.38
1991-07-10,84.6
1991-07-11,84.45
1991-07-12,84.66
1991-07-15,84.53
1991-07-16,84.23
1991-07-17,84.29
1991-07-18,84.12
1991-07-19,83.91
1991-07-22,83.98
1991-07-23,83.7
1991-07-24,83.79
1991-07-25,83.64
1991-07-26,83.57
1991-07-29,83.61
1991-07-30,83.63
1991-07-31,83.88
1991-08-01,83.9
1991-08-02,84.22
1991-08-05,84.18
1991-08-06,84.31
1991-08-07,84.37
1991-08-08,84.35
1991-08-09,84.22
1991-08-12,84.25
1991-08-13,84.61
1991-08-14,84.78
1991-08-15,85.05
1991-08-16,84.89
1991-08-19,83.87
1991-08-20,84.07
1991-08-21,84.58
1991-08-22,84.73
1991-08-23,84.67
1991-08-26,84.64
1991-08-27,84.72
1991-08-28,84.99
1991-08-29,85.16
1991-08-30,84.87
1991-09-02,85.39
1991-09-03,85.36
1991-09-04,85.27
1991-09-05,85.13
1991-09-06,85.35
1991-09-09,85.52
1991-09-10,85.27
1991-09-11,85.27
1991-09-12,85.4
1991-09-13,85.4
1991-09-16,85.44
1991-09-17,85.46
1991-09-18,85.42
1991-09-19,85.28
1991-09-20,85.24
1991-09-23,85.16
1991-09-24,85.32
1991-09-25,85.34
1991-09-26,85.33
1991-09-27,85.42
1991-09-30,85.56
1991-10-01,85.87
1991-10-02,85.91
1991-10-04,86.21
1991-10-07,86.19
1991-10-08,86
1991-10-09,86.12
