date,price
1990-01-03,63.13
1990-01-04,64.95
1990-01-05,64.81
1990-01-08,65.5
1990-01-09,65.69
1990-01-10,65.85
1990-01-11,66.23
1990-01-12,66.6
1990-01-15,66.04
1990-01-16,65.99
1990-01-17,66.27
1990-01-18,65.53
1990-01-19,65.61
1990-01-22,64.97
1990-01-23,66.08
1990-01-24,66.52
1990-01-25,67.1
1990-01-26,66.98
1990-01-29,67.28
1990-01-30,66.38
1990-01-31,66.55
1990-02-01,66.95
1990-02-02,66.92
1990-02-05,67.77
1990-02-06,67.56
1990-02-07,66.96
1990-02-08,67.02
1990-02-09,66.99
1990-02-12,66.57
1990-02-13,66.64
1990-02-14,66.89
1990-02-15,66.39
1990-02-16,67.03
1990-02-20,67.61
1990-02-21,67.66
1990-02-22,67.66
1990-02-23,67.88
1990-02-26,67.03
1990-02-27,67.35
1990-02-28,66.69
1990-03-01,66.17
1990-03-02,66.27
1990-03-05,66.84
1990-03-06,66.65
1990-03-07,66.5
1990-03-08,66.4
1990-03-09,66.3
1990-03-12,65.5
1990-03-13,65.68
1990-03-14,65.6
1990-03-15,65.9
1990-03-16,66.24
1990-03-19,66.44
1990-03-20,65.51
1990-03-21,65.64
1990-03-22,66.14
1990-03-23,65.77
1990-03-26,65.69
1990-03-27,65.74
1990-03-28,65.84
1990-03-29,66.82
1990-03-30,66.76
1990-04-02,66.47
1990-04-03,66.45
1990-04-04,66.34
1990-04-05,66.49
1990-04-06,66.55
1990-04-09,66.62
1990-04-10,67.39
1990-04-11,67.49
1990-04-12,67.47
1990-04-16,67.02
1990-04-17,67.03
1990-04-18,67.67
1990-04-19,67.28
1990-04-20,67.14
1990-04-23,66.86
1990-04-24,67.03
1990-04-25,68.37
1990-04-26,68.46
1990-04-27,68.77
1990-04-30,68.86
1990-05-01,68.69
1990-05-02,68.67
1990-05-03,68.67
1990-05-04,69.29
1990-05-07,69.8
1990-05-08,69.84
1990-05-09,71.34
1990-05-10,71.79
1990-05-11,71.34
1990-05-14,71.82
1990-05-15,71.62
1990-05-16,71.34
1990-05-17,71.11
1990-05-18,71.21
1990-05-21,70.3
1990-05-22,70.46
1990-05-23,70.48
1990-05-24,69.99
1990-05-25,70.05
1990-05-29,70.82
1990-05-30,70.21
1990-05-31,69.85
1990-06-01,69.53
1990-06-04,69.58
1990-06-05,69.96
1990-06-06,69.67
1990-06-07,69.22
1990-06-08,68.94
1990-06-11,69.39
1990-06-12,69.54
1990-06-13,70.23
1990-06-14,69.64
1990-06-15,69.81
1990-06-18,69.94
1990-06-19,70.9
1990-06-20,70.67
1990-06-21,70.68
1990-06-22,70.74
1990-06-25,70.71
1990-06-26,71.44
1990-06-27,70.87
1990-06-28,70.31
1990-06-29,70.45
1990-07-02,71.43
1990-07-03,71.68
1990-07-05,71.3
1990-07-06,71.39
1990-07-09,71.47
1990-07-10,71.68
1990-07-11,71.42
1990-07-12,71.81
1990-07-13,71.34
1990-07-16,70.27
1990-07-17,71.11
1990-07-18,70.57
1990-07-19,70.99
1990-07-20,71.16
1990-07-23,72.37
1990-07-24,72.58
1990-07-25,72.39
1990-07-26,72.52
1990-07-27,73.36
1990-07-30,73.48
1990-07-31,74.23
1990-08-01,73.76
1990-08-02,73.7
1990-08-03,73.96
1990-08-06,75.06
1990-08-07,74.83
1990-08-08,74.73
1990-08-09,74.32
1990-08-10,74.71
1990-08-13,75.92
1990-08-14,76.73
1990-08-15,76.51
1990-08-16,77.55
1990-08-17,78.02
1990-08-20,77.07
1990-08-21,77.46
1990-08-22,78.26
1990-08-23,79.61
1990-08-24,78.72
1990-08-27,78.53
1990-08-28,77.76
1990-08-29,77.43
1990-08-30,77.19
1990-08-31,76.24
1990-09-04,76.22
1990-09-05,77.26
1990-09-06,77.17
1990-09-07,76.59
1990-09-10,75.95
1990-09-11,75.32
1990-09-12,75.19
1990-09-13,76.63
1990-09-14,77.24
1990-09-17,77.95
1990-09-18,77.41
1990-09-19,76.29
1990-09-20,75.83
1990-09-21,75.7
1990-09-24,77.29
1990-09-25,76.42
1990-09-26,76.77
1990-09-27,77.47
1990-09-28,77.04
1990-10-01,77.15
1990-10-02,77.47
1990-10-03,77.92
1990-10-04,78.03
1990-10-05,77.31
1990-10-08,78.21
1990-10-09,78.44
1990-10-10,78
1990-10-11,78.76
1990-10-12,77.75
1990-10-15,77.43
1990-10-16,78.45
1990-10-17,78.56
1990-10-18,79.45
1990-10-19,78.83
1990-10-22,77.82
1990-10-23,78.01
1990-10-24,78.76
1990-10-25,78.06
1990-10-26,78.01
1990-10-29,77.39
1990-10-30,78.08
1990-10-31,77.75
1990-11-01,78.52
1990-11-02,79.22
1990-11-05,79.99
1990-11-06,79.73
1990-11-07,80.08
1990-11-08,80.04
1990-11-09,80.01
1990-11-12,80.05
1990-11-13,79.9
1990-11-14,80.23
1990-11-15,79.86
1990-11-16,80.27
1990-11-19,80.26
1990-11-20,80.29
1990-11-21,80.24
1990-11-23,79.35
1990-11-26,79.23
1990-11-27,79.42
1990-11-28,78.73
1990-11-29,77.88
1990-11-30,78.29
1990-12-03,77.37
1990-12-04,77.94
1990-12-05,78.17
1990-12-06,78.6
1990-12-07,79.84
1990-12-10,79.27
1990-12-11,78.91
1990-12-12,79.32
1990-12-13,78.96
1990-12-14,78.36
1990-12-17,78.48
1990-12-18,78.39
1990-12-19,78.62
