date,price
1998-06-23,3325
1998-06-24,3355
1998-06-25,3440
1998-06-26,3436
1998-06-29,3470
1998-06-30,3445
1998-07-01,3500
1998-07-02,3525
1998-07-03,3538
1998-07-06,3545
1998-07-07,3568
1998-07-08,3590
1998-07-09,3584
1998-07-10,3556
1998-07-13,3591
1998-07-14,3616
1998-07-15,3646
1998-07-16,3642
1998-07-17,3703
1998-07-20,3720
1998-07-21,3700
1998-07-22,3611
1998-07-23,3615
1998-07-24,3595
1998-07-27,3530
1998-07-28,3515
1998-07-29,3520
1998-07-30,3567
1998-07-31,3530
1998-08-03,3448
1998-08-04,3448
1998-08-05,3368
1998-08-06,3285
1998-08-07,3370
1998-08-10,3290
1998-08-11,3198
1998-08-12,3254
1998-08-13,3245
1998-08-14,3315
1998-08-17,3280
1998-08-18,3399
1998-08-19,3421
1998-08-20,3370
1998-08-21,3220
1998-08-24,3210
1998-08-25,3308
1998-08-26,3210
1998-08-27,3080
1998-08-28,3000
1998-08-31,2975
1998-09-01,2954
1998-09-02,3038
1998-09-03,2960
1998-09-04,3030
1998-09-07,3046
1998-09-08,3125
1998-09-09,3050
1998-09-10,2904
1998-09-11,2885
1998-09-14,2971
1998-09-15,2950
1998-09-16,2973
1998-09-17,2835
1998-09-18,2774.7
1998-09-21,2686
1998-09-22,2751
1998-09-23,2845
1998-09-24,2813
1998-09-25,2768
1998-09-28,2808
1998-09-29,2796
1998-09-30,2695
1998-10-01,2530
1998-10-02,2500
1998-10-05,2450
1998-10-06,2600
1998-10-07,2565
1998-10-08,2452
1998-10-09,2501
1998-10-12,2660
1998-10-13,2695
1998-10-14,2765
1998-10-15,2773
1998-10-16,2815
1998-10-19,2800
1998-10-20,2905
1998-10-21,2840
1998-10-22,2815
1998-10-23,2825
1998-10-26,2855
1998-10-27,2941
1998-10-28,2867
1998-10-29,2861
1998-10-30,2914
1998-11-02,2978
1998-11-03,2970
1998-11-04,3055
1998-11-05,2991
1998-11-06,2998
1998-11-09,2985
1998-11-10,2939
1998-11-11,2963
1998-11-12,2958
1998-11-13,2945
1998-11-16,3005
1998-11-17,3000
1998-11-18,2995
1998-11-19,3065
1998-11-20,3152
1998-11-23,3220
1998-11-24,3177
1998-11-25,3185
1998-11-26,3250
1998-11-27,3282
1998-11-30,3200
1998-12-01,3056
1998-12-02,3035
1998-12-03,3080
1998-12-04,3085
1998-12-07,3105
1998-12-08,3117
1998-12-09,3124
1998-12-10,3110
1998-12-11,3050
1998-12-14,3062
1998-12-15,3082
1998-12-16,3130
1998-12-17,3150
1998-12-18,3130.54
1998-12-21,3274
1998-12-22,3290
1998-12-23,3359
1998-12-28,3389
1998-12-29,3386
1998-12-30,3392
1999-01-04,3605
1999-01-05,3650
1999-01-06,3750
1999-01-07,3690
1999-01-08,3675
1999-01-11,3570
1999-01-12,3526
1999-01-13,3411
1999-01-14,3370
1999-01-15,3496
1999-01-18,3550
1999-01-19,3550
1999-01-20,3637
1999-01-21,3592
1999-01-22,3422
1999-01-25,3438
1999-01-26,3460
1999-01-27,3481
1999-01-28,3545
1999-01-29,3585
1999-02-01,3638
1999-02-02,3552
1999-02-03,3496
1999-02-04,3488
1999-02-05,3503
1999-02-08,3468
1999-02-09,3370
1999-02-10,3325
1999-02-11,3390
1999-02-12,3420
1999-02-15,3429
1999-02-16,3408
1999-02-17,3360
1999-02-18,3385
1999-02-19,3413
1999-02-22,3480
1999-02-23,3550
1999-02-24,3578
1999-02-25,3480
1999-02-26,3499
1999-03-01,3448
1999-03-02,3459
1999-03-03,3385
1999-03-04,3440
1999-03-05,3544
1999-03-08,3497
1999-03-09,3499
1999-03-10,3493
1999-03-11,3530
1999-03-12,3582
1999-03-15,3587
1999-03-16,3606
1999-03-17,3580
1999-03-18,3587
1999-03-19,3643.1
1999-03-22,3611
1999-03-23,3510
1999-03-24,3459
1999-03-25,3536
1999-03-26,3490
1999-03-29,3540
1999-03-30,3527
1999-03-31,3547
1999-04-01,3579
1999-04-06,3670
1999-04-07,3640
1999-04-08,3650
1999-04-09,3681
1999-04-12,3679
1999-04-13,3710
1999-04-14,3684
1999-04-15,3635
1999-04-16,3638
1999-04-19,3699
1999-04-20,3600
1999-04-21,3620
1999-04-22,3652
1999-04-23,3648
1999-04-26,3670
1999-04-27,3726
1999-04-28,3716
1999-04-29,3707
1999-04-30,3740
1999-05-03,3751
1999-05-04,3740
1999-05-05,3690
1999-05-06,3671
1999-05-07,3662
1999-05-10,3667
1999-05-11,3690
1999-05-12,3666
1999-05-14,3619
1999-05-17,3555
1999-05-18,3595
1999-05-19,3634
1999-05-20,3679
1999-05-21,3683
1999-05-25,3631
1999-05-26,3626
1999-05-27,3579
1999-05-28,3596
1999-05-31,3626
1999-06-01,3611
1999-06-02,3619
1999-06-04,3680
1999-06-07,3722
1999-06-08,3727
1999-06-09,3739
1999-06-10,3700
1999-06-11,3758
1999-06-14,3725
1999-06-15,3742
1999-06-16,3778
1999-06-17,3812
