date,price
1990-01-03,86.61
1990-01-04,86.61
1990-01-05,86.57
1990-01-08,86.52
1990-01-09,86.62
1990-01-10,86.54
1990-01-11,86.55
1990-01-12,86.49
1990-01-15,86.46
1990-01-16,86.35
1990-01-17,86.38
1990-01-18,86.35
1990-01-19,86.2
1990-01-22,86.31
1990-01-23,86.65
1990-01-24,86.7
1990-01-25,86.73
1990-01-26,86.73
1990-01-29,86.79
1990-01-30,86.86
1990-01-31,86.83
1990-02-01,86.81
1990-02-02,86.87
1990-02-05,86.95
1990-02-06,86.93
1990-02-07,86.93
1990-02-08,86.77
1990-02-09,86.7
1990-02-12,86.6
1990-02-13,86.64
1990-02-14,86.53
1990-02-15,86.36
1990-02-16,86.26
1990-02-19,86.18
1990-02-20,86.25
1990-02-21,86.11
1990-02-22,86.13
1990-02-23,86.15
1990-02-26,86.11
1990-02-27,86
1990-02-28,86.06
1990-03-01,85.93
1990-03-02,85.69
1990-03-05,85.45
1990-03-06,85.68
1990-03-07,85.67
1990-03-08,85.73
1990-03-09,85.8
1990-03-12,85.61
1990-03-13,85.72
1990-03-14,85.62
1990-03-15,85.78
1990-03-16,86.13
1990-03-19,86.15
1990-03-20,86.18
1990-03-21,86.06
1990-03-22,86.01
1990-03-23,86.01
1990-03-26,86.1
1990-03-27,86.14
1990-03-28,86.18
1990-03-29,86.09
1990-03-30,86.09
1990-04-02,85.94
1990-04-03,85.97
1990-04-04,85.8
1990-04-05,85.95
1990-04-06,85.95
1990-04-09,86.07
1990-04-10,86.05
1990-04-11,86.07
1990-04-12,86.12
1990-04-17,86.1
1990-04-18,85.96
1990-04-19,85.98
1990-04-20,85.89
1990-04-23,85.77
1990-04-24,85.73
1990-04-26,85.8
1990-04-27,85.72
1990-04-30,85.75
1990-05-01,85.86
1990-05-02,85.95
1990-05-03,85.91
1990-05-04,85.83
1990-05-07,86.02
1990-05-08,85.99
1990-05-09,85.99
1990-05-10,86.03
1990-05-11,86.05
1990-05-14,86.05
1990-05-15,85.95
1990-05-16,85.91
1990-05-17,86
1990-05-18,85.95
1990-05-21,85.97
1990-05-22,86.02
1990-05-23,86.03
1990-05-24,86.04
1990-05-25,86.03
1990-05-28,86.06
1990-05-29,86.13
1990-05-30,86.02
1990-05-31,86.05
1990-06-01,86.05
1990-06-04,86.09
1990-06-05,86.11
1990-06-06,86.1
1990-06-07,86.05
1990-06-08,86.01
1990-06-12,85.96
1990-06-13,85.98
1990-06-14,86.03
1990-06-15,86.12
1990-06-18,86.09
1990-06-19,86.07
1990-06-20,86.07
1990-06-21,86.05
1990-06-22,85.97
1990-06-25,85.98
1990-06-26,86.01
1990-06-27,86.05
1990-06-28,86.04
1990-06-29,86.19
1990-07-02,86.22
1990-07-03,86.21
1990-07-04,86.3
1990-07-05,86.32
1990-07-06,86.3
1990-07-09,86.35
1990-07-10,86.34
1990-07-11,86.37
1990-07-12,86.43
1990-07-13,86.39
1990-07-16,86.43
1990-07-17,86.5
1990-07-18,86.48
1990-07-19,86.51
1990-07-20,86.54
1990-07-23,86.56
1990-07-24,86.53
1990-07-25,86.52
1990-07-26,86.55
1990-07-27,86.53
1990-07-30,86.51
1990-07-31,86.52
1990-08-01,86.56
1990-08-02,86.69
1990-08-03,86.58
1990-08-06,86.47
1990-08-07,86.45
1990-08-08,86.54
1990-08-09,86.59
1990-08-10,86.55
1990-08-13,86.47
1990-08-14,86.51
1990-08-15,86.59
1990-08-16,86.57
1990-08-17,86.54
1990-08-20,86.54
1990-08-21,86.61
1990-08-22,86.61
1990-08-23,86.53
1990-08-24,86.53
1990-08-27,86.6
1990-08-28,86.62
1990-08-29,86.54
1990-08-30,86.62
1990-08-31,86.68
1990-09-03,86.67
1990-09-04,86.72
1990-09-05,86.74
1990-09-06,86.86
1990-09-07,86.92
1990-09-10,86.89
1990-09-11,86.94
1990-09-12,86.95
1990-09-13,86.89
1990-09-14,86.87
1990-09-17,86.83
1990-09-18,86.87
1990-09-19,86.88
1990-09-20,86.95
1990-09-21,86.97
1990-09-24,86.9
1990-09-25,86.85
1990-09-26,86.82
1990-09-27,86.93
1990-09-28,86.99
1990-10-01,87.08
1990-10-02,87.13
1990-10-03,87.09
1990-10-04,87.15
1990-10-05,87.08
1990-10-08,87.19
1990-10-09,87.16
1990-10-10,87.12
1990-10-11,87.12
1990-10-12,87.19
1990-10-15,87.39
1990-10-16,87.4
1990-10-17,87.37
1990-10-18,87.35
1990-10-19,87.37
1990-10-22,87.38
1990-10-23,87.37
1990-10-24,87.35
1990-10-25,87.38
1990-10-26,87.37
1990-10-29,87.41
1990-10-30,87.43
1990-10-31,87.49
1990-11-01,87.49
1990-11-02,87.62
1990-11-05,87.85
1990-11-06,87.82
1990-11-07,87.92
1990-11-08,87.91
1990-11-09,87.89
1990-11-12,87.94
1990-11-13,87.96
1990-11-14,87.84
1990-11-15,87.85
1990-11-16,87.83
1990-11-19,87.81
1990-11-20,87.91
