date,price
2006-12-28,111.268
2007-03-30,112.865
2007-06-29,109.995
2007-08-02,109.25
2007-08-03,108.844
2007-08-06,109.281
2007-08-07,109.75
2007-08-08,109.813
2007-08-09,109.5
2007-08-10,109.25
2007-08-13,109.313
2007-08-14,109.031
2007-08-15,108.688
2007-08-16,108.5
2007-08-17,108.813
2007-08-20,108.781
2007-08-21,108.75
2007-08-22,109.219
2007-09-28,111.708
2007-12-28,111.91
2008-03-31,112.27
2008-06-30,111.39
2008-09-30,107.88
2008-12-30,112
2009-03-31,109.18
2009-04-22,108.531
2009-04-23,108.563
2009-04-24,109
2009-04-27,108.688
2009-04-28,109.438
2009-04-29,109.531
2009-04-30,111.469
2009-05-04,110.906
2009-05-05,111.313
2009-05-06,111.906
2009-05-07,111.25
2009-05-08,111.031
2009-05-11,110.5
2009-05-12,110.688
2009-05-13,110.5
2009-05-14,110.969
2009-05-15,110.938
2009-05-18,111
2009-05-19,111.313
2009-05-20,111.719
2009-05-21,110.656
2009-05-22,110.188
2009-05-25,110.219
2009-05-26,111.063
2009-05-27,110.656
2009-05-28,111.031
2009-05-29,111.594
2009-06-01,111.563
2009-06-02,111.438
2009-06-03,110.844
2009-06-04,110.656
2009-06-05,110.219
2009-06-08,109.563
2009-06-09,110.281
2009-06-10,110.219
2009-06-12,110.375
2009-06-15,110.156
2009-06-16,110.438
2009-06-17,109.656
2009-06-18,109.406
2009-06-19,109.531
2009-06-22,109.063
2009-06-23,109.531
2009-06-24,109.375
2009-06-25,110.969
2009-06-26,111.469
2009-06-29,112.656
2009-06-30,112.86
2009-07-01,110.594
2009-07-02,110
2009-07-03,110.031
2009-07-06,110.5
2009-07-07,110.5
2009-07-08,110.219
2009-07-10,110.563
2009-07-14,111.156
2009-07-15,111.281
2009-07-16,111.125
2009-07-17,111.594
2009-07-20,111.5
2009-07-21,111.656
2009-07-22,111.656
2009-07-23,111.813
2009-07-24,111.75
2009-07-27,111.531
2009-07-28,111.563
2009-07-29,111.656
2009-07-30,111.531
2009-07-31,112
2009-08-03,113.219
2009-08-04,113.125
2009-08-05,113.094
2009-08-06,112.938
2009-08-07,113.094
2009-08-10,112.906
2009-08-11,112.531
2009-08-12,112.594
2009-08-13,112.719
2009-08-14,113.094
2009-08-17,112.844
2009-08-18,113.344
2009-08-19,113
2009-08-20,113.5
2009-08-21,113.688
2009-08-24,113.938
2009-08-25,113.625
2009-08-26,113.75
2009-08-27,113.5
2009-08-28,113.625
2009-08-31,113.813
2009-09-01,113.656
2009-09-02,114
2009-09-03,114.375
2009-09-04,114.406
2009-09-08,115.063
2009-09-09,115.313
2009-09-10,115.344
2009-09-11,115.625
2009-09-14,115.906
2009-09-15,115.969
2009-09-16,116.281
2009-09-17,116
2009-09-18,116.063
2009-09-21,116
2009-09-22,116.188
2009-09-23,115.781
2009-09-24,115.813
2009-09-25,115.563
2009-09-28,115.656
2009-09-29,116.125
2009-09-30,116.13
2009-10-01,113.656
2009-10-02,113.375
2009-10-05,113.906
2009-10-06,114.156
2009-10-07,113.938
2009-10-08,114.375
2009-10-09,114.531
2009-10-13,114.625
2009-10-14,114.625
2009-10-15,114.344
2009-10-16,113.969
2009-10-19,114.156
2009-10-20,114.219
2009-10-21,113.875
2009-10-22,113.438
2009-10-23,113.188
2009-10-26,112.344
2009-10-27,112.313
2009-10-28,112.094
2009-10-29,112.969
2009-10-30,113.031
2009-11-03,112.781
2009-11-04,113.25
2009-11-05,113.094
2009-11-06,113.813
2009-11-09,114.5
2009-11-10,114.594
2009-11-11,114.625
2009-11-12,115.094
2009-11-13,115
2009-11-16,115.656
2009-11-17,115.531
2009-11-18,115.563
2009-11-19,115.625
2009-11-23,116.156
2009-11-24,116.313
2009-11-25,116.625
2009-11-26,116.625
2009-11-27,116.219
2009-11-30,116.281
2009-12-01,116.219
2009-12-02,116.375
2009-12-03,116.5
2009-12-04,115.938
2009-12-07,115.719
2009-12-08,115.719
2009-12-09,115.938
2009-12-10,115.781
2009-12-11,115.469
2009-12-14,115.281
2009-12-15,115.563
2009-12-16,115.313
2009-12-17,114.844
2009-12-18,114.844
2009-12-21,114.438
2009-12-22,114.156
2009-12-23,114.313
2009-12-28,114.125
2009-12-29,114.438
2009-12-30,114.52
