date,price
2002-11-20,0.785
2002-11-21,0.79
2002-11-22,0.78
2002-11-25,0.78
2002-11-26,0.78
2002-11-27,0.785
2002-12-02,0.785
2002-12-03,0.78
2002-12-04,0.88
2002-12-05,0.905
2002-12-06,0.905
2002-12-09,0.905
2002-12-10,0.905
2002-12-11,0.9075
2002-12-12,0.905
2002-12-13,0.92
2002-12-16,0.92
2002-12-17,0.92
2002-12-18,1.03
2002-12-19,1.03
2002-12-20,1.065
2002-12-23,1.06
2002-12-24,1.06
2002-12-26,1.06
2002-12-27,1.06
2002-12-30,1.06
2002-12-31,1.06
2003-01-02,0.97
2003-01-03,1.07
2003-01-06,1.055
2003-01-07,1.1
2003-01-08,1.165
2003-01-09,1.1975
2003-01-10,1.21
2003-01-13,1.265
2003-01-14,1.265
2003-01-15,1.15
2003-01-16,1.15
2003-01-17,1.22
2003-01-21,1.22
2003-01-22,1.31
2003-01-23,1.34
2003-01-24,1.2475
2003-01-27,1.31
2003-01-28,1.275
2003-01-29,1.35
2003-01-30,1.35
2003-02-03,0.725
2003-02-04,0.77
2003-02-05,0.75
2003-02-06,0.775
2003-02-07,0.795
2003-02-10,0.825
2003-02-11,0.845
2003-02-12,0.825
2003-02-13,0.825
2003-02-14,0.915
2003-02-18,1
2003-02-19,1.16
2003-02-20,1.13
2003-02-21,1.32
2003-02-24,2.3
2003-02-25,2
2003-02-26,2.15
2003-02-27,2.15
2003-03-03,0.66
2003-03-04,0.675
2003-03-05,0.635
2003-03-06,0.725
2003-03-07,0.74
2003-03-10,0.67
2003-03-11,0.61
2003-03-12,0.6
2003-03-13,0.57
2003-03-14,0.54
2003-03-17,0.55
2003-03-18,0.55
2003-03-19,0.565
2003-03-20,0.565
2003-03-21,0.53
2003-03-24,0.545
2003-03-25,0.545
2003-03-26,0.5
2003-03-27,0.495
2003-04-01,0.455
2003-04-02,0.46
2003-04-03,0.4525
2003-04-04,0.48
2003-04-07,0.505
2003-04-08,0.505
2003-04-09,0.48
2003-04-10,0.5
2003-04-11,0.5
2003-04-14,0.5
2003-04-15,0.51
2003-04-16,0.515
2003-04-17,0.51
2003-04-21,0.48
2003-04-22,0.53
2003-04-23,0.525
2003-04-24,0.515
2003-04-25,0.515
2003-04-28,0.495
2003-04-29,0.495
2003-05-01,0.565
2003-05-02,0.565
2003-05-05,0.565
2003-05-06,0.565
2003-05-07,0.5825
2003-05-08,0.56
2003-05-09,0.565
2003-05-12,0.565
2003-05-13,0.59
2003-05-14,0.58
2003-05-15,0.58
2003-05-16,0.57
2003-05-19,0.57
2003-05-20,0.56
2003-05-21,0.5625
2003-05-22,0.5575
2003-05-23,0.555
2003-05-27,0.525
2003-05-28,0.53
2003-05-29,0.53
2003-05-30,0.53
2003-06-02,0.625
2003-06-03,0.62
2003-06-04,0.62
2003-06-05,0.605
2003-06-09,0.58
2003-06-10,0.575
2003-06-11,0.575
2003-06-12,0.55
2003-06-16,0.52
2003-06-17,0.5225
2003-06-18,0.5275
2003-06-19,0.55
2003-06-23,0.6
2003-06-24,0.575
2003-06-25,0.5725
2003-06-26,0.56
2003-06-30,0.53
2003-07-01,0.51
2003-07-02,0.48
2003-07-03,0.5
2003-07-07,0.505
2003-07-08,0.51
2003-07-09,0.51
2003-07-10,0.49
2003-07-11,0.47
2003-07-14,0.465
2003-07-15,0.46
2003-07-16,0.4525
2003-07-17,0.4525
2003-07-21,0.45
2003-07-22,0.455
2003-07-23,0.4525
2003-07-24,0.445
2003-07-28,0.4575
2003-07-29,0.4475
2003-07-30,0.4475
2003-07-31,0.38
2003-08-04,0.385
2003-08-05,0.385
2003-08-06,0.4
2003-08-07,0.41
2003-08-08,0.41
2003-08-11,0.43
2003-08-12,0.4225
2003-08-13,0.4225
2003-08-18,0.4275
2003-08-19,0.43
2003-08-20,0.42
2003-08-21,0.43
2003-08-22,0.43
2003-08-25,0.42
2003-08-26,0.425
2003-08-27,0.4325
2003-08-28,0.4325
2003-08-29,0.435
2003-09-02,0.4225
2003-09-03,0.425
2003-09-04,0.4225
2003-09-05,0.4225
2003-09-08,0.415
2003-09-09,0.4125
2003-09-10,0.425
2003-09-11,0.425
