date,price
2002-11-25,0.1075
2002-11-26,0.105
2002-11-27,0.1025
2002-12-24,0.08
2002-12-26,0.08
2002-12-27,0.08
2002-12-30,0.13
2002-12-31,0.08
2003-01-02,0.08
2003-01-03,0.08
2003-01-06,0.08
2003-01-07,0.08
2003-01-08,0.02
2003-01-09,0.045
2003-01-10,0.04
2003-01-13,0.045
2003-01-14,0.045
2003-01-15,0.035
2003-01-16,0.035
2003-01-17,0.035
2003-01-21,0.035
2003-01-22,0.0725
2003-01-23,0.06
2003-01-24,0.06
2003-01-27,0.04
2003-01-28,0.01
2003-01-29,0.0225
2003-01-30,0.0225
2003-02-03,0.115
2003-02-04,0.135
2003-02-05,0.125
2003-02-06,0.11
2003-02-07,0.1075
2003-02-10,0.11
2003-02-11,0.125
2003-02-12,0.1225
2003-02-13,0.12
2003-02-14,0.155
2003-02-18,0.235
2003-02-19,0.31
2003-02-20,0.29
2003-02-21,0.41
2003-02-24,0.5
2003-02-25,0.5075
2003-02-26,0.575
2003-02-27,0.575
2003-03-03,0.23
2003-03-04,0.28
2003-03-05,0.285
2003-03-06,0.255
2003-03-07,0.25
2003-03-10,0.2475
2003-03-11,0.2
2003-03-12,0.205
2003-03-13,0.2
2003-03-14,0.215
2003-03-17,0.23
2003-03-18,0.21
2003-03-19,0.2175
2003-03-20,0.2175
2003-03-21,0.2175
2003-03-24,0.2125
2003-03-25,0.215
2003-03-26,0.215
2003-03-27,0.21
2003-04-01,0.175
2003-04-02,0.17
2003-04-03,0.185
2003-04-04,0.185
2003-04-07,0.2225
2003-04-08,0.2225
2003-04-09,0.2075
2003-04-10,0.205
2003-04-11,0.205
2003-04-14,0.2275
2003-04-15,0.2
2003-04-16,0.22
2003-04-17,0.23
2003-04-21,0.2425
2003-04-22,0.2475
2003-04-23,0.25
2003-04-24,0.255
2003-04-25,0.255
2003-04-28,0.245
2003-04-29,0.245
2003-05-01,0.245
2003-05-02,0.245
2003-05-05,0.245
2003-05-06,0.245
2003-05-07,0.2275
2003-05-08,0.2275
2003-05-09,0.225
2003-05-12,0.22
2003-05-13,0.2075
2003-05-14,0.205
2003-05-15,0.205
2003-05-16,0.21
2003-05-19,0.21
2003-05-20,0.2075
2003-05-21,0.2125
2003-05-22,0.215
2003-05-23,0.2175
2003-05-27,0.225
2003-05-28,0.2425
2003-05-29,0.2425
2003-05-30,0.2425
2003-06-02,0.22
2003-06-03,0.22
2003-06-04,0.2275
2003-06-05,0.2
2003-06-09,0.2075
2003-06-10,0.21
2003-06-11,0.21
2003-06-12,0.225
2003-06-16,0.2475
2003-06-17,0.2375
2003-06-18,0.235
2003-06-19,0.2375
2003-06-23,0.255
2003-06-24,0.245
2003-06-25,0.235
2003-06-26,0.2325
2003-06-30,0.2175
2003-07-01,0.2025
2003-07-02,0.2075
2003-07-03,0.21
2003-07-07,0.21
2003-07-08,0.205
2003-07-09,0.2125
2003-07-10,0.2125
2003-07-11,0.215
2003-07-14,0.21
2003-07-15,0.2
2003-07-16,0.195
2003-07-17,0.21
2003-07-21,0.19
2003-07-22,0.18
2003-07-23,0.18
2003-07-24,0.175
2003-07-28,0.1725
2003-07-29,0.1675
2003-07-30,0.1675
2003-07-31,0.165
2003-08-04,0.165
2003-08-05,0.17
2003-08-06,0.16
2003-08-07,0.175
2003-08-08,0.175
2003-08-11,0.195
2003-08-12,0.205
2003-08-13,0.2125
2003-08-18,0.1725
2003-08-19,0.215
2003-08-20,0.2275
2003-08-21,0.2225
2003-08-22,0.22
2003-08-25,0.2025
2003-08-26,0.185
2003-08-27,0.1925
2003-08-28,0.1925
2003-08-29,0.19
2003-09-02,0.19
2003-09-03,0.185
2003-09-04,0.19
2003-09-05,0.19
2003-09-08,0.18
2003-09-09,0.1875
2003-09-10,0.1875
2003-09-11,0.2025
2003-09-12,0.185
2003-09-15,0.1875
2003-09-16,0.2
2003-09-17,0.1875
2003-09-18,0.185
2003-09-19,0.1875
2003-09-22,0.19
2003-09-23,0.195
2003-09-24,0.195
2003-09-25,0.21
2003-09-26,0.215
2003-09-29,0.215
2003-09-30,0.23
2003-10-01,0.23
2003-10-06,0.22
2003-10-07,0.2225
2003-10-08,0.23
2003-10-09,0.225
