date,price
1990-01-03,2510
1990-01-04,2500
1990-01-05,2490
1990-01-08,2479
1990-01-09,2489
1990-01-10,2460
1990-01-11,2460
1990-01-12,2408
1990-01-15,2397
1990-01-16,2379
1990-01-17,2412
1990-01-18,2360
1990-01-19,2344
1990-01-22,2321
1990-01-23,2304
1990-01-24,2288
1990-01-25,2312
1990-01-26,2333
1990-01-29,2350
1990-01-30,2343
1990-01-31,2356
1990-02-01,2362
1990-02-02,2377
1990-02-05,2360
1990-02-06,2333
1990-02-07,2319
1990-02-08,2351
1990-02-09,2319
1990-02-12,2287
1990-02-13,2292
1990-02-14,2310
1990-02-15,2328
1990-02-16,2340
1990-02-19,2293
1990-02-20,2284
1990-02-21,2265
1990-02-22,2271
1990-02-23,2243
1990-02-26,2259
1990-02-27,2266
1990-02-28,2269
1990-03-01,2244
1990-03-02,2261.5
1990-03-05,2247
1990-03-06,2227
1990-03-07,2234
1990-03-08,2256
1990-03-09,2226
1990-03-12,2225
1990-03-13,2226
1990-03-14,2237
1990-03-15,2240
1990-03-16,2269
1990-03-19,2230
1990-03-20,2248
1990-03-21,2285
1990-03-22,2303.5
1990-03-23,2326
1990-03-26,2349
1990-03-27,2309
1990-03-28,2322
1990-03-29,2301
1990-03-30,2260
1990-04-02,2243
1990-04-03,2273
1990-04-04,2252
1990-04-05,2271
1990-04-06,2242
1990-04-09,2248
1990-04-10,2232
1990-04-11,2232
1990-04-12,2244
1990-04-17,2231
1990-04-18,2218.5
1990-04-19,2206
1990-04-20,2200
1990-04-23,2181
1990-04-24,2187
1990-04-25,2158
1990-04-26,2156
1990-04-27,2135
1990-04-30,2129
1990-05-01,2146
1990-05-02,2158.5
1990-05-03,2166
1990-05-04,2189
1990-05-08,2211
1990-05-09,2190
1990-05-10,2194
1990-05-11,2215
1990-05-14,2252
1990-05-15,2246
1990-05-16,2258
1990-05-17,2329
1990-05-18,2295
1990-05-21,2309
1990-05-22,2344
1990-05-23,2311
1990-05-24,2305
1990-05-25,2288
1990-05-29,2320
1990-05-30,2377
1990-05-31,2379
1990-06-01,2411
1990-06-04,2422
1990-06-05,2423
1990-06-06,2399
1990-06-07,2425
1990-06-08,2391
1990-06-11,2370
1990-06-12,2398
1990-06-13,2431.5
1990-06-14,2436
1990-06-15,2411
1990-06-18,2393
1990-06-19,2390
1990-06-20,2395
1990-06-21,2452
1990-06-22,2457
1990-06-25,2470
1990-06-26,2470
1990-06-27,2439
1990-06-28,2422
1990-06-29,2446
1990-07-02,2441
1990-07-03,2434
1990-07-04,2424
1990-07-05,2393
1990-07-06,2412
1990-07-09,2403
1990-07-10,2389
1990-07-11,2426.5
1990-07-12,2439
1990-07-13,2451
1990-07-16,2484
1990-07-17,2476
1990-07-18,2469
1990-07-19,2456
1990-07-20,2466
1990-07-23,2411
1990-07-24,2418
1990-07-25,2423
1990-07-26,2385
1990-07-27,2377
1990-07-30,2363.5
1990-07-31,2387.5
1990-08-01,2388.5
1990-08-02,2339
1990-08-03,2309.5
1990-08-06,2231
1990-08-07,2262
1990-08-08,2265
1990-08-09,2263
1990-08-10,2251
1990-08-13,2238
1990-08-14,2250
1990-08-15,2264
1990-08-16,2250
1990-08-17,2197
1990-08-20,2179
1990-08-21,2100
1990-08-22,2113
1990-08-23,2086
1990-08-24,2108
1990-08-28,2149
1990-08-29,2142
1990-08-30,2179
1990-08-31,2188
1990-09-03,2176
1990-09-04,2172
1990-09-05,2168
1990-09-06,2123
1990-09-07,2135.5
1990-09-10,2164
1990-09-11,2158
1990-09-12,2161
1990-09-13,2137
1990-09-14,2085
1990-09-17,2098
1990-09-18,2063
1990-09-19,2071
1990-09-20,2006
1990-09-21,2070
1990-09-24,2017
1990-09-25,2030
1990-09-26,2035
1990-09-27,2038
1990-09-28,2019
1990-10-01,2073
1990-10-02,2115
1990-10-03,2159
1990-10-04,2129
1990-10-05,2200
1990-10-08,2266
1990-10-09,2200
1990-10-10,2181
1990-10-11,2157
1990-10-12,2157
1990-10-15,2161
1990-10-16,2123
1990-10-17,2118
1990-10-18,2139.5
1990-10-19,2127
1990-10-22,2152
1990-10-23,2180
1990-10-24,2157
1990-10-25,2128
1990-10-26,2084
1990-10-29,2089
1990-10-30,2062
1990-10-31,2088
1990-11-01,2052
1990-11-02,2060
1990-11-05,2092
1990-11-06,2110
1990-11-07,2089
1990-11-08,2050
1990-11-09,2061
1990-11-12,2094
1990-11-13,2077.5
1990-11-14,2067
1990-11-15,2094
1990-11-16,2107
1990-11-19,2127
1990-11-20,2150
1990-11-21,2153
